,24-Jul-2019
The Nifty witnessed an intraday movement of about 129.95 points.The closing index was 0.53 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33582.44
, Traded Quantity (in Lakhs), 14461.75
, Number of Trades, 12303994
, Total Market Capitalisation (Rs. Crores), 14184777.84

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CENTURYPLY,EQ,       130.25,                 15282203.50,115945
,CENTURYTEX,EQ,       892.25,                264651650.90,294312
,CERA,EQ,      2542.00,                 14613664.35,5807
,CEREBRAINT,EQ,        23.35,                  2399555.30,104481
,CESC,EQ,       752.70,                236359291.75,313596
,CESCVENT,EQ,       400.50,                  7891114.45,19423
,CGCL,EQ,       158.10,                 67694790.40,427344
,CGPOWER,EQ,        20.25,                 37513317.55,1846785
,CHALET,EQ,       315.15,                  2669397.10,8487
,CHAMBLFERT,EQ,       153.85,                 15761872.70,101551
,CHEMFAB,EQ,       168.05,                   400559.45,2393
,CHENNPETRO,EQ,       195.00,                 31049807.25,159340
,CHOLAFIN,EQ,       238.55,                695833180.00,2955613
,CHOLAHLDNG,EQ,       489.85,                214255621.70,449575
,CHROMATIC,EQ,          .65,                    35309.25,70602
,CIGNITITEC,EQ,       294.25,                  2979087.25,10154
,CIMMCO,EQ,        18.95,                   342532.40,17757
,CINELINE,EQ,        30.65,                   197123.45,6406
,CINEVISTA,EQ,         5.25,                     7012.25,1335
,CKFSL,EQ,         2.50,                    15675.00,6270
,CLEDUCATE,EQ,        92.25,                   211307.10,2284
,CLNINDIA,EQ,       284.05,                  2394253.45,8396
,CMICABLES,EQ,        70.30,                  5467551.95,76971
,CNOVAPETRO,EQ,        10.50,                    28488.90,2714
,COCHINSHIP,EQ,       357.35,                 26326337.65,73784
,COFFEEDAY,EQ,       196.35,                 18364876.25,93170
,COMPINFO,EQ,        12.05,                    91149.15,7509
,COMPUSOFT,EQ,         7.90,                    69954.40,8788
,CONFIPET,EQ,        29.95,                  7475478.85,250882
,CONSOFINVT,EQ,        36.00,                    48053.90,1373
,CONTROLPR,EQ,       210.35,                  1671341.85,7815
,CORALFINAC,EQ,        12.65,                   112924.35,8994
,CORDSCABLE,EQ,        45.40,                   216321.95,4687
,COROMANDEL,EQ,       384.90,                 66599926.10,173366
,CORPBANK,EQ,        23.85,                  2276485.35,94424
,COSMOFILMS,EQ,       204.30,                  3625229.60,17656
,COUNCODOS,BE,         2.05,                    24811.85,11895
,COX&KINGS,EQ,        14.80,                   742308.80,50156
,CPSEETF,EQ,        25.17,                 22854313.14,904095
,CREATIVEYE,EQ,         1.70,                       17.00,10
,CREDITACC,EQ,       527.25,                325740709.20,621134
,CREST,EQ,        90.35,                   181370.75,2020
,CRISIL,EQ,      1373.70,                 17532641.70,12881
,CROMPTON,EQ,       230.05,                172474746.05,752646
,CTE,EQ,        29.50,                   120023.25,4095
,CUB,EQ,       196.15,                 89582495.00,453323
,CUBEXTUB,EQ,        11.30,                    14041.95,1209
,CUMMINSIND,EQ,       731.90,                155130837.05,213315
,CUPID,EQ,       136.75,                114827555.15,804948
,CYBERTECH,EQ,        46.00,                   680258.75,14538
,CYIENT,EQ,       487.00,                 98647087.05,202238
,DAAWAT,EQ,        19.65,                  6261291.20,315336
,DALBHARAT,EQ,       952.00,                 15002723.05,15634
,DALMIASUG,EQ,        96.40,                 14552434.05,148520
,DAMODARIND,EQ,        32.05,                     5353.35,169
