,09-Jul-19,,,,,,
The Nifty witnessed an intraday movement of about 121.55 points.The closing index was 0.02 % down as compared to the previous closing index.,,,,,,,
,,,,,,,
, Traded Value (Rs. In Crores),34591.7,,,,,
, Traded Quantity (in Lakhs),13314.8,,,,,
, Number of Trades,11724313,,,,,
, Total Market Capitalisation (Rs. Crores),14648561.64,,,,,
,,,,,,,
,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALEMBICLTD,EQ,42.8,3895238.35,90826,,
,ALICON,EQ,549.45,326287.1,604,,
,ALKALI,EQ,39.65,46919.85,1175,,
,ALKEM,EQ,1772.95,14836747.25,8391,,
,ALKYLAMINE,EQ,820,26432499.5,32234,,
,ALLCARGO,EQ,97.2,11444189.45,116774,,
,ALLSEC,EQ,304.55,499537.55,1693,,
,ALOKTEXT,EQ,3.25,10647363.5,3252405,,
,ALPA,EQ,18,199356.75,10898,,
,ALPHAGEO,EQ,382.3,1828273.35,4801,,
,ALPSINDUS,BE,0.8,989.6,1237,,
,AMARAJABAT,EQ,644.95,237449624.7,372955,,
,AMBER,EQ,821.7,14647216.15,17967,,
,AMBIKCO,EQ,1046.8,3208773.65,3090,,
,AMDIND,EQ,17.8,50109.55,2840,,
,AMJLAND,EQ,17.2,209668.25,12172,,
,AMJUMBO,SM,13.45,321200,24000,,
,AMRUTANJAN,EQ,291.9,2923322.65,9928,,
,ANANTRAJ,EQ,29.7,8538113.65,285509,,
,ANDHRABANK,EQ,23,10683109.65,465913,,
,ANDHRACEMT,EQ,3.9,59690.9,15352,,
,ANDHRSUGAR,EQ,310.3,3059349.3,9858,,
,ANIKINDS,EQ,10.05,52372,5024,,
,ANKITMETAL,BE,0.45,222.5,550,,
,ANSALAPI,EQ,5.2,138487.2,26658,,
,ANSALHSG,EQ,5.7,214233.3,38156,,
,ANTGRAPHIC,BE,0.9,24876.7,29005,,
,ANUP,EQ,474.75,2434338.7,5096,,
,APARINDS,EQ,570.4,6927921.05,12225,,
,APCL,EQ,161.65,568973.6,3512,,
,APCOTEXIND,EQ,217.45,1403330.75,6488,,
,APEX,EQ,252.2,11295981.25,45108,,
,APLAPOLLO,EQ,1597.95,84277629.55,52676,,
,APLLTD,EQ,532.15,24981898.15,46712,,
,APOLLO,EQ,114.3,941445.55,8223,,
,APOLLOHOSP,EQ,1328.65,1068643957,806802,,
,APOLLOTYRE,EQ,186.35,329834260.5,1763656,,
,APOLSINHOT,EQ,884,1389978.15,1556,,
,APTECHT,EQ,140.5,17948630.9,129559,,
,ARCHIDPLY,EQ,30.35,338117.6,11274,,
,ARCHIES,EQ,20.2,224075,11113,,
,ARCOTECH,EQ,2.9,63640.05,21971,,
,ARIES,EQ,61.05,732679.6,12006,,
,ARIHANT,EQ,22.25,34997.15,1557,,
,ARIHANTSUP,EQ,48.3,2397335.45,48983,,
,ARMANFIN,EQ,413.9,705085.9,1702,,
,AROGRANITE,EQ,43.9,400634.2,9042,,
,ARROWGREEN,BE,78,62790,805,,
,ARROWTEX,EQ,11.85,25052.9,2100,,
,ARSHIYA,EQ,15.2,1058325.45,69643,,
,ARSSINFRA,EQ,36.4,87460.95,2390,,
,ARVIND,EQ,63.2,204392973,3245884,,
