,25-Jul-2019
The Nifty witnessed an intraday movement of about 122.05 points.The closing index was 0.17 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 39367.79
, Traded Quantity (in Lakhs), 18040.42
, Number of Trades, 12953918
, Total Market Capitalisation (Rs. Crores), 14181368.07

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BLISSGVS,EQ,       157.25,                300541693.35,1904902
,BLKASHYAP,EQ,         8.95,                   674621.40,77424
,BLS,EQ,        80.60,                   942007.10,11653
,BLUEBLENDS,BE,         1.80,                       18.00,10
,BLUECOAST,BE,         4.70,                       56.40,12
,BLUEDART,EQ,      2427.35,                  6827241.20,2829
,BLUESTARCO,EQ,       740.10,                 11865947.15,15968
,BODALCHEM,EQ,        84.40,                  6819309.15,80010
,BOHRA,SM,         5.70,                    34200.00,6000
,BOMDYEING,EQ,        84.80,                 42369643.90,496648
,BOROSIL,EQ,       139.50,                  5800551.45,41443
,BPL,EQ,        19.30,                  1082551.40,55052
,BRFL,EQ,         5.10,                   397969.30,77438
,BRIGADE,EQ,       279.90,                 45430287.60,162169
,BRIGHT,SM,        11.80,                   649950.00,57000
,BRNL,EQ,        71.85,                  1175596.60,16333
,BROOKS,EQ,        38.75,                   270811.10,6943
,BSE,EQ,       559.80,                187050541.50,334665
,BSELINFRA,EQ,         1.20,                    19720.70,15952
,BSHSL,SM,       124.95,                   124950.00,1000
,BSL,EQ,        26.50,                   274785.50,10137
,BSLGOLDETF,EQ,      3205.00,                   564097.65,177
,BSLNIFTY,EQ,       122.85,                    35256.22,280
,BSOFT,EQ,        75.15,                 78880787.75,1051157
,BURNPUR,BE,         1.25,                     6531.25,5217
,BUTTERFLY,EQ,       154.55,                  4096763.65,25994
,BVCL,BE,        14.45,                    33270.05,2299
,BYKE,EQ,        22.20,                   575379.50,25514
,CADSYS,SM,        50.00,                   200000.00,4000
,CALSOFT,EQ,        17.85,                   652946.45,37355
,CAMLINFINE,EQ,        53.10,                  6289200.35,117989
,CANBK,EQ,       239.25,               2895604898.05,12027668
,CANDC,BZ,         7.50,                    34331.85,4758
,CANFINHOME,EQ,       384.05,                175263539.95,452668
,CANTABIL,EQ,       230.25,                   431413.10,1873
,CAPACITE,EQ,       249.25,                  8826298.30,35899
,CAPLIPOINT,EQ,       425.90,                 82082499.05,196910
,CAPTRUST,EQ,        63.55,                   506758.35,7896
,CARBORUNIV,EQ,       334.85,                  7117581.75,21157
,CAREERP,EQ,        57.45,                  1106071.80,19272
,CARERATING,EQ,       757.10,                 39109844.95,50364
,CASTEXTECH,BE,          .55,                    22680.60,40377
,CASTROLIND,EQ,       124.80,                134539974.45,1075232
,CCHHL,BE,         4.35,                    69074.60,15764
,CCL,EQ,       244.75,                 27965918.70,114632
,CDSL,EQ,       196.00,                 27579673.90,140566
,CEATLTD,EQ,       856.90,                105595616.00,123154
,CEBBCO,EQ,        16.35,                   347829.35,21456
,CELEBRITY,EQ,         8.75,                  5098816.70,604823
,CELESTIAL,EQ,         4.30,                   128234.75,28583
,CENTENKA,EQ,       203.10,                  3398053.00,16701
,CENTEXT,EQ,         3.05,                   181034.00,57708
,CENTRALBK,EQ,        18.35,                 18705132.35,1043748
,CENTRUM,EQ,        25.15,                  1823124.75,72908
,CENTUM,EQ,       494.20,                  1004764.20,2041
,CENTURYPLY,EQ,       128.25,                  9653761.10,75512
