,11-Jul-2019
The Nifty witnessed an intraday movement of about 79.5 points.The closing index was 0.73 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27402.81
, Traded Quantity (in Lakhs), 11997.04
, Number of Trades, 10107996
, Total Market Capitalisation (Rs. Crores), 14640787.98

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CESC,EQ,       785.70,                306536323.30,391157
,CESCVENT,EQ,       437.05,                  1163053.60,2657
,CGCL,EQ,       154.95,                 58180618.70,375536
,CGPOWER,EQ,        21.85,                 54741236.20,2483931
,CHALET,EQ,       310.05,                 21787143.20,71090
,CHAMBLFERT,EQ,       160.80,                 37139920.10,233863
,CHEMFAB,EQ,       169.00,                   323014.90,1911
,CHENNPETRO,EQ,       179.65,                 66750073.35,372066
,CHOLAFIN,EQ,       280.90,                118640263.55,423741
,CHOLAHLDNG,EQ,       495.65,                  3639095.90,7322
,CHROMATIC,EQ,          .70,                     1517.50,2525
,CIGNITITEC,EQ,       301.45,                  7801530.15,25727
,CIMMCO,EQ,        24.50,                   342698.35,13914
,CINELINE,EQ,        35.20,                   121509.50,3399
,CINEVISTA,EQ,         5.15,                     2549.65,507
,CKFSL,EQ,         3.65,                    23272.40,6376
,CLEDUCATE,EQ,        99.10,                  2322940.25,23777
,CLNINDIA,EQ,       299.65,                  1312955.65,4368
,CMICABLES,EQ,       103.10,                  1882504.70,17998
,CMMIPL,SM,         5.25,                    47400.00,9000
,CNOVAPETRO,EQ,        10.95,                    55524.10,5196
,COCHINSHIP,EQ,       373.25,                  7654595.90,20512
,COFFEEDAY,EQ,       216.25,                118743482.15,548606
,COMPINFO,EQ,        12.95,                   334338.50,25886
,COMPUSOFT,EQ,         8.65,                    25272.65,3085
,CONFIPET,EQ,        34.75,                  1441698.30,41502
,CONSOFINVT,EQ,        39.10,                    37409.80,957
,CONTROLPR,EQ,       222.70,                  1205695.90,5356
,CORALFINAC,EQ,        14.10,                    46197.60,3207
,CORDSCABLE,EQ,        51.25,                   204537.10,3935
,COROMANDEL,EQ,       394.70,                 18784424.80,47900
,CORPBANK,EQ,        27.30,                  4397583.20,160012
,COSMOFILMS,EQ,       215.95,                  1234678.80,5733
,COUNCODOS,BE,         2.15,                    47005.85,21865
,COX&KINGS,EQ,        23.35,                   766673.90,32834
,CPSEETF,EQ,        26.35,                 27917359.75,1062085
,CREATIVE,SM,        73.50,                   235200.00,3200
,CREDITACC,EQ,       491.15,                 22652996.30,46028
,CREST,EQ,       113.80,                   466555.05,4177
,CRISIL,EQ,      1436.35,                  3720481.80,2581
,CRMFGETF,EQ,      3200.05,                  2803295.00,876
,CROMPTON,EQ,       226.15,                 93873645.55,415291
,CTE,EQ,        28.20,                   127854.45,4424
,CUB,EQ,       203.35,                 45650351.25,225455
,CUBEXTUB,EQ,        12.00,                     2292.00,201
,CUMMINSIND,EQ,       756.85,                158772228.65,211383
,CUPID,EQ,       114.10,                   646423.90,5672
,CYBERTECH,EQ,        53.30,                  1249414.20,22942
,CYIENT,EQ,       537.65,                 46835093.25,87629
,DAAWAT,EQ,        20.10,                 12549576.95,625571
,DALBHARAT,EQ,      1020.50,                 33071492.00,32337
,DALMIASUG,EQ,        98.35,                  7282474.95,74117
,DAMODARIND,EQ,        31.95,                    25903.30,808
,DANGEE,SM,       152.00,                   342400.00,2400
,DATAMATICS,EQ,        90.60,                  1880380.25,20672
,DBCORP,EQ,       188.15,                  3018523.35,15998
,DBL,EQ,       410.05,                120682317.00,290432
,DBREALTY,EQ,        11.25,                  2161179.75,191268
,DBSTOCKBRO,BE,        10.00,                      270.00,27
,DCAL,EQ,       217.25,                  7909618.35,36778
,DCBBANK,EQ,       238.20,                316523254.40,1334652
,DCM,EQ,        28.85,                   293757.70,10440
,DCMFINSERV,EQ,         1.05,                      210.00,200
,DCMSHRIRAM,EQ,       528.95,                 57179278.90,107240
,DCW,EQ,        16.55,                  1458309.40,88218
,DECCANCE,EQ,       381.75,                   990787.20,2591
