,25-Jun-2019
The Nifty witnessed an intraday movement of about 163.4 points.The closing index was 0.83 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29817.94
, Traded Quantity (in Lakhs), 15160.31
, Number of Trades, 10624011
, Total Market Capitalisation (Rs. Crores), 14919928.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CALSOFT,EQ,        12.90,                   276242.45,21574
,CAMLINFINE,EQ,        52.05,                 32021990.35,614305
,CANBK,EQ,       274.55,                862439258.25,3148894
,CANDC,BZ,         5.85,                   110365.05,18866
,CANFINHOME,EQ,       356.05,                297739336.65,840845
,CANTABIL,EQ,       245.70,                 49291711.85,192446
,CAPACITE,EQ,       271.15,                  7110496.75,26284
,CAPLIPOINT,EQ,       410.45,                 10460106.75,25634
,CAPTRUST,EQ,       135.60,                    55158.40,408
,CARBORUNIV,EQ,       361.35,                 15706208.30,44373
,CAREERP,EQ,        67.95,                  1459672.95,21760
,CARERATING,EQ,       921.75,                  5121221.90,5565
,CASTEXTECH,BE,          .65,                   110513.30,170062
,CASTROLIND,EQ,       137.55,                108449894.40,788134
,CCHHL,BE,         5.55,                   117139.40,21459
,CCL,EQ,       251.30,                  2432318.65,9659
,CDSL,EQ,       219.55,                 17461092.75,79765
,CEATLTD,EQ,       941.45,               1176796004.75,1264377
,CEBBCO,EQ,        17.05,                   242504.55,14168
,CELEBRITY,EQ,         6.45,                    12305.35,1928
,CELESTIAL,EQ,         3.45,                   212512.95,59518
,CENTENKA,EQ,       219.00,                  2103463.70,9587
,CENTEXT,EQ,         3.90,                   112596.25,28748
,CENTRALBK,EQ,        20.40,                 16946631.40,822891
,CENTRUM,EQ,        26.85,                  1259545.80,47147
,CENTUM,EQ,       506.75,                  2151618.95,4234
,CENTURYPLY,EQ,       156.50,                  7610899.55,48586
,CENTURYTEX,EQ,       937.65,                248694439.00,266586
,CERA,EQ,      2968.10,                 14254339.20,4800
,CEREBRAINT,EQ,        23.30,                 21317351.35,917387
,CES1RPG,MF,        10.05,                   646684.00,64500
,CESC,EQ,       787.90,                724454007.75,934058
,CESCVENT,EQ,       429.30,                  6625166.75,15425
,CGCL,EQ,       162.30,                 74738477.60,460085
,CGPOWER,EQ,        28.95,                154919014.90,5380259
,CHALET,EQ,       301.70,                  1342919.80,4408
,CHAMBLFERT,EQ,       171.65,                 16750233.75,97453
,CHEMFAB,EQ,       169.95,                    57709.75,340
,CHENNPETRO,EQ,       208.55,                 61997252.40,296556
,CHOLAFIN,EQ,       277.95,                139013250.85,502790
,CHOLAHLDNG,EQ,       478.95,                  4929657.40,10372
,CHROMATIC,EQ,          .70,                    51200.00,77500
,CIGNITITEC,EQ,       318.80,                 19335342.75,61018
,CIMMCO,EQ,        25.90,                   631440.80,24133
,CINELINE,EQ,        38.90,                   187920.25,4847
,CINEVISTA,EQ,         6.05,                    34582.45,5826
,CKFSL,EQ,         6.05,                  2310434.65,380748
,CLEDUCATE,EQ,       103.80,                   189716.05,1814
,CLNINDIA,EQ,       298.80,                  3345294.60,11170
,CMICABLES,EQ,       115.85,                   657441.80,5691
,CMMIPL,SM,         5.95,                    17850.00,3000
,CNOVAPETRO,EQ,        12.00,                    22896.15,1833
,COCHINSHIP,EQ,       374.85,                 11658709.10,31059
,COFFEEDAY,EQ,       215.20,                  7040130.95,32636
