,07-Jun-2019
The Nifty witnessed an intraday movement of about 128 points.The closing index was 0.23 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30407.27
, Traded Quantity (in Lakhs), 15033.67
, Number of Trades, 11277081
, Total Market Capitalisation (Rs. Crores), 15122608.67

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BIRLAMONEY,EQ,        45.60,                  3318087.25,71698
,BKMINDST,BE,         3.70,                   202173.05,55320
,BLBLIMITED,BE,         4.65,                    70849.50,15103
,BLISSGVS,EQ,       158.30,                146433109.85,920127
,BLKASHYAP,EQ,        13.75,                  4616219.45,327389
,BLS,EQ,       119.95,                  7465574.20,62289
,BLUECOAST,EQ,         6.65,                    11072.25,1665
,BLUEDART,EQ,      2668.85,                  3329071.60,1242
,BLUEDART,N3,        10.74,                    12611.80,1180
,BLUESTARCO,EQ,       807.75,                 48503327.80,60254
,BODALCHEM,EQ,       110.95,                  5541049.00,49740
,BOHRA,SM,        10.30,                    41200.00,4000
,BOMDYEING,EQ,       123.60,                104196598.65,834776
,BOROSIL,EQ,       190.00,                  3397896.20,17942
,BPL,EQ,        23.90,                  1039314.85,43139
,BRFL,BE,         8.15,                   739140.75,94021
,BRIGADE,EQ,       249.50,                 10400516.95,41460
,BRIGHT,SM,        18.45,                  4766850.00,264000
,BRNL,EQ,        91.80,                   229894.40,2480
,BROOKS,EQ,        53.10,                   384019.70,7275
,BSE,EQ,       616.30,                 27894842.85,45176
,BSELINFRA,EQ,         1.75,                    76869.50,43653
,BSHSL,SM,       127.00,                   127000.00,1000
,BSL,EQ,        36.55,                   152960.35,4177
,BSLGOLDETF,EQ,      3000.00,                   122997.85,41
,BSLNIFTY,EQ,       128.47,                    33497.33,262
,BSOFT,EQ,        89.35,                101367665.35,1153745
,BURNPUR,BE,         2.30,                    79112.10,34531
,BUTTERFLY,EQ,       175.40,                  1613051.85,9123
,BVCL,BE,        16.60,                    31804.60,1911
,BYKE,EQ,        22.80,                  3145318.40,137336
,CADSYS,SM,        57.00,                   114000.00,2000
,CALSOFT,EQ,        17.75,                   255915.10,14402
,CAMLINFINE,EQ,        53.70,                  7458065.60,136199
,CANBK,EQ,       262.95,               1284279840.70,4894753
,CANDC,BZ,         7.35,                    40706.55,5537
,CANFINHOME,EQ,       354.10,                393632795.80,1119444
,CANTABIL,EQ,       178.55,                  6292582.35,34738
,CAPACITE,EQ,       270.90,                 26944805.95,100587
,CAPLIPOINT,EQ,       437.35,                 39655359.25,90174
,CAPTRUST,EQ,       180.85,                    30174.05,167
,CARBORUNIV,EQ,       366.80,                  5230499.00,14261
,CAREERP,EQ,        68.00,                   670203.65,9842
,CARERATING,EQ,       949.70,                  9144992.55,9544
,CASTEXTECH,BE,          .80,                    57916.45,74103
,CASTROLIND,EQ,       142.75,                201084398.80,1401963
,CCHHL,BE,         6.85,                   125380.95,18836
,CCL,EQ,       260.50,                  3204009.15,12289
,CDSL,EQ,       229.05,                 64319880.70,280717
,CEATLTD,EQ,       973.45,                552861764.10,562910
,CEBBCO,EQ,        18.50,                   418715.95,22714
,CELEBRITY,EQ,         7.05,                    27991.65,3945
,CELESTIAL,EQ,         4.90,                   238559.35,49576
,CENTENKA,EQ,       222.45,                  3672062.50,16470
,CENTEXT,EQ,         3.80,                  1383932.80,340852
,CENTRALBK,EQ,        24.55,                 16646302.85,674817
,CENTRUM,EQ,        28.65,                  3909248.30,137951
,CENTUM,EQ,       523.10,                  2242827.25,4279
,CENTURYPLY,EQ,       167.25,                 15101455.95,90377
,CENTURYTEX,EQ,       995.90,                435017939.65,436421
,CERA,EQ,      2961.35,                 10039843.20,3370
,CEREBRAINT,EQ,        24.05,                  2465588.70,102183
,CES1RPG,MF,         9.69,                    28870.00,3000
,CESC,EQ,       769.50,                457854005.95,596374
,CESCVENT,EQ,       455.75,                  7173906.25,15700
,CGCL,EQ,       180.40,                112345005.25,633771
,CGPOWER,EQ,        32.55,                234759265.85,7036664
,CHALET,EQ,       337.90,                  5998208.45,17771
,CHAMBLFERT,EQ,       191.15,                169367495.85,898278
,CHEMFAB,EQ,       168.50,                   263708.75,1561
,CHENNPETRO,EQ,       217.05,                 90262699.15,415977
,CHOLAFIN,EQ,      1477.10,                504375970.70,341940
,CHOLAHLDNG,EQ,       499.75,                 10686717.50,21413
,CHROMATIC,EQ,          .80,                     1540.20,1968
,CIGNITITEC,EQ,       324.00,                  8641279.95,26875
,CIMMCO,EQ,        31.00,                  5488769.85,176727
,CINELINE,EQ,        42.80,                   734368.30,17224
,CINEVISTA,BE,         6.45,                    16149.10,2501
,CKFSL,EQ,        10.20,                  4379095.95,429286
,CLEDUCATE,EQ,       110.35,                   970662.10,8763
,CLNINDIA,EQ,       304.85,                 44709157.80,149308
,CMICABLES,EQ,       124.40,                  2589698.95,20685
,CMMIPL,SM,         8.70,                    26100.00,3000
,CNOVAPETRO,EQ,        13.95,                    33354.10,2335
,COCHINSHIP,EQ,       392.20,                 16713878.25,42385
,COFFEEDAY,EQ,       236.70,                 21048557.50,88441
,COMPINFO,EQ,        13.75,                   226689.50,16336
,COMPUSOFT,EQ,         9.45,                   103334.25,11000
,CONSOFINVT,EQ,        41.00,                    10541.50,257
,CONTROLPR,EQ,       247.10,                   878727.25,3547
,CORALFINAC,EQ,        15.20,                   345291.60,22316
,CORDSCABLE,EQ,        58.05,                   312392.70,5356
,COROMANDEL,EQ,       424.35,                 24212503.45,56978
,CORPBANK,EQ,        24.50,                  4489329.05,182734
,COSMOFILMS,EQ,       242.15,                 19290978.65,81764
,COUNCODOS,BE,         4.30,                     6110.30,1421
,COX&KINGS,EQ,        76.80,                 89599185.90,1133462
,CPSEETF,EQ,        28.51,                 31045208.30,1086983
,CREATIVE,SM,       132.00,                  2123840.00,16000
,CREATIVEYE,EQ,         2.00,                       30.00,15
,CREDITACC,EQ,       549.60,                 31363595.50,57096
,CREST,EQ,       113.80,                   247351.70,2168
,CRISIL,EQ,      1504.00,                  9764966.75,6489
,CRMFGETF,EQ,      3010.00,                    12040.00,4
,CROMPTON,EQ,       240.55,                540251540.10,2250447
,CTE,EQ,        39.60,                    72299.65,1805
,CUB,EQ,       215.75,                 64129550.95,296981
,CUBEXTUB,EQ,        11.40,                    57372.25,4992
,CUMMINSIND,EQ,       763.90,                210187964.75,275004
,CUPID,EQ,       130.30,                  2305467.50,17353
,CURATECH,BE,         1.25,                      625.00,500
,CYBERTECH,EQ,        46.10,                   534924.35,11488
,CYIENT,EQ,       564.00,                 44625698.25,78969
,DAAWAT,EQ,        28.85,                 11070288.10,382627
,DALBHARAT,EQ,      1130.05,                 43813601.25,38497
,DALMIASUG,EQ,       111.00,                 17354292.45,154725
,DAMODARIND,EQ,        37.85,                   223460.10,5897
,DATAMATICS,EQ,       102.80,                  2124583.30,20640
,DBCORP,EQ,       195.45,                  2764185.65,14160
,DBL,EQ,       499.90,                232819972.70,458143
,DBREALTY,EQ,        14.00,                  3069769.75,222055
,DBSTOCKBRO,EQ,        10.75,                    38893.00,3689
,DCAL,EQ,       245.05,                 33442391.00,137647
,DCBBANK,EQ,       240.75,                709429026.95,2976535
