,23-May-2019
The Nifty witnessed an intraday movement of about 426.65 points.The closing index was 0.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 52322.53
, Traded Quantity (in Lakhs), 23747.68
, Number of Trades, 17083886
, Total Market Capitalisation (Rs. Crores), 14837423.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CESC,EQ,       726.55,                236227558.05,321531
,CESCVENT,EQ,       479.40,                 15272326.00,31610
,CGCL,EQ,       188.50,                100744618.40,535703
,CGPOWER,EQ,        38.15,                249082549.85,6426117
,CHALET,EQ,       338.20,                  7687287.75,22723
,CHAMBLFERT,EQ,       162.60,                 57703457.85,350420
,CHEMFAB,EQ,       166.70,                   503132.95,3033
,CHENNPETRO,EQ,       208.95,                 84025155.55,396284
,CHOLAFIN,EQ,      1418.75,                594726129.05,411795
,CHOLAHLDNG,EQ,       506.40,                 59549427.30,116692
,CHROMATIC,EQ,          .85,                    10653.90,12534
,CIGNITITEC,EQ,       315.60,                  4089713.15,12943
,CIMMCO,EQ,        33.75,                   498190.30,14427
,CINELINE,EQ,        42.25,                   390656.75,9121
,CINEVISTA,BE,         5.95,                     6527.50,1132
,CKFSL,EQ,        15.25,                   964882.75,63271
,CLEDUCATE,EQ,       115.65,                  3647381.80,30994
,CLNINDIA,EQ,       299.30,                  5859220.70,19547
,CMICABLES,EQ,       118.00,                  3165836.40,26645
,CMMIPL,SM,         7.70,                    23100.00,3000
,CNOVAPETRO,EQ,        14.40,                     6611.10,452
,COCHINSHIP,EQ,       364.00,                101154497.65,273842
,COFFEEDAY,EQ,       250.80,                 27819479.85,111161
,COMPINFO,EQ,        12.75,                  2399210.10,185215
,COMPUSOFT,EQ,         9.20,                   229795.80,24672
,CONSOFINVT,EQ,        40.75,                     9784.40,240
,CONTROLPR,EQ,       250.75,                   739674.55,2953
,CORALFINAC,EQ,        15.40,                   633269.20,40545
,CORDSCABLE,EQ,        59.45,                   254162.35,4291
,COROMANDEL,EQ,       404.75,                192026503.80,470538
,CORPBANK,EQ,        24.40,                 11147849.60,449480
,COSMOFILMS,EQ,       199.65,                  6483128.65,31534
,COUNCODOS,EQ,         3.00,                   502916.35,169085
,COX&KINGS,EQ,        94.00,                 18375741.60,193902
,CPSEETF,EQ,        27.29,                342184788.81,12393645
,CREATIVE,SM,       165.10,                  2452320.00,14400
,CREDITACC,EQ,       515.05,                 30416583.50,58186
,CREST,EQ,       119.90,                   825565.20,6911
,CRISIL,EQ,      1434.40,                 20333200.80,14097
,CRMFGETF,EQ,      2940.00,                    43387.00,15
,CROMPTON,EQ,       221.05,                230245437.30,1039808
,CTE,EQ,        39.00,                    74705.90,1908
,CUB,EQ,       214.70,                535448570.45,2525752
,CUBEXTUB,EQ,        11.95,                    13146.35,1095
,CUMMINSIND,EQ,       720.95,                589951616.75,815182
,CUPID,EQ,       118.65,                  3402073.95,28305
,CURATECH,BE,         1.20,                       25.20,21
,CYBERTECH,EQ,        43.00,                  1007431.95,22869
,CYIENT,EQ,       555.70,                165500694.80,297416
,DAAWAT,EQ,        28.50,                 14978289.30,517756
,DALBHARAT,EQ,      1098.45,                773334575.00,696599
,DALMIASUG,EQ,       111.80,                 14872196.75,130685
,DAMODARIND,EQ,        37.40,                    79812.40,2106
,DANGEE,SM,       182.00,                   145600.00,800
,DATAMATICS,EQ,       101.55,                  8830329.85,87616
,DBCORP,EQ,       198.35,                 23485469.50,118451
,DBL,EQ,       587.65,                480177685.30,813856
,DBREALTY,EQ,        13.85,                  3787743.75,269823
,DBSTOCKBRO,EQ,         9.30,                    26498.90,2855
,DCAL,EQ,       222.00,                 29745130.50,133194
