,28-May-2019
The Nifty witnessed an intraday movement of about 93.65 points.The closing index was 0.03 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 52932.19
, Traded Quantity (in Lakhs), 23331.35
, Number of Trades, 16809036
, Total Market Capitalisation (Rs. Crores), 15262828.66

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BASML,EQ,       186.55,                     5421.45,29
,BATAINDIA,EQ,      1314.00,               1358517528.65,1028764
,BAYERCROP,EQ,      3905.55,                 45560763.65,11510
,BBL,EQ,      1118.80,                  9256216.40,8283
,BBTC,EQ,      1127.85,                138154989.10,121033
,BCG,BE,         5.35,                  2441614.75,451371
,BDL,EQ,       329.85,                 28515426.10,85238
,BEARDSELL,EQ,        14.80,                     6661.45,434
,BEDMUTHA,EQ,        16.70,                   617450.75,35992
,BEL,EQ,       112.75,               1355893713.25,11972391
,BEML,EQ,      1009.40,               1817953935.35,1816767
,BEPL,EQ,        74.15,                 51888914.45,695271
,BERGEPAINT,EQ,       303.25,                286018367.00,937887
,BFINVEST,EQ,       255.25,                 10542098.25,41110
,BFUTILITIE,EQ,       214.15,                105660102.80,493661
,BGLOBAL,BE,         2.35,                    13869.75,6105
,BGRENERGY,EQ,        62.00,                  6132313.80,98748
,BHAGERIA,EQ,       285.30,                  7378662.85,25891
,BHAGYANGR,EQ,        28.45,                    80123.85,2793
,BHAGYAPROP,EQ,        25.85,                     9172.45,352
,BHANDARI,EQ,         2.20,                  2027300.50,951254
,BHARATFIN,EQ,      1018.00,                429188960.20,422300
,BHARATFORG,EQ,       489.75,               1750177758.30,3540262
,BHARATGEAR,EQ,       136.50,                  2359888.85,17182
,BHARATRAS,EQ,      4646.25,                 23842070.20,5186
,BHARATWIRE,EQ,        42.60,                   346723.80,8144
,BIGBLOC,EQ,        37.20,                    82089.30,2222
,BIL,EQ,       245.45,                  2083554.15,8417
,BILENERGY,BE,         4.90,                  2700668.45,551284
,BINANIIND,BZ,        29.40,                    72026.30,2435
,BINDALAGRO,EQ,        15.45,                   279488.20,18088
,BIOFILCHEM,BE,         6.60,                     1221.00,185
,BIRLACABLE,EQ,       116.75,                 53934632.60,448384
,BIRLACORPN,EQ,       676.00,                 98632567.10,145972
,BIRLAMONEY,EQ,        50.25,                  4812808.30,95642
,BKMINDST,BE,         4.05,                   396929.70,98269
,BLBLIMITED,EQ,         5.00,                   160265.00,32053
,BLISSGVS,EQ,       159.30,                 70853338.15,444216
,BLKASHYAP,EQ,        19.40,                  2922657.95,150662
,BLS,EQ,       128.05,                 14941509.90,117889
,BLUEBLENDS,EQ,         2.45,                     3277.75,1295
,BLUECOAST,EQ,         9.05,                   213576.15,23583
,BLUEDART,EQ,      2748.95,                 11294060.40,4108
,BLUEDART,N3,        10.50,                     7848.00,750
,BLUESTARCO,EQ,       791.25,                145306595.10,184785
,BODALCHEM,EQ,       119.50,                 12453713.40,103478
,BOHRA,SM,        10.45,                    20900.00,2000
,BOMDYEING,EQ,       132.20,                221964624.30,1676990
,BOROSIL,EQ,       201.05,                 11788907.00,58242
,BPL,EQ,        28.70,                 56312713.10,1980310
,BRFL,EQ,         8.80,                   427491.85,48564
,BRIGADE,EQ,       259.85,                 29054134.20,111874
,BRNL,EQ,        97.35,                  1832333.40,19064
,BROOKS,EQ,        56.30,                  2037935.15,35805
,BSE,EQ,       620.00,                 87209798.75,141227
,BSELINFRA,EQ,         1.95,                   273152.35,144626
,BSHSL,SM,       136.00,                   136000.00,1000
,BSL,EQ,        39.05,                    71166.00,1820
,BSLGOLDETF,EQ,      2930.00,                    52547.00,18
,BSLNIFTY,EQ,       128.45,                    37991.97,293
,BSOFT,EQ,        96.85,                220211315.35,2291940
,BURNPUR,BE,         2.50,                   123050.00,49254
,BUTTERFLY,EQ,       189.00,                  7448712.70,39051
,BVCL,BE,        17.85,                    36264.65,2030
,BYKE,EQ,        27.75,                  2186732.65,78635
,CADSYS,SM,        47.50,                   385000.00,8000
,CALSOFT,EQ,        19.30,                   412783.70,21661
,CAMLINFINE,EQ,        58.00,                 85071945.10,1513776
,CANBK,EQ,       280.75,               1635726196.10,5824480
,CANDC,BZ,         8.10,                    54099.90,6679
,CANFINHOME,EQ,       347.70,                286058315.50,823842
,CANTABIL,EQ,       211.45,                  3298139.20,15716
,CAPACITE,EQ,       270.25,                 15166898.80,56072
,CAPLIPOINT,EQ,       419.85,                 18644730.55,43705
,CAPTRUST,EQ,       182.35,                   624451.70,3367
,CARBORUNIV,EQ,       378.95,                332830103.75,884611
,CAREERP,EQ,        71.30,                  1663887.55,23107
,CARERATING,EQ,       955.75,                 23377738.75,24313
,CASTEXTECH,EQ,          .85,                    43674.90,52004
,CASTROLIND,EQ,       148.30,                106231908.35,713097
,CCHHL,BE,         7.20,                   189411.60,26468
,CCL,EQ,       265.90,                  8006343.10,30005
,CDSL,EQ,       228.90,                 34351576.95,149408
,CEATLTD,EQ,      1000.50,                501416548.80,494939
,CEBBCO,EQ,        17.30,                   411755.15,24146
,CELEBRITY,EQ,         7.75,                   138193.70,17731
,CELESTIAL,EQ,         5.20,                   120056.00,22827
,CENTENKA,EQ,       229.45,                  5646012.10,24373
,CENTEXT,EQ,         5.05,                   330582.60,65993
,CENTRALBK,EQ,        26.05,                 20295766.65,776989
,CENTRUM,EQ,        30.80,                  5185907.50,166028
,CENTUM,EQ,       486.30,                 43715237.60,91545
,CENTURYPLY,EQ,       173.25,                 88309104.20,511668
,CENTURYTEX,EQ,      1030.40,                578644253.00,557021
,CERA,EQ,      3054.75,                 44819411.25,14758
,CEREBRAINT,EQ,        26.60,                  1660128.75,62649
,CES1RPG,MF,         9.62,                   244511.20,25420
,CESC,EQ,       726.35,                305621269.40,418167
,CESCVENT,EQ,       462.85,                 70891224.65,152206
,CGCL,EQ,       192.10,                100755647.95,523259
,CGPOWER,EQ,        38.15,                257181495.10,6667562
,CHALET,EQ,       332.85,                142590270.75,427524
,CHAMBLFERT,EQ,       182.95,                143065941.90,794959
,CHEMFAB,EQ,       168.00,                  2614283.65,15441
,CHENNPETRO,EQ,       231.20,                164949670.30,717172
,CHOLAFIN,EQ,      1495.95,                562000626.05,371855
,CHOLAHLDNG,EQ,       497.25,                 54406502.45,107792
,CHROMATIC,EQ,          .80,                     5259.40,6698
,CIGNITITEC,EQ,       324.55,                  6792470.30,21249
