,14-May-2018
The Nifty witnessed an intraday movement of about 60.1 points.The closing index was 0 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27402.41
, Traded Quantity (in Lakhs), 12983.17
, Number of Trades, 9331765
, Total Market Capitalisation (Rs. Crores), 14790982.64

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CELEBRITY,EQ,        14.65,                   626230.90,42419
,CELESTIAL,EQ,        14.10,                   845464.45,58763
,CENTENKA,EQ,       320.40,                  6558149.90,20321
,CENTEXT,EQ,         5.80,                   480727.35,81942
,CENTRALBK,EQ,        69.95,                  8779928.70,125635
,CENTRUM,EQ,        52.95,                  9447142.20,176044
,CENTUM,EQ,       571.40,                   552560.80,972
,CENTURYPLY,EQ,       306.15,                 29907294.10,97557
,CENTURYTEX,EQ,      1078.95,                401092825.90,368905
,CERA,EQ,      2936.75,                 10916906.45,3687
,CEREBRAINT,BE,        62.90,                  5135595.15,81620
,CESC,EQ,      1049.50,                321188164.65,304425
,CGCL,EQ,        90.10,                  1760565.45,19413
,CGPOWER,EQ,        79.30,                103922572.55,1313302
,CHAMBLFERT,EQ,       171.20,                 78036789.20,448710
,CHEMFAB,BE,       215.60,                   767123.95,3496
,CHENNPETRO,EQ,       292.50,                155674443.45,528833
,CHOLAFIN,EQ,      1574.10,                241353193.60,152876
,CHROMATIC,BE,         1.60,                    40774.40,25314
,CIGNITITEC,BE,       238.20,                    34473.00,147
,CIMMCO,EQ,        75.30,                  1645900.35,22109
,CINELINE,EQ,        68.30,                  2231137.35,32232
,CINEVISTA,EQ,         7.20,                   280472.40,38574
,CKPLEISURE,SM,        23.25,                    93000.00,4000
,CLEDUCATE,EQ,       218.50,                   970746.95,4425
,CLNINDIA,EQ,       559.55,                 13868827.65,24553
,CMICABLES,EQ,       308.60,                 11354603.80,37096
,CMMIPL,SM,        58.00,                   522000.00,9000
,CNOVAPETRO,EQ,        33.75,                    16473.15,488
,COCHINSHIP,EQ,       498.15,                 30600706.45,60862
,COFFEEDAY,EQ,       328.40,                 24637643.40,74585
,COMPINFO,EQ,        38.55,                  6385220.50,165894
,COMPUSOFT,EQ,        12.25,                   271504.35,22031
,CONSOFINVT,EQ,        60.40,                   412046.65,6678
,CONTROLPR,EQ,       440.00,                  1412877.85,3208
,CORALFINAC,EQ,        31.60,                  1046051.35,33049
,CORDSCABLE,EQ,        78.25,                   904859.50,11373
,COROMANDEL,EQ,       446.80,                 63330657.75,141572
,CORPBANK,EQ,        28.10,                  3921234.65,138712
,COSMOFILMS,EQ,       254.50,                  2442880.40,9568
,COUNCODOS,EQ,         2.45,                    11359.80,4470
,COX&KINGS,EQ,       208.00,                 71657702.05,342447
,CPSEETF,EQ,        28.01,                 10121687.98,360636
,CREST,EQ,       205.40,                  1651686.75,8176
