,21-May-2018
The Nifty witnessed an intraday movement of about 115.9 points.The closing index was 0.75 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29839.51
, Traded Quantity (in Lakhs), 16363.51
, Number of Trades, 11098361
, Total Market Capitalisation (Rs. Crores), 14377744.94

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CDSL,EQ,       272.70,                116735663.35,422925
,CEATLTD,EQ,      1353.55,                669596725.65,495678
,CEBBCO,EQ,        14.50,                   217542.35,14786
,CELEBRITY,EQ,        13.50,                   932977.55,66151
,CELESTIAL,EQ,        13.10,                   788041.35,59468
,CENTENKA,EQ,       306.00,                  6263033.95,20353
,CENTEXT,EQ,         5.45,                   277226.75,50288
,CENTRALBK,EQ,        66.65,                 28748184.55,432423
,CENTRUM,EQ,        51.35,                 19638326.15,372362
,CENTUM,EQ,       502.15,                  1234993.35,2448
,CENTURYPLY,EQ,       265.30,                222563601.15,850903
,CENTURYTEX,EQ,      1006.95,               5640987826.50,5708881
,CERA,EQ,      2840.25,                 42602033.45,14901
,CEREBRAINT,BE,        61.95,                 10398251.40,168653
,CESC,EQ,      1008.80,                309292027.00,307076
,CGCL,EQ,        91.20,                 11817802.20,127604
,CGPOWER,EQ,        71.60,                179248113.30,2494374
,CHAMBLFERT,EQ,       160.50,                 98497846.75,615392
,CHEMFAB,BE,       195.65,                  1562645.90,8068
,CHENNPETRO,EQ,       281.90,                125941678.95,443620
,CHOLAFIN,EQ,      1537.75,                519120529.80,341023
,CHROMATIC,BE,         1.50,                    18871.90,12654
,CIGNITITEC,BE,       242.70,                  1928288.00,8005
,CIMMCO,EQ,        74.60,                   990834.30,13314
,CINELINE,EQ,        65.05,                  1514774.85,22921
,CINEVISTA,EQ,         7.50,                    62893.90,8672
,CLEDUCATE,EQ,       206.75,                   821428.00,3903
,CLNINDIA,EQ,       457.50,                  3503921.50,7609
,CMICABLES,EQ,       304.35,                 46885020.25,153265
,CMMIPL,SM,        53.50,                   160500.00,3000
,CNOVAPETRO,EQ,        30.85,                    59796.45,1991
,COCHINSHIP,EQ,       479.55,                 39917856.75,82905
,COFFEEDAY,EQ,       306.75,                 51222355.65,167192
,COMPINFO,EQ,        36.35,                  1461584.00,39711
,COMPUSOFT,EQ,        12.10,                   391309.00,32223
,CONSOFINVT,EQ,        59.15,                   295377.65,4968
,CONTROLPR,EQ,       441.35,                  3744443.90,8606
,CORALFINAC,EQ,        29.15,                  1543413.55,54467
,CORDSCABLE,EQ,        74.60,                   736250.15,9784
,COROMANDEL,EQ,       446.75,                 21855572.25,49062
,CORPBANK,EQ,        25.35,                  5361980.30,212111
,COSMOFILMS,EQ,       250.60,                  2015147.35,8020
,COUNCODOS,EQ,         2.25,                    67139.70,29138
,COX&KINGS,EQ,       208.15,                 15461227.15,74679
,CPSEETF,EQ,        27.34,                 13043814.98,476512
,CREATIVEYE,EQ,         3.50,                      350.00,100
,CREST,EQ,       179.70,                  2702154.05,15097
,CRISIL,EQ,      1641.60,                 22843029.55,13799
,CRMFGETF,EQ,      2930.00,                     2930.00,1
,CROMPTON,EQ,       241.20,                138785964.05,582779
,CTE,EQ,        55.75,                   794001.40,14270
,CUB,EQ,       186.45,                 82294055.10,441325
,CUBEXTUB,BE,        19.70,                    41504.10,2083
,CUPID,EQ,       244.10,                  8222853.20,33309
,CYBERMEDIA,EQ,        10.25,                     2162.50,210
,CYBERTECH,EQ,        51.75,                  2760355.60,50992
,CYIENT,EQ,       765.05,                109589319.15,142125
,DAAWAT,EQ,        83.45,                 39006046.85,461613
,DALMIABHA,EQ,      2737.20,                476751007.25,175836
,DALMIASUG,EQ,        60.75,                 14827954.05,242666
,DAMODARIND,EQ,       109.20,                   279830.25,2550
,DATAMATICS,EQ,       116.75,                  5674172.40,48632
,DBCORP,EQ,       260.75,                 31824255.95,125423
,DBL,EQ,      1085.20,                350872052.45,319408
,DBREALTY,EQ,        47.70,                 26192447.90,534991
,DBSTOCKBRO,EQ,         8.50,                        8.50,1
,DCAL,EQ,       314.65,                 46663679.50,148271
,DCBBANK,EQ,       180.85,                311085780.50,1715469
,DCM,EQ,        88.55,                   634809.90,7156
,DCMFINSERV,BE,         2.85,                     3130.00,1080
,DCMSHRIRAM,EQ,       259.35,                102425946.85,380493
,DCW,EQ,        27.55,                 10111300.95,361402
,DECCANCE,EQ,       482.00,                   255455.60,529
,DEEPAKFERT,EQ,       307.70,                 23135177.40,74118
,DEEPAKNTR,EQ,       240.85,                 33513764.75,136060
,DEEPIND,EQ,       142.85,                  5560032.60,38121
,DELTACORP,EQ,       231.75,                462938335.10,1952941
,DELTAMAGNT,EQ,        56.00,                    17317.50,300
,DEN,EQ,        94.85,                 19947181.95,206789
,DENABANK,EQ,        16.25,                 15182692.85,934772
,DENORA,EQ,       344.25,                  6403427.80,18288
,DEVIT,SM,        82.30,                   123450.00,1500
,DFMFOODS,EQ,      1282.10,                  4164875.70,3143
,DHAMPURSUG,EQ,        93.05,                169689865.65,1822079
