,31-May-2018
The Nifty witnessed an intraday movement of about 143.4 points.The closing index was 1.15 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 59237.57
, Traded Quantity (in Lakhs), 25895.16
, Number of Trades, 15150626
, Total Market Capitalisation (Rs. Crores), 14693260.03

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CENTURYPLY,EQ,       279.35,                 40673887.55,144526
,CENTURYTEX,EQ,       947.15,               1008957148.30,1060932
,CERA,EQ,      2806.60,                 24350260.85,8645
,CEREBRAINT,BE,        64.40,                 12753721.95,200900
,CES1RPG,MF,         8.96,                    58615.00,6550
,CESC,EQ,      1019.30,                278260295.30,271423
,CGCL,EQ,        93.20,                  5935234.50,63252
,CGPOWER,EQ,        61.50,               1419687180.55,21626153
,CHAMBLFERT,EQ,       169.00,                 41041678.10,241596
,CHEMFAB,BE,       167.15,                   299386.15,1802
,CHENNPETRO,EQ,       283.40,                238576044.05,840782
,CHOLAFIN,EQ,      1528.70,                316567131.05,206706
,CHROMATIC,BE,         1.35,                    90172.80,66038
,CIGNITITEC,BE,       246.35,                  4003369.00,16252
,CIMMCO,EQ,        76.20,                   395725.05,5135
,CINELINE,EQ,        65.70,                   970493.35,14535
,CINEVISTA,EQ,         7.70,                     9188.50,1210
,CLEDUCATE,EQ,       185.10,                   879258.45,4690
,CLNINDIA,EQ,       461.20,                  2931437.85,6343
,CMICABLES,EQ,       260.00,                 27494558.85,103845
,CMMIPL,SM,        51.50,                  1388100.00,27000
,CNOVAPETRO,EQ,        28.55,                    93373.10,3237
,COCHINSHIP,EQ,       504.30,                100419727.20,200172
,COFFEEDAY,EQ,       298.60,                 20763461.80,69325
,COMPINFO,EQ,        38.55,                  7756237.20,198964
,COMPUSOFT,EQ,        11.65,                   776601.60,65917
,CONSOFINVT,EQ,        60.75,                   161462.90,2630
,CONTROLPR,EQ,       420.60,                  1605807.55,3780
,CORALFINAC,EQ,        28.55,                   873966.00,30764
,CORDSCABLE,EQ,        80.50,                  1184621.95,14648
,COROMANDEL,EQ,       450.95,                205176420.65,453716
,CORPBANK,EQ,        27.85,                  6020085.60,214218
,COSMOFILMS,EQ,       236.30,                 18870613.25,78782
,COUNCODOS,EQ,         2.30,                    31740.00,13800
,COX&KINGS,EQ,       215.50,                 45631628.80,213431
,CPSEETF,EQ,        28.08,                 23438610.14,836715
,CREATIVEYE,EQ,         3.30,                     3300.00,1000
,CREST,EQ,       175.05,                   616195.85,3548
,CRISIL,EQ,      1715.05,                212041150.45,120546
