,02-May-2018
The Nifty witnessed an intraday movement of about 94.85 points.The closing index was 0.2 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35016.49
, Traded Quantity (in Lakhs), 15455.52
, Number of Trades, 11796715
, Total Market Capitalisation (Rs. Crores), 14966387.2

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BIOFILCHEM,BE,        14.20,                    12041.90,847
,BIRLACABLE,BE,        80.45,                  3157716.60,37824
,BIRLACORPN,EQ,       749.50,                 52582925.60,70130
,BIRLAMONEY,BE,        70.40,                  4314880.70,60802
,BKMINDST,EQ,        27.80,                   526201.40,18735
,BLBLIMITED,BE,         8.00,                    20089.65,2514
,BLISSGVS,EQ,       201.35,                 43830729.90,216892
,BLKASHYAP,EQ,        49.65,                 11421185.35,228240
,BLS,EQ,       147.95,                 23721405.90,159452
,BLUEBLENDS,EQ,        16.75,                    83791.80,4971
,BLUECOAST,EQ,        84.00,                    68384.50,804
,BLUEDART,EQ,      3643.15,                 40277435.45,11016
,BLUESTARCO,EQ,       801.75,                 47124442.15,58615
,BODALCHEM,EQ,       116.20,                 27008030.05,230586
,BOHRA,SM,        42.00,                   329700.00,8000
,BOMDYEING,EQ,       296.85,               1857623434.90,6070060
,BPL,EQ,        79.65,                 23291226.55,290039
,BRFL,BE,        22.10,                   868264.80,39288
,BRIGADE,EQ,       276.35,                 11274681.35,39995
,BRNL,EQ,       179.85,                  2319341.80,12899
,BROOKS,EQ,        90.30,                  6324172.85,68904
,BSE,EQ,       814.80,                 57151783.35,69881
,BSELINFRA,EQ,         4.15,                   163301.05,40315
,BSHSL,ST,        73.15,                  5811200.00,80000
,BSL,EQ,        63.55,                   487425.40,7581
,BSLGOLDETF,EQ,      2890.00,                    11618.00,4
,BSLIMITED,BZ,          .70,                   206575.60,295108
,BSLNIFTY,EQ,       105.80,                    33284.65,311
,BURNPUR,BE,         7.65,                  1459352.20,191207
,BUTTERFLY,EQ,       526.65,                 10091686.00,18957
,BVCL,BE,        27.00,                   101893.00,3761
,BYKE,EQ,       185.90,                  5043685.65,26884
,CADSYS,SM,        94.00,                   188000.00,2000
,CALSOFT,EQ,        40.85,                   226635.80,5548
,CAMLINFINE,EQ,       106.50,                 40461050.45,374809
,CANBK,EQ,       256.35,               1333855456.00,5125762
,CANDC,EQ,        46.85,                  1800373.25,38112
,CANFINHOME,EQ,       416.35,                613396260.40,1447389
,CANTABIL,BE,       131.45,                  6251262.95,47439
,CAPACITE,EQ,       352.45,                 36773430.15,104058
,CAPF,EQ,       636.85,                211828690.70,329814
,CAPLIPOINT,EQ,       602.30,                 15431441.95,25461
,CAPTRUST,EQ,       405.60,                   919343.75,2253
,CARBORUNIV,EQ,       368.15,                 14747564.05,39319
,CAREERP,EQ,       125.60,                  8198980.60,64565
,CARERATING,EQ,      1257.80,                 23468053.45,18519
,CASTEXTECH,EQ,         2.75,                   712948.50,259254
,CASTROLIND,EQ,       200.30,                542578324.85,2707155
,CCCL,EQ,         3.95,                   225604.60,57802
,CCHHL,EQ,        12.60,                   825417.10,64436
,CCL,EQ,       311.00,                 11509601.60,36991
,CDSL,EQ,       284.95,                281358358.15,973705
,CEATLTD,EQ,      1591.40,               2457183652.05,1519100
,CEBBCO,EQ,        15.00,                   438366.10,29289
,CELEBRITY,EQ,        15.70,                   733678.15,46244
,CELESTIAL,EQ,        15.20,                   953217.50,61794
,CENTENKA,EQ,       362.05,                 12364397.85,33834
,CENTEXT,EQ,         5.80,                   343168.60,59167
,CENTRALBK,EQ,        69.30,                 16489760.65,237315
,CENTRUM,EQ,        58.40,                 12721262.00,216751
,CENTUM,EQ,       551.50,                 10463043.75,18983
,CENTURYPLY,EQ,       323.95,                 37620522.50,114968
,CENTURYTEX,EQ,      1143.90,               2716580976.40,2259551
,CERA,EQ,      3234.65,                 78961849.35,24448
,CEREBRAINT,BE,        65.85,                 69143945.95,1055776
,CESC,EQ,      1042.40,                338303622.20,321326
,CGCL,EQ,        92.50,                  1325088.45,14247
,CGPOWER,EQ,        81.70,                183382586.65,2229689
,CHAMBLFERT,EQ,       192.65,                 69101263.05,352783
,CHEMFAB,BE,       220.25,                  3608143.45,16871
,CHENNPETRO,EQ,       311.35,                128969033.50,408332
,CHOLAFIN,EQ,      1710.45,                300119553.25,173998
,CHROMATIC,BE,         1.85,                    22503.25,12239
,CIGNITITEC,BE,       234.30,                  1008347.70,4220
,CIMMCO,EQ,        84.85,                  2741392.25,32060
,CINELINE,EQ,        78.45,                  1808407.55,22695
,CINEVISTA,EQ,         9.55,                   131524.55,13767
,CKPPRODUCT,SM,        68.50,                   409500.00,6000
,CLEDUCATE,EQ,       218.50,                 21254383.65,96589
,CLNINDIA,EQ,       539.50,                  7856686.70,14511
,CMICABLES,EQ,       336.80,                 21686962.40,62876
,CMMIPL,SM,        65.00,                  1422000.00,21000
,CNOVAPETRO,EQ,        35.00,                   259737.50,7328
,COCHINSHIP,EQ,       526.20,                 18450707.80,35009
,COFFEEDAY,EQ,       342.65,                 82698449.45,241486
,COMPINFO,EQ,        40.05,                   971390.40,24325
,COMPUSOFT,EQ,        13.80,                   350533.70,25062
,CONSOFINVT,EQ,        61.40,                   244714.05,3950
,CONTROLPR,EQ,       450.00,                  2201135.35,4913
,CORALFINAC,EQ,        29.35,                  1234306.40,42397
,CORDSCABLE,EQ,        91.85,                  1309447.75,13972
,COROMANDEL,EQ,       452.00,                199440709.40,436454
,CORPBANK,EQ,        29.70,                  5005546.90,166510
,COSMOFILMS,EQ,       273.45,                  5977310.85,21716
,COUNCODOS,EQ,         2.90,                    12983.25,4488
,COX&KINGS,EQ,       219.60,                 36313580.10,166350
,CPSEETF,EQ,        27.52,                 10846457.95,392198
,CREATIVEYE,EQ,         3.80,                     1140.00,300
,CREST,EQ,       208.00,                  1170203.60,5581
,CRISIL,EQ,      1855.60,                 16971950.50,9132
,CRMFGETF,EQ,      2889.00,                 14476810.00,5011
,CROMPTON,EQ,       234.50,                174582913.60,739201
,CTE,EQ,        63.50,                   737716.05,11594
,CUB,EQ,       184.75,                214122137.60,1157640
,CUBEXTUB,BE,        22.10,                    64192.45,2929
,CUPID,EQ,       288.80,                 45045444.20,150498
,CYBERTECH,EQ,        68.55,                  1667341.60,24066
,CYIENT,EQ,       806.40,               1479375938.15,1848617
,DAAWAT,EQ,        89.35,                 70227942.60,773153
,DALMIABHA,EQ,      2965.70,                394175899.90,130682
,DALMIASUG,EQ,        63.45,                 12086484.05,185495
,DAMODARIND,EQ,       129.00,                   652904.35,5014
,DATAMATICS,EQ,       123.75,                 11843913.65,93528
,DBCORP,EQ,       297.90,                 90109619.45,302863
,DBL,EQ,      1138.95,                111638649.15,97521
,DBREALTY,EQ,        63.50,                 50881564.90,791678
,DCAL,EQ,       370.05,                 55915096.35,150614
,DCBBANK,EQ,       193.85,                337244798.15,1736464
,DCM,EQ,        95.35,                  1349198.00,14045
,DCMFINSERV,BE,         2.15,                     3415.65,1591
,DCMSHRIRAM,EQ,       313.30,                122172309.50,377215
,DCW,EQ,        33.55,                 11142232.40,330294
,DECCANCE,EQ,       524.85,                   364241.05,692
,DEEPAKFERT,EQ,       345.05,                 33391241.05,96335
,DEEPAKNTR,EQ,       266.85,                 48166062.40,179201
,DEEPIND,EQ,       150.95,                  8517632.05,55516
,DELTACORP,EQ,       261.95,                484190931.15,1813940
,DELTAMAGNT,EQ,        54.60,                    26314.50,462
,DEN,EQ,       107.50,                 47009235.90,441229
,DENABANK,EQ,        19.30,                 15157819.60,782968
,DENORA,EQ,       506.15,                  7128447.35,14135
,DFMFOODS,EQ,      1437.10,                  2524280.85,1745
,DHAMPURSUG,EQ,        91.10,                159854134.45,1699975
,DHANBANK,EQ,        21.15,                  4106194.70,194623
,DHANUKA,EQ,       595.05,                  9019328.25,15236
