,28-May-2018
The Nifty witnessed an intraday movement of about 69.25 points.The closing index was 0.79 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30128.42
, Traded Quantity (in Lakhs), 14205.37
, Number of Trades, 11263802
, Total Market Capitalisation (Rs. Crores), 14705586.77

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CARBORUNIV,EQ,       350.05,                  7345237.40,21030
,CAREERP,EQ,       107.35,                  4840772.80,45545
,CARERATING,EQ,      1323.00,                135485169.40,102226
,CASTEXTECH,EQ,         2.75,                   255530.00,92920
,CASTROLIND,EQ,       180.60,                532414799.40,2972569
,CCCL,EQ,         3.45,                   315722.10,94547
,CCHHL,EQ,        10.55,                   544720.65,52171
,CCL,EQ,       313.25,                 24200109.85,76978
,CDSL,EQ,       272.60,                 88890720.95,325812
,CEATLTD,EQ,      1382.00,               1434388349.70,1024049
,CEBBCO,EQ,        14.20,                   281513.65,20064
,CELEBRITY,EQ,        14.05,                   733904.05,52215
,CELESTIAL,EQ,        12.40,                  1490295.90,122831
,CENTENKA,EQ,       317.70,                  4433964.00,13943
,CENTEXT,EQ,         6.25,                  1141027.35,179937
,CENTRALBK,EQ,        69.85,                 28511417.60,413794
,CENTRUM,EQ,        54.45,                 13718053.60,253109
,CENTUM,EQ,       497.45,                   501320.10,1009
,CENTURYPLY,EQ,       277.95,                 38000253.85,137036
,CENTURYTEX,EQ,       951.15,                877725878.90,915333
,CERA,EQ,      2862.90,                 22997300.45,7992
,CEREBRAINT,BE,        62.35,                 10907997.85,176923
,CES1DPG,MF,         9.70,                        9.70,1
,CES1RPG,MF,         8.90,                    77465.50,8700
,CESC,EQ,      1047.05,                344842617.70,331152
,CGCL,EQ,        98.40,                 12089343.00,121918
,CGPOWER,EQ,        77.85,                131576189.75,1703727
,CHAMBLFERT,EQ,       171.25,                282365460.30,1680747
,CHEMFAB,BE,       164.95,                   821807.40,4996
,CHENNPETRO,EQ,       283.90,                281469309.60,971457
,CHOLAFIN,EQ,      1546.65,                417101553.65,269062
,CHROMATIC,BE,         1.45,                    18471.50,12804
,CIGNITITEC,BE,       248.70,                  2519925.15,10169
,CIMMCO,EQ,        77.55,                   848047.10,11017
,CINELINE,EQ,        67.40,                  3196875.10,47086
,CINEVISTA,EQ,         7.35,                    98310.20,13142
,CLEDUCATE,EQ,       192.70,                   286591.40,1487
,CLNINDIA,EQ,       451.35,                  4045509.65,8940
,CMICABLES,EQ,       294.05,                  6618468.65,22206
,CMMIPL,SM,        53.00,                   312750.00,6000
,CNOVAPETRO,EQ,        32.20,                    31541.55,1021
,COCHINSHIP,EQ,       510.35,                 32493856.80,63543
,COFFEEDAY,EQ,       307.10,                 16155748.60,52432
,COMPINFO,EQ,        35.10,                   555516.70,15828
,COMPUSOFT,EQ,        12.40,                   362710.60,29486
,CONSOFINVT,EQ,        59.35,                   372436.10,6217
,CONTROLPR,EQ,       435.50,                 12280013.90,27783
,CORALFINAC,EQ,        29.05,                   827659.90,28311
,CORDSCABLE,EQ,        77.75,                   884231.20,11516
,COROMANDEL,EQ,       444.25,                 29909846.25,68044
,CORPBANK,EQ,        26.60,                 15655091.95,597094
,COSMOFILMS,EQ,       252.85,                  6035117.30,23975
,COUNCODOS,EQ,         2.00,                    13996.85,6913
,COX&KINGS,EQ,       216.20,                 83015828.95,388057
,CPSEETF,EQ,        27.68,                 17555430.45,637106
,CREST,EQ,       178.90,                   849978.95,4779
,CRISIL,EQ,      1710.10,                  9019135.95,5348
,CRMFGETF,EQ,      2900.00,                  5825603.00,2021
,CROMPTON,EQ,       227.00,                421715716.20,1866322
,CROWN,SM,        80.75,                   241250.00,3000
,CTE,EQ,        54.05,                   194505.00,3584
,CUB,EQ,       183.00,                135256881.00,739017
,CUBEXTUB,BE,        19.40,                    94676.65,5026
,CUPID,EQ,       256.90,                 21749687.30,83699
,CYBERTECH,EQ,        54.80,                   969519.95,18148
,CYIENT,EQ,       763.85,                 84980863.45,110588
,DAAWAT,EQ,        76.10,                 59870193.70,781549
,DALMIABHA,EQ,      2705.20,                214643180.15,79889
,DALMIASUG,EQ,        66.25,                  6499544.65,98817
,DAMODARIND,EQ,       118.20,                   567274.25,4824
,DATAMATICS,EQ,       123.85,                 20280220.30,163889
,DBCORP,EQ,       263.90,                 91435014.00,344406
,DBL,EQ,      1059.75,                240920313.15,226653
,DBREALTY,EQ,        53.80,                 17742638.05,333620
,DCAL,EQ,       314.50,                 62728651.55,200872
,DCBBANK,EQ,       186.95,                195987210.95,1048885
,DCM,EQ,        93.60,                  3082025.45,33037
,DCMFINSERV,BE,         3.00,                    42691.00,13943
,DCMSHRIRAM,EQ,       283.60,                 84771989.15,303800
,DCW,EQ,        28.60,                  6799840.35,239944
,DECCANCE,EQ,       465.25,                   485265.65,1031
,DEEPAKFERT,EQ,       336.30,                 60540256.00,182510
,DEEPAKNTR,EQ,       251.85,                 17363917.35,68407
,DEEPIND,EQ,       152.45,                 18912272.85,121954
,DELTACORP,EQ,       247.30,               1151567661.95,4718936
,DELTAMAGNT,EQ,        57.50,                   453931.05,7283
,DEN,EQ,        97.85,                 16069753.50,163301
,DENABANK,EQ,        16.75,                 21374585.75,1277371
,DENORA,EQ,       337.25,                  2909580.00,8504
,DFMFOODS,EQ,      1308.60,                  6826249.55,5148
,DHAMPURSUG,EQ,        99.80,                124288279.50,1255591
,DHANBANK,EQ,        20.65,                  7878420.65,383011
,DHANUKA,EQ,       588.50,                  6584211.30,11212
