,26-Sep-2018
The Nifty witnessed an intraday movement of about 152.5 points.The closing index was 0.12 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35572.48
, Traded Quantity (in Lakhs), 16913.98
, Number of Trades, 13393395
, Total Market Capitalisation (Rs. Crores), 14616934.32

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BBL,EQ,      1272.65,                  6343371.40,4973
,BBTC,EQ,      1426.90,                392607464.75,270758
,BCONCEPTS,SM,        33.00,                   309000.00,9000
,BDL,EQ,       300.75,                  5293935.05,17525
,BEARDSELL,EQ,        31.30,                    33355.40,1046
,BEDMUTHA,EQ,        24.80,                  1099393.80,44500
,BEML,EQ,       661.20,                696502794.40,1052639
,BEPL,EQ,       131.10,                 73935227.50,558441
,BERGEPAINT,EQ,       295.65,                275422999.25,925942
,BETA,SM,        80.50,                  1118560.00,13600
,BFINVEST,EQ,       303.25,                 68785951.05,226171
,BFUTILITIE,EQ,       260.10,                 75570920.15,287543
,BGLOBAL,BE,         2.55,                    27293.85,11591
,BGRENERGY,EQ,        62.25,                  2218659.20,35640
,BHAGERIA,EQ,       264.85,                  3200610.15,12032
,BHAGYANGR,BE,        31.90,                   115776.20,3679
,BHAGYAPROP,EQ,        24.05,                    19140.00,800
,BHANDARI,EQ,         2.10,                   340909.15,158344
,BHARATFIN,EQ,      1063.00,               2080568092.10,1968359
,BHARATFORG,EQ,       625.00,                568535991.30,911023
,BHARATGEAR,EQ,       170.25,                  3159173.90,18532
,BHARATIDIL,BZ,         2.85,                    18180.45,6366
,BHARATRAS,EQ,      6532.30,                  6742715.90,1033
,BHARATWIRE,EQ,        81.40,                  1425029.85,17431
,BHUSANSTL,EQ,        24.90,                 15181447.55,603822
,BIGBLOC,EQ,        68.50,                  8246063.40,121931
,BIL,EQ,       334.95,                  2174703.35,6328
,BILENERGY,BE,          .50,                    46284.55,91916
,BILPOWER,BZ,          .45,                     6305.05,13560
,BINANIIND,EQ,        92.40,                  2619012.05,27897
,BINDALAGRO,EQ,        17.90,                   676319.10,38103
,BIOCON,EQ,       706.60,               3188476971.20,4501895
,BIOFILCHEM,BE,         9.00,                    10165.00,1165
,BIRLACABLE,EQ,       157.60,                 32323462.70,205837
,BIRLACORPN,EQ,       667.90,                 19856265.80,29368
,BIRLAMONEY,EQ,        51.65,                  2197870.00,43047
,BKMINDST,EQ,        12.65,                   908336.65,73026
,BLBLIMITED,EQ,         5.05,                    50915.70,10042
,BLISSGVS,EQ,       188.15,                 41493816.05,220309
,BLKASHYAP,EQ,        31.00,                  3388134.30,107059
,BLS,EQ,       143.75,                 18366236.05,130732
,BLUEBLENDS,EQ,         5.10,                    37443.25,7242
,BLUECHIP,BE,          .15,                       22.35,149
,BLUECOAST,EQ,        62.90,                      377.85,6
,BLUEDART,EQ,      3004.85,                  7362739.80,2450
,BLUEDART,N3,        10.21,                       61.26,6
,BLUEDART,N2,        10.25,                      481.75,47
,BLUESTARCO,EQ,       609.75,                  7345453.50,12001
,BODALCHEM,EQ,       106.40,                 14670382.35,137840
,BOMDYEING,BE,       185.80,                  6448003.20,34704
,BOROSIL,EQ,       282.85,                 16873249.20,59558
,BPL,EQ,        41.80,                  4387976.50,105263
,BRFL,BE,        16.65,                  1494977.70,89270
,BRIGADE,EQ,       197.00,                  2937068.95,14942
,BRIGHT,SM,        40.50,                  2418900.00,60000
,BRNL,EQ,       153.45,                   313421.95,2050
,BROOKS,EQ,        65.05,                  2250995.95,34401
,BSE,EQ,       711.60,                 51347696.10,71780
,BSELINFRA,EQ,         2.75,                    70552.05,25649
,BSHSL,SM,       133.00,                   543700.00,4000
,BSL,EQ,        45.00,                   401386.50,9027
,BSLGOLDETF,EQ,      2850.00,                    76905.00,27
,BSLNIFTY,EQ,       116.00,                    11948.00,103
,BURNPUR,BE,         4.25,                   437148.40,102824
,BUTTERFLY,EQ,       264.60,                  2502976.65,9636
,BVCL,BE,        16.45,                    85865.60,5163
,BYKE,EQ,        77.45,                 26076617.50,321409
,CADSYS,SM,        51.00,                   414200.00,8000
,CALSOFT,BE,        40.90,                   981886.30,24007
,CAMLINFINE,EQ,        53.35,                 17420211.50,323963
,CANBK,EQ,       235.15,               1411977721.70,6009365
,CANDC,EQ,        28.20,                   768332.80,27525
,CANFINHOME,EQ,       248.65,                564665578.75,2245941
,CANTABIL,EQ,       158.45,                  5283094.90,34165
,CAPACITE,EQ,       228.85,                 10328561.20,44854
,CAPF,EQ,       519.20,                273948643.35,527686
,CAPLIPOINT,EQ,       435.05,                  8790510.45,20090
,CAPTRUST,EQ,       310.15,                   905688.60,2891
,CARBORUNIV,EQ,       382.95,                 80931070.30,215871
,CAREERP,EQ,        70.00,                  1592315.60,22324
,CARERATING,EQ,      1238.25,                142533910.25,114987
,CASTEXTECH,EQ,         1.25,                   800868.55,638735
,CASTROLIND,EQ,       149.55,                 98169779.15,653889
,CCCL,EQ,         2.05,                   118431.90,57559
,CCHHL,EQ,         8.15,                   190877.30,23368
,CCL,EQ,       259.20,                 14245437.35,55473
,CDSL,EQ,       245.65,                 50246410.90,202790
,CEATLTD,EQ,      1235.90,                303091519.70,245321
,CEBBCO,EQ,        14.95,                   589586.40,39085
,CELEBRITY,EQ,        10.00,                   220054.25,22493
,CELESTIAL,EQ,        14.95,                   894473.65,59036
,CENTENKA,EQ,       273.25,                 10864807.10,40106
,CENTEXT,EQ,         7.65,                  1771890.30,227530
,CENTRALBK,EQ,        43.60,                 55268050.65,1260191
,CENTRUM,EQ,        39.80,                 12511646.80,314489
,CENTUM,EQ,       437.05,                   394296.30,910
,CENTURYPLY,EQ,       186.90,                 32448522.10,171925
,CENTURYTEX,EQ,       876.80,                312631334.30,357358
,CERA,EQ,      2603.05,                  7354308.95,2834
,CEREBRAINT,EQ,        32.95,                  7119139.25,213187
,CES1RPG,MF,         8.99,                  1032821.11,115911
,CESC,EQ,       905.80,                314773047.05,349280
,CGCL,EQ,        99.60,                 27698370.85,276538
,CGPOWER,EQ,        48.70,                211728117.25,4344840
,CHAMBLFERT,EQ,       157.10,                 64853378.95,419987
,CHEMFAB,EQ,       163.60,                  1826576.85,11340
,CHENNPETRO,EQ,       271.60,                104070831.15,379983
,CHOLAFIN,EQ,      1215.55,                487822068.60,400010
,CHROMATIC,BE,         1.15,                   100052.70,87698
,CIGNITITEC,EQ,       376.95,                  7579639.65,19955
,CIMMCO,EQ,        51.80,                   539624.30,10472
,CINELINE,EQ,        50.25,                  2531601.95,50595
,CINEVISTA,BE,         6.35,                     8388.00,1310
,CKPLEISURE,SM,        12.05,                   201200.00,16000
,CLEDUCATE,EQ,       128.75,                   257727.25,2012
,CLNINDIA,EQ,       470.95,                  6173110.10,13031
,CMICABLES,EQ,       155.65,                  3208313.85,20794
,CMMIPL,SM,        22.75,                   204900.00,9000
,CNOVAPETRO,BE,        25.65,                    31806.00,1240
,COCHINSHIP,EQ,       400.05,                101590299.00,252128
,COFFEEDAY,EQ,       294.35,                 39533027.50,133779
,COMPINFO,EQ,        30.10,                  2793966.10,80803
,COMPUSOFT,EQ,        11.15,                   217458.05,19545
,CONSOFINVT,EQ,        57.70,                   358922.40,6146
,CONTROLPR,EQ,       360.40,                 31175707.25,86484
,CORALFINAC,EQ,        16.90,                   647650.65,39049
,CORDSCABLE,EQ,        65.05,                   768750.95,11816
,COROMANDEL,EQ,       399.10,                 36024346.90,91048
,CORPBANK,EQ,        25.80,                  3863122.30,149450
,COSMOFILMS,EQ,       236.80,                  2432958.65,10228
,COUNCODOS,EQ,         2.60,                    26475.45,10165
,COX&KINGS,EQ,       193.50,                 14404846.30,74519
,CPSEETF,EQ,        26.95,                  9292854.08,345123
,CREATIVE,SM,       111.35,                   178160.00,1600
,CREDITACC,EQ,       326.10,                139708349.35,447494
,CREST,EQ,       180.35,                 54191404.00,304340
,CRISIL,EQ,      1750.00,                 17921300.25,10196
,CRMFGETF,EQ,      2800.05,                     8600.05,3
,CROMPTON,EQ,       218.65,                549428808.45,2547691
,CROWN,SM,        58.80,                    58800.00,1000
,CTE,EQ,        52.15,                   406810.50,7680
,CUB,EQ,       183.80,                 80907485.60,444782
,CUPID,EQ,       196.80,                  3041800.70,15335
,CURATECH,BE,         3.65,                       21.90,6
,CYBERMEDIA,EQ,         8.50,                       17.30,2
,CYBERTECH,EQ,        40.65,                   894949.20,21304
,CYIENT,EQ,       726.65,                 93982947.30,129786
,DAAWAT,EQ,        46.60,                 97160656.25,2132362
,DALMIABHA,EQ,      2430.15,                129633741.00,53364
,DALMIASUG,EQ,        80.45,                 64452633.05,777398
,DAMODARIND,EQ,        98.00,                    94144.65,947
,DANGEE,SM,       203.75,                 12550240.00,60800
,DATAMATICS,EQ,       114.35,                 13646976.00,118789
,DBCORP,EQ,       203.50,                  4701006.10,23039
,DBL,EQ,       687.10,                 83638889.75,121355
,DBREALTY,EQ,        23.10,                  8911016.75,383768
,DBSTOCKBRO,EQ,         8.75,                       17.50,2
,DCAL,EQ,       253.05,                 30419149.15,119814
,DCBBANK,EQ,       153.60,                361924309.80,2352726
,DCM,EQ,        79.55,                  3068183.80,38502
,DCMFINSERV,EQ,         2.00,                     5000.00,2500
,DCMSHRIRAM,EQ,       448.25,                162923162.30,361818
,DCW,EQ,        19.70,                  6020485.35,303800
,DECCANCE,EQ,       380.10,                   580833.80,1518
