,05-Sep-2018
The Nifty witnessed an intraday movement of about 148.8 points.The closing index was 0.38 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 37075.89
, Traded Quantity (in Lakhs), 16742.16
, Number of Trades, 12974313
, Total Market Capitalisation (Rs. Crores), 15334292.61

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BHARATIDIL,BZ,         3.25,                    12904.50,3729
,BHARATRAS,EQ,      7698.05,                 11412089.00,1497
,BHARATWIRE,EQ,        91.40,                  1235379.05,13539
,BHUSANSTL,EQ,        28.85,                 20656926.35,715415
,BIGBLOC,EQ,        79.80,                   824466.55,10321
,BIL,EQ,       384.65,                  5278951.00,14054
,BILENERGY,BE,          .50,                     3116.70,6191
,BILPOWER,BZ,          .70,                      902.50,1210
,BINANIIND,EQ,       103.00,                  8610741.70,83439
,BINDALAGRO,EQ,        20.15,                  1111763.60,54540
,BIOCON,EQ,       624.05,               3275028382.90,5274614
,BIOFILCHEM,BE,         9.80,                    37687.90,3961
,BIRLACABLE,EQ,       166.45,                 58635631.30,345412
,BIRLACORPN,EQ,       775.35,                 45629983.60,59784
,BIRLAMONEY,EQ,        58.65,                  5487481.55,93191
,BKMINDST,EQ,        18.10,                    46607.15,2574
,BLBLIMITED,EQ,         5.95,                   370329.50,61749
,BLISSGVS,EQ,       180.50,                 32575159.70,179717
,BLKASHYAP,EQ,        38.95,                 65528884.05,1719695
,BLS,EQ,       157.15,                 10990016.35,69915
,BLUEBLENDS,EQ,         5.80,                    27239.25,4719
,BLUECHIP,BE,          .20,                     1277.25,6075
,BLUEDART,EQ,      3365.10,                  4655472.50,1376
,BLUEDART,N2,        10.25,                     7462.00,728
,BLUESTARCO,EQ,       687.10,                 17621438.30,25905
,BODALCHEM,EQ,       117.85,                 13252817.75,113213
,BOHRA,SM,        19.25,                    38500.00,2000
,BOMDYEING,BE,       268.70,                141137251.70,530930
,BOROSIL,EQ,       303.55,                 34479863.50,112992
,BPL,EQ,        51.90,                 11387930.20,218490
,BRFL,BE,        16.20,                   379582.20,23431
,BRIGADE,EQ,       215.90,                 58398859.20,280197
,BRIGHT,SM,        45.00,                  1084650.00,24000
,BRNL,EQ,       158.80,                 32594645.15,203602
,BROOKS,EQ,        76.45,                  7328016.90,95092
,BSE,EQ,       730.05,                 66210495.85,90599
,BSELINFRA,EQ,         3.30,                   100702.65,30710
,BSHSL,SM,       145.00,                   287000.00,2000
,BSL,EQ,        52.00,                   388378.80,7431
,BSLGOLDETF,EQ,      2818.00,                    16965.00,6
,BSLNIFTY,EQ,       114.99,                    16211.27,142
