,07-Sep-2018
The Nifty witnessed an intraday movement of about 118.6 points.The closing index was 0.45 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 36966.93
, Traded Quantity (in Lakhs), 14044.67
, Number of Trades, 12659002
, Total Market Capitalisation (Rs. Crores), 15511978.16

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ASSAMCO,BE,         4.30,                   598086.05,139322
,ASTEC,EQ,       695.55,                 20237553.25,29019
,ASTERDM,EQ,       175.50,                 10262362.75,58463
,ASTRAL,EQ,      1111.65,                 34975286.35,31100
,ASTRAMICRO,EQ,        94.95,                 20372887.70,214423
,ASTRAZEN,EQ,      1864.10,                 36945999.45,19963
,ASTRON,EQ,       126.55,                 66113002.05,524825
,ATFL,EQ,       650.35,                  3848467.05,5887
,ATLANTA,EQ,        38.90,                  3615331.55,93848
,ATLASCYCLE,BE,       136.00,                   696909.80,5228
,ATUL,EQ,      3221.75,                 18661663.85,5737
,ATULAUTO,EQ,       389.00,                 61034584.40,155876
,AUBANK,EQ,       694.45,                273067938.90,395129
,AURIONPRO,EQ,       182.45,                  5570180.00,30982
,AUSOMENT,EQ,        64.75,                   230475.90,3574
,AUTOAXLES,EQ,      1397.35,                 66335419.85,46829
,AUTOIND,EQ,        59.50,                   593615.45,9975
,AUTOLITIND,EQ,        53.00,                   373454.55,7010
,AVADHSUGAR,EQ,       352.60,                  3356274.90,9516
,AVANTIFEED,EQ,       415.60,                118510525.20,285404
,AVG,SM,        93.50,                   221700.00,2400
,AVONMPL,SM,        57.80,                   220600.00,4000
,AVTNPL,EQ,        32.40,                  2015583.60,61971
,AXISCADES,EQ,       110.80,                 26816901.95,241195
,AXISGOLD,EQ,      2686.10,                   136873.70,51
,AXISNIFTY,EQ,      1171.71,                    36238.90,31
,AYMSYNTEX,EQ,        39.75,                  1078326.15,26852
,BAFNAPHARM,EQ,        19.80,                   405444.00,20645
,BAGFILMS,BE,         6.15,                   501294.10,81725
,BAJAJCORP,EQ,       415.65,                 34675598.70,82019
,BAJAJELEC,EQ,       534.80,                122175814.85,227880
,BAJAJHIND,EQ,         6.70,                  7850915.25,1163257
,BAJAJHLDNG,EQ,      3112.65,                 58593752.10,18765
,BALAJITELE,EQ,       106.90,                  3924054.05,36567
,BALAMINES,EQ,       568.15,                 15939134.35,28598
,BALKRISHNA,EQ,        72.30,                  5367152.90,74026
