,18-Sep-2018
The Nifty witnessed an intraday movement of about 142.5 points.The closing index was 0.87 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32077.64
, Traded Quantity (in Lakhs), 17220.05
, Number of Trades, 11617457
, Total Market Capitalisation (Rs. Crores), 15122623.93

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BALAMINES,EQ,       534.30,                  8932894.35,16594
,BALKRISHNA,EQ,        63.55,                  1166018.50,18207
,BALKRISIND,EQ,      1131.90,                510988158.35,449054
,BALLARPUR,EQ,         8.40,                  6047854.35,709449
,BALMLAWRIE,EQ,       203.95,                 11578624.15,56253
,BALPHARMA,EQ,       100.40,                 11520808.05,112893
,BALRAMCHIN,EQ,        84.90,               4870233956.60,54317099
,BANARBEADS,EQ,        49.40,                    43933.75,890
,BANARISUG,EQ,      1681.90,                 12532524.55,7239
,BANCOINDIA,EQ,       212.75,                 11475145.50,53254
,BANDHANBNK,EQ,       619.40,                201684365.50,323964
,BANG,EQ,        48.50,                  1387712.40,29392
,BANKA,SM,       114.00,                   513600.00,4800
,BANKBEES,EQ,      2685.83,                326899947.42,121697
,BANKINDIA,EQ,        89.80,               1260008163.45,13925708
,BANSAL,SM,        99.00,                   491400.00,5000
,BANSWRAS,EQ,        77.55,                   247001.95,3164
,BARTRONICS,EQ,         8.35,                   420306.60,49669
,BASF,EQ,      1849.90,                  5286572.05,2816
,BASML,EQ,       222.80,                    91060.95,408
,BATAINDIA,EQ,      1003.70,               1060254608.55,1056508
,BAYERCROP,EQ,      4348.90,                 34178682.90,7851
,BBL,EQ,      1390.95,                 17623078.30,12496
,BBTC,EQ,      1677.15,                720736389.35,421719
,BCONCEPTS,SM,        38.00,                   114000.00,3000
,BDL,EQ,       344.10,                137763458.20,389437
,BEARDSELL,EQ,        33.20,                    35562.40,1050
,BEDMUTHA,EQ,        20.75,                   888507.00,43102
,BEML,EQ,       747.35,                620779608.15,812315
,BEPL,EQ,       136.65,                289909526.45,2142781
,BERGEPAINT,EQ,       300.45,                359264528.30,1171417
,BETA,SM,        93.00,                   148840.00,1600
,BFINVEST,EQ,       339.40,                 80541168.10,228150
,BFUTILITIE,EQ,       314.20,                109451667.00,342297
,BGLOBAL,BE,         2.70,                    17454.50,6500
,BGRENERGY,EQ,        74.10,                  5337731.80,71459
,BHAGERIA,EQ,       285.05,                  1609979.45,5616
,BHAGYANGR,BE,        34.00,                   193557.05,5574
,BHAGYAPROP,EQ,        24.20,                    58652.70,2396
,BHANDARI,EQ,         2.45,                   309014.90,128231
,BHARATFIN,EQ,      1144.80,                341169389.30,296030
,BHARATFORG,EQ,       629.50,                903403615.85,1410232
,BHARATGEAR,EQ,       189.15,                  3978161.70,20732
,BHARATIDIL,BZ,         3.05,                     6559.60,2145
,BHARATRAS,EQ,      7345.20,                  8576173.45,1153
,BHARATWIRE,EQ,        93.85,                 33625518.50,346581
,BHUSANSTL,EQ,        26.95,                 16865830.95,617146
,BIGBLOC,EQ,        75.00,                  5958874.35,77619
,BIL,EQ,       370.25,                  1943461.05,5210
,BILENERGY,BE,          .50,                     9299.40,18108
,BILPOWER,BZ,          .65,                     1852.55,2686
,BINANIIND,EQ,       105.40,                  7180367.70,66221
,BINDALAGRO,EQ,        20.10,                   369233.80,18387
,BIOCON,EQ,       677.10,               4020303120.55,5929150
,BIOFILCHEM,BE,         9.55,                     1051.85,107
,BIRLACABLE,EQ,       173.95,                 12681824.75,72905
,BIRLACORPN,EQ,       710.05,                 34478224.15,48778
,BIRLAMONEY,EQ,        57.05,                  2110131.20,36753
,BKMINDST,EQ,        16.50,                   210963.10,12748
,BLBLIMITED,EQ,         5.45,                    59333.45,10709
,BLISSGVS,EQ,       184.40,                 55580550.65,299086
,BLKASHYAP,EQ,        35.30,                  2161304.25,61188
,BLS,EQ,       148.85,                  7892590.60,52389
,BLUEBLENDS,EQ,         5.55,                    92224.55,16637
,BLUECHIP,BE,          .20,                      200.00,1000
,BLUECOAST,EQ,        63.35,                     1330.35,21
,BLUEDART,EQ,      3109.80,                 26686678.60,8497
,BLUEDART,N3,        10.21,                     2756.70,270
,BLUEDART,N2,        10.29,                    29449.40,2860
,BLUESTARCO,EQ,       653.95,                 83154121.20,127255
,BODALCHEM,EQ,       114.80,                  9016413.50,77452
,BOHRA,SM,        16.00,                    64000.00,4000
,BOMDYEING,BE,       237.40,                 43613755.20,180980
,BOROSIL,EQ,       303.70,                 21217856.40,69174
,BPL,EQ,        49.00,                  9217194.30,186496
,BRFL,BE,        19.10,                  2548029.10,137409
,BRIGADE,EQ,       200.25,                  5445753.25,27176
,BRIGHT,SM,        40.95,                   739350.00,18000
,BRNL,EQ,       154.10,                   684379.05,4422
,BROOKS,EQ,        76.95,                  4459034.05,56771
,BSE,EQ,       757.85,                133980211.00,174974
,BSELINFRA,EQ,         3.20,                    95498.70,29620
,BSHSL,SM,       138.00,                   138000.00,1000
,BSL,EQ,        51.85,                   349812.85,6726
,BSLGOLDETF,EQ,      2900.00,                    64721.85,22
,BSLNIFTY,EQ,       115.00,                     1955.00,17
,BURNPUR,BE,         4.85,                   212700.00,42703
,BUTTERFLY,EQ,       288.35,                  2164477.00,7475
,BVCL,BE,        18.90,                    14206.35,762
,BYKE,EQ,        97.45,                  3665599.00,37408
,CADSYS,SM,        58.95,                  1855900.00,32000
,CALSOFT,BE,        51.45,                    85046.85,1653
,CAMLINFINE,EQ,        61.40,                 23443347.35,375410
,CANBK,EQ,       246.80,               3369398748.40,13340515
,CANDC,EQ,        33.20,                  2879830.10,86736
,CANFINHOME,EQ,       311.60,                229947303.70,726984
,CANTABIL,EQ,       155.00,                  4748621.70,30637
,CAPACITE,EQ,       248.80,                 10347838.40,41112
,CAPF,EQ,       594.15,                223194111.90,371710
,CAPLIPOINT,EQ,       494.40,                 12422873.35,24770
,CAPTRUST,EQ,       351.85,                   882508.40,2493
,CARBORUNIV,EQ,       377.45,                  9872689.10,26149
,CAREERP,EQ,        77.75,                  2663875.80,33860
,CARERATING,EQ,      1267.00,                 25290138.05,20018
,CASTEXTECH,EQ,         1.45,                   825986.10,567916
,CASTROLIND,EQ,       153.00,                184761862.00,1193200
,CCCL,EQ,         2.40,                    76173.55,30782
,CCHHL,EQ,         9.05,                   621533.10,68339
,CCL,EQ,       270.35,                 11370014.55,42252
,CDSL,EQ,       260.15,                 89893751.20,343421
,CEATLTD,EQ,      1349.20,                536664061.90,397122
,CEBBCO,EQ,        15.35,                  8205116.70,496843
,CELEBRITY,EQ,        10.90,                   573124.80,52086
,CELESTIAL,EQ,        17.25,                  2914045.85,164959
,CENTENKA,EQ,       280.55,                  9683222.65,34407
,CENTEXT,EQ,         8.25,                  4655687.85,539341
,CENTRALBK,EQ,        66.15,                 80387367.95,1180057
,CENTRUM,EQ,        45.00,                  9679138.10,211374
,CENTUM,EQ,       429.80,                  3504979.30,8286
,CENTURYPLY,EQ,       205.35,                 86229749.10,417969
,CENTURYTEX,EQ,       904.15,                453781931.85,495483
,CERA,EQ,      2576.15,                 10172317.30,3956
,CEREBRAINT,EQ,        40.25,                 47663540.10,1189906
,CES1RPG,MF,         8.90,                     6853.00,770
,CESC,EQ,       981.00,                347347083.10,350537
,CGCL,EQ,       119.45,                  5179692.95,43281
,CGPOWER,EQ,        53.40,                102059947.55,1901741
,CHAMBLFERT,EQ,       162.30,                167341818.05,1016813
,CHEMFAB,EQ,       175.20,                  3187303.60,18036
,CHENNPETRO,EQ,       287.95,                220050055.35,749773
,CHOLAFIN,EQ,      1319.70,                252734676.45,190668
,CHROMATIC,BE,         1.25,                   210809.55,167651
,CIGNITITEC,EQ,       394.15,                 10738340.50,27230
,CIMMCO,EQ,        60.20,                   745654.30,12266
,CINELINE,EQ,        49.15,                  4152526.15,82969
,CINEVISTA,BE,         6.75,                    14025.00,2000
,CLEDUCATE,EQ,       137.90,                   240833.75,1780
,CLNINDIA,EQ,       506.95,                  2112152.80,4145
,CMICABLES,EQ,       171.60,                 20707216.55,118548
,CMMIPL,SM,        26.60,                   159600.00,6000
,CNOVAPETRO,BE,        27.50,                      137.50,5
,COCHINSHIP,EQ,       412.10,                 30636333.30,73877
,COFFEEDAY,EQ,       310.15,                103066056.70,326894
,COMPINFO,EQ,        31.50,                   259185.40,8132
,COMPUSOFT,EQ,        11.90,                   311576.85,25962
,CONSOFINVT,EQ,        59.25,                   173359.00,2860
,CONTROLPR,EQ,       383.95,                  4611028.90,12066
,CORALFINAC,EQ,        19.70,                   479897.70,24011
,CORDSCABLE,EQ,        77.50,                  1469882.65,18662
,COROMANDEL,EQ,       405.85,                 67947755.95,166841
,CORPBANK,EQ,        28.35,                 48972880.30,1679427
,COSMOFILMS,EQ,       259.35,                 10489950.10,39638
,COUNCODOS,EQ,         2.95,                   516451.90,171059
,COX&KINGS,EQ,       214.50,                125700473.35,584506
,CPSEETF,EQ,        26.65,                 49816272.66,1861798
,CREATIVEYE,EQ,         2.90,                     5841.95,1999
