,04-Sep-2018
The Nifty witnessed an intraday movement of about 105.7 points.The closing index was 0.54 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35796.63
, Traded Quantity (in Lakhs), 15332.72
, Number of Trades, 11729869
, Total Market Capitalisation (Rs. Crores), 15406748.14

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CELESTIAL,EQ,        17.75,                  6459417.35,357285
,CENTENKA,EQ,       287.25,                 17093749.45,58950
,CENTEXT,EQ,         8.25,                  6827863.15,842185
,CENTRALBK,EQ,        67.75,                  6503970.90,95513
,CENTRUM,EQ,        49.70,                 12701440.60,253588
,CENTUM,EQ,       348.25,                 36931325.35,105337
,CENTURYPLY,EQ,       219.10,                 29288342.05,132598
,CENTURYTEX,EQ,       934.70,                813367730.40,855526
,CERA,EQ,      2712.85,                 13470814.20,4967
,CEREBRAINT,EQ,        41.40,                 56129601.20,1353928
,CES1RPG,MF,         9.30,                     9300.00,1000
,CESC,EQ,       991.15,               1191266991.15,1172403
,CGCL,EQ,       118.15,                 13893228.10,118955
,CGPOWER,EQ,        55.55,                386222952.95,6825470
,CHAMBLFERT,EQ,       161.65,                 54962033.85,333634
,CHEMFAB,EQ,       162.15,                   846877.70,5239
,CHENNPETRO,EQ,       292.35,                119341691.25,402367
,CHOLAFIN,EQ,      1472.45,                423604815.80,286724
,CHROMATIC,BE,         1.30,                   141348.90,107377
,CIGNITITEC,EQ,       396.95,                 30879678.70,77485
,CIMMCO,EQ,        65.40,                   950913.70,14360
,CINELINE,EQ,        51.75,                   598964.90,11389
,CINEVISTA,BE,         7.10,                     7818.60,1101
,CLEDUCATE,EQ,       141.65,                   330082.65,2337
,CLNINDIA,EQ,       509.45,                  6883557.05,13420
,CMICABLES,EQ,       172.35,                  6236368.75,35815
,CMMIPL,SM,        26.50,                   238500.00,9000
,CNOVAPETRO,BE,        26.20,                    69745.45,2580
,COCHINSHIP,EQ,       418.40,                 27657342.85,65898
,COFFEEDAY,EQ,       267.95,                 30001336.20,110934
,COMPINFO,EQ,        33.10,                   639676.80,19127
,COMPUSOFT,EQ,        12.15,                   364785.05,30027
,CONSOFINVT,EQ,        57.60,                     4551.00,79
,CONTROLPR,EQ,       383.45,                  2992177.60,8032
,CORALFINAC,EQ,        21.50,                   391872.35,18175
