,24-Sep-2018
The Nifty witnessed an intraday movement of about 226.55 points.The closing index was 1.58 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42195.76
, Traded Quantity (in Lakhs), 17690.33
, Number of Trades, 14919220
, Total Market Capitalisation (Rs. Crores), 14565532.2

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,DALMIABHA,EQ,      2411.10,                130116411.15,53676
,DALMIASUG,EQ,        76.30,                 35795176.15,461222
,DAMODARIND,EQ,       100.00,                   180273.50,1821
,DANGEE,SM,       190.65,                 15076720.00,80000
,DATAMATICS,EQ,       115.45,                 18037196.10,155864
,DBCORP,EQ,       204.95,                  8501879.25,41231
,DBL,EQ,       718.30,                191418750.00,258703
,DBREALTY,EQ,        22.10,                 13744215.20,624145
,DCAL,EQ,       254.90,                 37175829.25,144823
,DCBBANK,EQ,       154.15,                373728941.70,2429796
,DCM,EQ,        81.85,                  1000305.65,12105
,DCMFINSERV,EQ,         2.10,                     7390.10,3400
,DCMSHRIRAM,EQ,       444.10,                181665695.15,410896
,DCW,EQ,        19.55,                 16975032.85,857846
,DECCANCE,EQ,       389.85,                  4409701.65,11242
