,27-Feb-2018
The Nifty witnessed an intraday movement of about 94.4 points.The closing index was 0.27 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28193.66
, Traded Quantity (in Lakhs), 14039.5
, Number of Trades, 9785459
, Total Market Capitalisation (Rs. Crores), 14613418.55

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CCL,EQ,       299.00,                 32307342.45,108189
,CDSL,EQ,       321.60,                 66054176.45,205789
,CEATLTD,EQ,      1573.95,                998659098.00,632328
,CEBBCO,EQ,        15.95,                   283850.05,17697
,CELEBRITY,EQ,        18.90,                  1290633.90,67609
,CELESTIAL,EQ,        17.30,                   504740.35,29006
,CENTENKA,EQ,       349.65,                  9027019.30,25807
,CENTEXT,EQ,         6.20,                   483768.75,78296
,CENTRALBK,EQ,        66.40,                 15026264.95,225247
,CENTUM,EQ,       605.50,                  1707779.15,2815
,CENTURYPLY,EQ,       332.10,                161446062.30,484118
,CENTURYTEX,EQ,      1209.90,                306000152.40,252158
,CERA,EQ,      3320.90,                 18855177.50,5738
,CEREBRAINT,EQ,        59.15,                 86645649.35,1448793
,CESC,EQ,      1009.55,                337810988.85,333663
,CGCL,EQ,        99.15,                  2089535.90,20891
,CGPOWER,EQ,        82.85,                 65546584.05,788962
,CHAMBLFERT,EQ,       163.90,                262353461.95,1580708
,CHENNPETRO,EQ,       369.50,                366067508.95,980499
,CHOLAFIN,EQ,      1464.55,                521954445.50,358063
,CHROMATIC,EQ,         2.25,                   119224.40,52978
,CIGNITITEC,BE,       252.85,                  3666769.50,14526
,CIMMCO,EQ,        99.75,                  1721807.75,17030
,CINELINE,EQ,        85.80,                  4525537.60,52501
,CINEVISTA,EQ,        11.20,                    76840.00,6900
,CLEDUCATE,EQ,       236.25,                  1093593.90,4599
,CLNINDIA,EQ,       584.00,                  2436122.65,4131
,CMICABLES,EQ,       252.30,                  7402146.60,28685
,CMMIPL,SM,        72.95,                   654300.00,9000
,CNOVAPETRO,EQ,        37.70,                  1005833.60,26489
,COCHINSHIP,EQ,       535.25,                 76079436.55,142148
,COFFEEDAY,EQ,       320.30,                158979261.70,493775
,COMPINFO,EQ,        49.55,                  2555520.10,50823
,COMPUSOFT,EQ,        13.10,                   362542.45,27387
,CONSOFINVT,EQ,        71.05,                   856946.35,11949
,CONTROLPR,EQ,       455.25,                  4966598.30,10872
,CORALFINAC,EQ,        42.45,                 69578565.65,1676799
,CORDSCABLE,EQ,        96.85,                  1748909.10,17801
,COROMANDEL,EQ,       546.35,                 99229663.85,180634
,CORPBANK,EQ,        32.45,                  6768270.75,209147
,COSMOFILMS,EQ,       293.40,                 11441572.20,38913
,COUNCODOS,EQ,         3.90,                   107271.40,27343
,COX&KINGS,EQ,       238.95,                  9471579.15,39553
,CPSEETF,EQ,        30.00,                 54037988.80,1789943
,CREST,EQ,       215.40,                  1876981.45,8600
,CRISIL,EQ,      1920.45,                 16023079.90,8341
,CROMPTON,EQ,       232.70,                118868133.95,512175
,CTE,EQ,        72.40,                   908529.10,12521
,CUB,EQ,       172.40,                 49826032.40,289632
,CUBEXTUB,BE,        25.65,                    53281.75,2015
,CUPID,EQ,       290.25,                 11370089.60,38742
,CYBERMEDIA,BE,        17.00,                     1700.00,100
,CYBERTECH,EQ,        72.80,                  1035169.15,14301
,CYIENT,EQ,       629.60,                 30369935.90,48062
,DAAWAT,EQ,        94.40,                 90854844.05,953844
,DALMIABHA,EQ,      2673.50,                263685368.30,98501
,DALMIASUG,EQ,       106.20,                  8794543.85,83010
,DAMODARIND,EQ,       142.35,                 13938250.10,98466
,DATAMATICS,EQ,       126.55,                 10308890.15,80484
,DBCORP,EQ,       326.55,                  1559276.75,4773
,DBL,EQ,       941.30,                159481624.45,169044
,DBREALTY,EQ,        57.20,                 19597236.30,340109
,DCAL,EQ,       342.85,                 62964059.35,184767
,DCBBANK,EQ,       165.25,                294888513.40,1774092
,DCM,EQ,        98.45,                  1987317.30,19986
,DCMSHRIRAM,EQ,       572.80,                 25613370.60,44625
,DCW,EQ,        37.60,                 20510941.80,547289
,DECCANCE,EQ,       565.50,                   593233.50,1048
,DEEPAKFERT,EQ,       350.35,                 49008661.55,140890
,DEEPAKNTR,EQ,       260.10,                 37933804.05,145720
,DEEPIND,EQ,       190.15,                  8589951.50,44708
,DELTACORP,EQ,       356.90,                563494249.90,1562604
,DELTAMAGNT,BE,        65.25,                    14982.50,230
,DEN,EQ,       102.50,                 19355046.80,187506
