,09-Feb-2018
The Nifty witnessed an intraday movement of about 82 points.The closing index was 1.15 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31582.68
, Traded Quantity (in Lakhs), 15755.69
, Number of Trades, 11468061
, Total Market Capitalisation (Rs. Crores), 14556659.34

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BLUECOAST,EQ,       125.00,                      125.00,1
,BLUEDART,EQ,      4521.60,                139684653.00,30924
,BLUEDART,N3,        10.45,                     3322.92,318
,BLUEDART,N2,        10.28,                     5410.94,526
,BLUESTARCO,EQ,       744.55,                 19101514.25,25997
,BODALCHEM,EQ,       150.75,                 27191602.50,182222
,BOMDYEING,EQ,       245.10,               2211348992.40,8964229
,BPL,EQ,        91.20,                 51120812.25,564440
,BRFL,EQ,        66.95,                  4178419.55,62548
,BRIGADE,EQ,       295.40,                 10437852.05,35423
,BRNL,EQ,       180.50,                  1598891.35,8872
,BROOKS,EQ,        97.80,                  5414058.80,55179
,BSE,EQ,       824.85,                109308064.80,132551
,BSELINFRA,EQ,         4.90,                   693329.30,139337
,BSL,EQ,        87.25,                  2962153.25,34287
,BSLGOLDETF,EQ,      2792.00,                   224491.00,81
,BSLIMITED,EQ,         1.40,                   642013.70,463634
,BSLNIFTY,EQ,       109.01,                    21027.02,192
,BURNPUR,EQ,        11.85,                  2287141.40,191651
,BUTTERFLY,EQ,       576.70,                 57626371.40,98648
,BVCL,BE,        29.00,                   171632.00,5890
,BYKE,EQ,       193.60,                 22838804.25,118664
,CADSYS,SM,       102.00,                   609600.00,6000
,CALSOFT,EQ,        73.60,                   768131.60,10413
,CAMLINFINE,EQ,       127.10,                 88374175.60,700119
,CANBK,EQ,       321.15,                821892185.35,2570155
,CANDC,EQ,        68.15,                  4009366.30,60160
,CANFINHOME,EQ,       462.95,                377999359.15,818509
,CANTABIL,EQ,       126.20,                  8059144.95,64408
,CAPACITE,EQ,       348.65,                 98835982.75,282318
,CAPF,EQ,       687.20,                396086982.10,577004
,CAPLIPOINT,EQ,       603.25,                 34840887.45,57667
,CAPTRUST,EQ,       456.70,                  1011136.15,2245
,CARBORUNIV,EQ,       360.70,                 17543850.15,49064
,CAREERP,EQ,       118.95,                  4565369.25,38640
,CARERATING,EQ,      1351.10,                 32729286.40,24704
,CASTEXTECH,EQ,         5.20,                  3379376.10,654338
,CASTROLIND,EQ,       196.20,                447753072.70,2295290
,CCCL,EQ,         7.00,                   694313.45,101131
,CCHHL,EQ,        15.70,                  2323090.80,149391
,CCL,EQ,       294.65,                 27838177.50,94365
,CDSL,EQ,       322.60,                111362398.80,344597
,CEATLTD,EQ,      1548.70,               1228675623.95,797724
,CEBBCO,EQ,        16.90,                   704599.00,42231
,CELEBRITY,EQ,        19.90,                 12856893.85,671616
,CELESTIAL,EQ,        17.20,                   941650.50,55331
,CENTENKA,EQ,       329.20,                  7885160.55,23865
,CENTEXT,EQ,         6.40,                  2501805.10,394777
,CENTRALBK,EQ,        67.40,                 52566097.35,783594
,CENTUM,EQ,       623.85,                  1690371.80,2717
,CENTURYPLY,EQ,       324.20,                 75969734.05,235328
,CENTURYTEX,EQ,      1262.35,                683224883.30,546864
,CERA,EQ,      3380.50,                 73059120.55,21923
,CEREBRAINT,EQ,        56.90,                111285475.35,1973966
,CESC,EQ,      1007.60,                609377162.20,610960
,CGCL,EQ,       103.90,                  3934398.70,38241
,CGPOWER,EQ,        88.15,                108500509.40,1238671
,CHAMBLFERT,EQ,       155.05,                 77521620.50,502479
,CHENNPETRO,EQ,       376.40,                464210551.30,1245868
,CHOLAFIN,EQ,      1322.55,                236004263.20,179399
,CHROMATIC,EQ,         2.65,                   384763.85,145429
,CIGNITITEC,BE,       270.50,                  7702117.20,28234
,CIMMCO,EQ,       103.30,                  1161981.15,11205
,CINELINE,EQ,        83.65,                  7021821.25,83230
,CINEVISTA,EQ,        12.00,                    88468.00,7220
,CLEDUCATE,EQ,       259.90,                  4387776.40,16879
,CLNINDIA,EQ,       620.90,                 20138998.15,32282
,CMICABLES,EQ,       235.50,                 28779382.70,121558
,CMMIPL,SM,        74.75,                   438750.00,6000
,CNOVAPETRO,EQ,        34.25,                   216812.25,6258
,COCHINSHIP,EQ,       531.50,                 79184183.05,149390
,COFFEEDAY,EQ,       335.35,                144732457.25,432027
,COMPINFO,EQ,        46.70,                  5111600.45,111855
,COMPUSOFT,EQ,        14.15,                   601725.55,43000
,CONSOFINVT,EQ,        70.60,                  1114033.70,15786
,CONTROLPR,EQ,       454.75,                  5387325.55,11855
,CORALFINAC,EQ,        37.05,                  5535374.10,148320
,CORDSCABLE,EQ,       115.30,                  1296691.35,11452
,COROMANDEL,EQ,       535.05,                 73170494.60,136201
,CORPBANK,EQ,        35.60,                  7437464.75,209796
,COSMOFILMS,EQ,       318.65,                 11634914.05,36355
,COUNCODOS,EQ,         4.00,                    57467.65,14107
,COX&KINGS,EQ,       250.65,                 11037352.20,44180
,CPSEETF,EQ,        29.75,                 20597422.64,693267
,CREST,EQ,       227.40,                  2447001.40,10953
,CRISIL,EQ,      1945.10,                 10303037.20,5298
,CRMFGETF,EQ,      2804.00,                  2804000.00,1000
,CROMPTON,EQ,       244.50,                 73830715.45,301888
,CTE,EQ,        81.05,                  1017800.95,12499
,CUB,EQ,       162.25,                183550396.00,1133364
,CUBEXTUB,BE,        23.80,                    28598.75,1201
,CUPID,EQ,       290.10,                 11870279.90,40696
,CYBERMEDIA,BE,        17.00,                    49718.90,3146
,CYBERTECH,EQ,        78.25,                  4365648.35,55559
,CYIENT,EQ,       628.40,                 52708576.85,84195
,DAAWAT,EQ,        90.40,                121663242.45,1345191
,DALMIABHA,EQ,      2794.05,                167404398.70,60427
,DALMIASUG,EQ,       109.80,                 38388164.90,350216
,DAMODARIND,EQ,       121.95,                   124877.50,1028
,DATAMATICS,EQ,       124.15,                 24042174.50,194895
,DBCORP,EQ,       317.45,                 22662617.65,70374
,DBL,EQ,       933.65,                520319769.70,565795
,DBREALTY,EQ,        56.00,                 68442649.45,1248095
,DCAL,EQ,       344.75,                 28354277.80,82174
,DCBBANK,EQ,       171.00,                277333224.20,1641707
,DCM,EQ,       101.15,                  8070358.90,80683
,DCMSHRIRAM,EQ,       543.40,                 86355747.65,158019
,DCW,EQ,        37.95,                 49375204.00,1273664
,DECCANCE,EQ,       572.80,                  6754720.35,11600
,DEEPAKFERT,EQ,       361.60,                 48144328.00,132937
,DEEPAKNTR,EQ,       269.45,                 59389359.80,221760
,DEEPIND,EQ,       199.05,                 29448191.05,148410
,DELTACORP,EQ,       350.75,               1401683558.45,4113255
,DEN,EQ,       109.00,                 89864538.00,815181
,DENABANK,EQ,        22.40,                 32874890.60,1465262
,DENORA,EQ,       472.15,                352134606.30,752922
,DFMFOODS,EQ,      1646.30,                  1358676.85,832
,DHAMPURSUG,EQ,       204.85,                299095750.55,1456091
,DHANBANK,EQ,        24.40,                 24089513.15,994968
,DHANUKA,EQ,       685.50,                 10035473.90,14634
,DHARSUGAR,EQ,        24.35,                  3251408.15,136387
,DHFL,EQ,       514.45,               1574511613.60,3078295
,DHFL,NC,      1056.50,                   151080.75,143
,DHFL,N4,      1008.00,                     4032.00,4
,DHFL,NA,      1026.03,                     4104.12,4
,DHFL,NB,      1050.00,                    52500.00,50
,DHFL,NP,      1045.00,                   656845.50,629
,DHFL,NL,      1030.00,                    20600.00,20
,DHFL,N6,      1025.00,                   546325.00,533
,DHFL,NN,      1030.00,                   103000.00,100
,DHUNINV,EQ,       435.70,                   966610.30,2265
