,26-Dec-2018
The Nifty witnessed an intraday movement of about 212.95 points.The closing index was 0.62 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27416.78
, Traded Quantity (in Lakhs), 12479.23
, Number of Trades, 9494120
, Total Market Capitalisation (Rs. Crores), 14070330.62

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BHARATFORG,EQ,       505.45,                574249836.40,1142633
,BHARATGEAR,EQ,       164.65,                  3973021.30,24334
,BHARATIDIL,BZ,         3.50,                      707.00,202
,BHARATRAS,EQ,      5196.75,                  3331199.00,645
,BHARATWIRE,EQ,        70.10,                   909038.15,12882
,BIGBLOC,EQ,        36.85,                    83595.75,2281
,BIL,EQ,       210.35,                   300196.20,1404
,BILENERGY,EQ,          .50,                     9732.25,20442
,BINANIIND,EQ,        73.45,                  1689148.40,23020
,BINDALAGRO,EQ,        17.50,                   824823.30,47079
,BIOFILCHEM,BE,         7.25,                     9719.80,1244
,BIRLACABLE,EQ,       193.85,                 26149329.10,135547
,BIRLACORPN,EQ,       612.70,                 19586450.95,32115
,BIRLAMONEY,EQ,        55.70,                 10353351.30,187386
,BKMINDST,EQ,         8.65,                   211319.85,25324
,BLBLIMITED,EQ,         5.80,                    41602.55,7127
,BLISSGVS,EQ,       137.95,                 83198415.85,608180
,BLKASHYAP,EQ,        21.75,                  1176067.40,54003
,BLS,EQ,       118.70,                  8898407.10,75021
,BLUEBLENDS,EQ,         4.00,                    46807.30,11646
,BLUEDART,EQ,      3176.50,                 14882841.40,4722
,BLUEDART,N3,        10.10,                       10.10,1
,BLUESTARCO,EQ,       610.40,                  8430041.25,13747
,BODALCHEM,EQ,       111.00,                  4975570.70,44935
,BOHRA,SM,        29.40,                  2884300.00,98000
,BOMDYEING,EQ,       110.10,                113612391.50,1045706
,BOROSIL,EQ,       228.65,                  7900790.80,34341
,BPL,EQ,        41.80,                  6858783.05,164265
,BRFL,EQ,         9.20,                  1574851.80,169412
,BRIGADE,EQ,       236.00,                417634559.45,1811440
,BRNL,EQ,       122.25,                   176106.00,1466
,BROOKS,EQ,        61.80,                 23050516.00,355343
,BSE,EQ,       586.60,                 65462521.35,112639
,BSELINFRA,EQ,         2.00,                    70004.70,34268
,BSHSL,SM,       128.00,                   128000.00,1000
,BSL,EQ,        42.95,                   175239.95,4115
,BSLGOLDETF,EQ,      2894.00,                   145684.80,50
,BSLNIFTY,EQ,       116.89,                     2337.70,20
,BURNPUR,EQ,         4.20,                   151226.45,36233
,BUTTERFLY,EQ,       228.20,                  2131937.90,9500
,BVCL,BE,        17.35,                    19506.75,1156
,BYKE,EQ,        66.95,                  3760074.15,55849
,CALSOFT,EQ,        24.40,                   191712.45,7920
,CAMLINFINE,EQ,        52.80,                  8360917.15,159151
,CANBK,EQ,       270.90,               1250776094.70,4715909
,CANDC,EQ,        26.00,                  1117646.25,42649
,CANFINHOME,EQ,       288.95,                601507391.70,2140115
,CANTABIL,EQ,       127.55,                  2940291.35,22941
,CAPACITE,EQ,       250.20,                  4149692.15,16588
,CAPF,EQ,       592.45,                956368223.10,1626028
,CAPLIPOINT,EQ,       380.30,                  4261311.95,11185
,CAPTRUST,BE,       189.50,                   827021.55,4342
,CARBORUNIV,EQ,       348.30,                 18935011.10,54101
,CAREERP,EQ,        79.30,                  1567471.85,19525
,CARERATING,EQ,       969.35,                 55252439.95,57188
,CASTEXTECH,EQ,         1.20,                   258504.20,223049
,CASTROLIND,EQ,       152.35,                200185754.65,1317088
,CCCL,BE,         2.25,                    86158.45,37816
,CCHHL,EQ,         7.40,                   193768.85,26179
,CCL,EQ,       271.70,                  5506047.85,20255
,CDSL,EQ,       224.65,                 54741392.70,244572
,CEATLTD,EQ,      1264.70,               1393409035.10,1118942
