,18-Jul-2018
The Nifty witnessed an intraday movement of about 119.9 points.The closing index was 0.25 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29630.86
, Traded Quantity (in Lakhs), 15358.23
, Number of Trades, 11246426
, Total Market Capitalisation (Rs. Crores), 14478986.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,DALMIABHA,EQ,      2336.30,                113724861.05,48475
,DALMIASUG,EQ,        50.55,                  1942200.75,38012
,DAMODARIND,EQ,       104.00,                   217562.65,2084
,DATAMATICS,EQ,       100.10,                  2356232.95,23265
,DBCORP,EQ,       253.70,                 41921745.05,163627
,DBL,EQ,       698.60,                138097462.95,194101
,DBREALTY,EQ,        34.95,                  9386126.20,264673
,DCAL,EQ,       261.00,                 22954482.95,87691
,DCBBANK,EQ,       162.45,                530634184.90,3283136
,DCM,EQ,        89.90,                  6435322.60,71502
,DCMSHRIRAM,EQ,       353.80,                182021027.60,520840
,DCW,EQ,        20.75,                  5598594.65,263936
,DECCANCE,EQ,       411.55,                   431023.00,1044
,DEEPAKFERT,EQ,       255.90,                 27804798.40,108231
,DEEPAKNTR,EQ,       222.50,                 35363032.90,158898
,DEEPIND,EQ,        90.65,                  2917599.40,32155
,DELTACORP,EQ,       212.60,                344184330.40,1591247
,DELTAMAGNT,EQ,        62.40,                   329064.70,5402
,DEN,EQ,        48.25,                 13677424.55,276709
,DENABANK,EQ,        14.25,                 18626795.45,1294191
,DENORA,EQ,       274.40,                   812379.90,2941
,DFMFOODS,EQ,      1194.85,                   402113.40,335
,DHAMPURSUG,EQ,        78.60,                 21649578.45,275452
,DHANBANK,EQ,        16.00,                  3045334.85,188357
