,24-Jul-2018
The Nifty witnessed an intraday movement of about 50.9 points.The closing index was 0.45 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34563.31
, Traded Quantity (in Lakhs), 18103.16
, Number of Trades, 12537359
, Total Market Capitalisation (Rs. Crores), 14798442.79

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AYMSYNTEX,EQ,        46.70,                   610374.60,13179
,BAFNAPHARM,EQ,        21.60,                   578910.05,26727
,BAGFILMS,EQ,         4.40,                   308959.50,70130
,BAJAJCORP,EQ,       402.15,                 16967307.50,42168
,BAJAJELEC,EQ,       631.05,               1489846296.55,2444988
,BAJAJHIND,EQ,         6.50,                 22627872.80,3581077
,BAJAJHLDNG,EQ,      2983.80,                 41380146.05,13738
,BALAJITELE,EQ,       110.90,                 12039854.75,106957
,BALAMINES,EQ,       574.95,                108866358.95,189762
,BALKRISHNA,EQ,        67.25,                   231555.90,3440
,BALKRISIND,EQ,      1207.90,                472378697.15,389882
,BALLARPUR,EQ,         8.90,                  9739789.40,1085934
,BALMLAWRIE,EQ,       210.75,                 13494738.70,64149
,BALPHARMA,EQ,        71.90,                  3166506.00,43712
,BALRAMCHIN,EQ,        66.15,                310987707.15,4760132
,BANARBEADS,EQ,        49.25,                   414091.70,8333
,BANARISUG,EQ,      1428.95,                   648584.75,451
,BANCOINDIA,EQ,       205.40,                  6903996.80,34065
,BANDHANBNK,EQ,       708.70,               1646956309.25,2345515
,BANG,EQ,        54.60,                   582573.85,10557
,BANKBEES,EQ,      2741.83,                 22870176.18,8352
,BANKINDIA,EQ,        87.85,                620527915.35,7091530
,BANSAL,SM,       114.65,                  8086000.00,66000
,BANSWRAS,EQ,        87.50,                    79460.50,906
,BARTRONICS,EQ,         9.20,                   296517.25,32501
,BASF,EQ,      1734.35,                 16161275.70,9190
,BASML,EQ,       214.40,                  1223264.10,5875
,BATAINDIA,EQ,       897.70,               1373745817.60,1523417
,BAYERCROP,EQ,      4450.95,                 18055746.50,4061
,BBL,EQ,      1140.35,                 13197514.70,11687
,BBTC,EQ,      1490.15,                196367857.70,131719
,BCONCEPTS,SM,        33.00,                    99000.00,3000
,BDL,EQ,       344.45,                 11134721.85,32702
,BEARDSELL,EQ,        41.50,                  1209871.35,29781
,BEDMUTHA,EQ,        19.25,                   451085.65,23506
,BEML,EQ,       779.60,                696291428.20,895401
,BEPL,EQ,       129.90,                 95868405.30,742118
,BERGEPAINT,EQ,       317.30,                410187703.65,1294407
,BFINVEST,EQ,       229.10,                 68833766.25,302832
,BFUTILITIE,EQ,       289.95,                118234658.60,408101
,BGLOBAL,BE,         2.35,                    80451.80,33650
,BGRENERGY,EQ,        85.90,                 11528036.85,134902
,BHAGERIA,EQ,       314.15,                  7775807.55,24746
,BHAGYANGR,BE,        39.85,                   842256.40,21567
,BHAGYAPROP,EQ,        23.85,                   904855.00,38083
,BHANDARI,EQ,         2.15,                   150491.40,68494
,BHARATFIN,EQ,      1193.25,                468326292.05,393458
,BHARATFORG,EQ,       606.35,                523509130.10,866169
,BHARATGEAR,EQ,       154.95,                  1897992.10,12580
,BHARATIDIL,BZ,         3.00,                    89052.95,30238
,BHARATRAS,EQ,      6603.65,                 10123312.30,1519
,BHARATWIRE,EQ,        96.55,                 12564194.50,140351
,BHUSANSTL,EQ,        23.85,                 29485273.85,1231975
,BIGBLOC,EQ,        86.25,                 22158615.10,235465
,BIL,EQ,       420.80,                  3370395.90,8030
,BILENERGY,BE,          .50,                    28755.65,60626
,BILPOWER,BE,          .75,                     3924.20,5004
,BINANIIND,EQ,        81.70,                  3223873.60,38889
,BINDALAGRO,EQ,        19.60,                  1382885.15,69984
,BIOCON,EQ,       574.40,               1244097951.55,2164295
