,19-Jul-2018
The Nifty witnessed an intraday movement of about 71.05 points.The closing index was 0.21 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27888.39
, Traded Quantity (in Lakhs), 13560.73
, Number of Trades, 10517502
, Total Market Capitalisation (Rs. Crores), 14422039.46

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BALMLAWRIE,EQ,       207.00,                 12997266.75,62744
,BALPHARMA,EQ,        71.05,                  1260505.95,17586
,BALRAMCHIN,EQ,        62.90,                477517670.55,7725151
,BANARBEADS,EQ,        49.35,                   293214.85,5919
,BANARISUG,EQ,      1456.30,                  1010130.10,692
,BANCOINDIA,EQ,       196.25,                  7198844.50,36294
,BANDHANBNK,EQ,       617.50,               2396962230.35,3883898
,BANG,EQ,        53.90,                   539431.90,10082
,BANKBEES,EQ,      2729.58,                  2305483.55,843
,BANKINDIA,EQ,        82.75,                916906023.40,11185400
,BANSAL,SM,       126.35,                  5148300.00,40000
,BANSWRAS,EQ,        84.35,                   142019.05,1664
,BARTRONICS,BE,         8.95,                   263831.20,29588
,BASF,EQ,      1827.45,                  4702391.65,2550
,BASML,EQ,       218.05,                   268649.25,1205
,BATAINDIA,EQ,       828.60,                709809938.05,856936
,BAYERCROP,EQ,      4383.90,                 24276868.60,5536
,BBL,EQ,      1020.45,                 21383784.65,20302
,BBTC,EQ,      1459.75,                259758413.95,178466
,BCONCEPTS,SM,        33.00,                   201000.00,6000
,BDL,EQ,       352.00,                 21356419.95,60645
,BEARDSELL,EQ,        36.60,                    38167.10,1035
,BEDMUTHA,BE,        18.40,                    41910.95,2300
,BEML,EQ,       767.00,                483425770.00,630410
,BEPL,EQ,       124.30,                 46999612.45,374994
,BERGEPAINT,EQ,       308.30,                171246348.20,556936
,BFINVEST,EQ,       207.75,                 17102285.00,81366
,BFUTILITIE,EQ,       273.75,                 51650629.95,187290
,BGLOBAL,BE,         2.65,                     4008.85,1526
,BGRENERGY,EQ,        81.60,                  7825278.55,95216
,BHAGERIA,EQ,       304.30,                  7818795.05,25436
,BHAGYANGR,EQ,        39.75,                  1969091.50,48894
,BHAGYAPROP,BE,        21.00,                    68094.50,3241
,BHANDARI,EQ,         2.15,                   599250.65,278823
,BHARATFIN,EQ,      1153.65,                432477613.95,375037
,BHARATFORG,EQ,       582.95,                891013058.65,1532424
,BHARATGEAR,EQ,       145.40,                  2459996.40,16765
,BHARATIDIL,BZ,         3.10,                    18602.45,6204
,BHARATRAS,EQ,      6376.00,                 16724647.20,2574
,BHARATWIRE,EQ,        87.50,                  1436257.20,16559
,BHUSANSTL,EQ,        23.25,                 59446274.10,2580611
,BIGBLOC,EQ,        90.25,                  4066058.10,44157
,BIL,EQ,       392.05,                  1541207.20,4016
,BILENERGY,BE,          .50,                    15264.00,31793
,BILPOWER,BE,          .85,                        8.50,10
,BINANIIND,EQ,        80.75,                  2381953.50,29694
