,03-Jul-2018
The Nifty witnessed an intraday movement of about 83.05 points.The closing index was 0.4 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 24545.32
, Traded Quantity (in Lakhs), 11565.3
, Number of Trades, 9553684
, Total Market Capitalisation (Rs. Crores), 14317945.13

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BIRLACABLE,BE,        77.35,                  1245460.85,16421
,BIRLACORPN,EQ,       713.15,                 13575654.45,18958
,BIRLAMONEY,BE,        53.85,                   816085.65,15086
,BKMINDST,EQ,        22.20,                   387622.90,17551
,BLBLIMITED,BE,         7.65,                     2677.50,350
,BLISSGVS,EQ,       164.45,                  7059304.35,42692
,BLKASHYAP,EQ,        37.60,                  2079956.40,55233
,BLS,EQ,       162.85,                 24899379.35,156000
,BLUEBLENDS,EQ,         9.20,                    44338.80,4863
,BLUEDART,EQ,      3665.45,                 16030160.55,4362
,BLUESTARCO,EQ,       640.90,                  8392575.20,13023
,BODALCHEM,EQ,       134.20,                 49743093.85,373861
,BOMDYEING,EQ,       216.40,                 95682270.25,441220
,BOROSIL,EQ,       934.90,                 14493195.05,15480
,BPL,EQ,        50.75,                 14917009.75,296549
,BRFL,BE,        24.40,                   846819.65,34658
,BRIGADE,EQ,       209.10,                  4332869.65,20611
,BRNL,EQ,       168.55,                   485718.00,2907
,BROOKS,EQ,        81.85,                  3831689.20,46533
,BSE,EQ,       839.25,                 67269873.05,79906
,BSELINFRA,EQ,         3.10,                    95490.15,30978
,BSHSL,SM,       141.00,                  1688600.00,12000
,BSL,EQ,        46.50,                   151337.60,3235
,BSLGOLDETF,EQ,      2816.00,                   643086.05,229
,BSLNIFTY,EQ,       111.91,                     2643.61,24
,BURNPUR,BE,         5.05,                   579655.50,111807
,BUTTERFLY,EQ,       323.45,                  2251269.20,6936
,BVCL,BE,        20.35,                    14901.40,735
,BYKE,EQ,       153.55,                  4849494.15,31510
,CALSOFT,BE,        26.55,                   619793.45,23250
,CAMLINFINE,EQ,        89.70,                 21646161.35,240475
,CANBK,EQ,       244.75,               1644408039.05,6643456
,CANDC,EQ,        37.40,                  3048915.40,81514
,CANFINHOME,EQ,       342.25,                192999161.15,566587
,CANTABIL,BE,       112.90,                   273348.10,2405
,CAPACITE,EQ,       272.30,                 16293297.30,60086
,CAPF,EQ,       517.65,                188123862.20,364094
,CAPLIPOINT,EQ,       409.85,                  9529837.75,23058
,CAPTRUST,EQ,       384.55,                  2444262.60,6373
,CARBORUNIV,EQ,       319.05,                  6306877.75,19824
,CAREERP,EQ,        91.55,                  2013262.50,21676
,CARERATING,EQ,      1224.25,                 32133924.45,26144
,CASTEXTECH,BE,         2.00,                   599588.95,300824
,CASTROLIND,EQ,       157.00,                262048271.85,1665099
,CCCL,EQ,         3.30,                    87630.75,26033
,CCHHL,EQ,         8.75,                   254213.90,29096
,CCL,EQ,       266.50,                 33880217.70,125552
,CDSL,EQ,       269.50,                 69524083.40,257487
,CEATLTD,EQ,      1257.60,                434711902.05,345059
,CEBBCO,EQ,        13.65,                   309381.50,22342
,CELEBRITY,EQ,        12.00,                   148925.70,12354
,CELESTIAL,EQ,        14.90,                  4609966.75,304894
,CENTENKA,EQ,       249.50,                  7854849.15,30804
,CENTEXT,EQ,         6.05,                   889723.25,144397
,CENTRALBK,EQ,        67.75,                 59382968.75,859871
,CENTRUM,EQ,        55.05,                 36074800.95,654673
,CENTUM,EQ,       413.05,                   233404.10,563
,CENTURYPLY,EQ,       249.45,                 24313321.10,97134
,CENTURYTEX,EQ,       873.60,                546073536.60,629559
,CERA,EQ,      2776.70,                 15329502.30,5537
,CEREBRAINT,BE,        56.95,                 17630113.05,313247
,CES1RPG,MF,         9.16,                   320511.00,35000
,CESC,EQ,       890.50,                181445467.10,204013
,CGCL,EQ,        76.90,                   795457.80,10357
,CGPOWER,EQ,        57.50,                277395796.20,4810209
,CHAMBLFERT,EQ,       154.30,                 82119838.75,534591
,CHEMFAB,BE,       174.70,                   392115.00,2313
,CHENNPETRO,EQ,       295.05,                137465415.50,464447
,CHOLAFIN,EQ,      1512.45,                251776868.35,166425
,CHROMATIC,EQ,         1.25,                   185593.15,150439
,CIGNITITEC,EQ,       342.60,                  5353401.45,15566
,CIMMCO,EQ,        64.55,                   814485.00,12633
,CINELINE,EQ,        57.45,                   990464.85,17112
,CINEVISTA,EQ,         6.05,                    21900.00,3550
,CLEDUCATE,EQ,       147.15,                  3389429.55,23176
,CLNINDIA,EQ,       404.05,                  1050194.00,2602
,CMICABLES,EQ,       228.95,                  1248079.15,5469
,CMMIPL,SM,        34.50,                   211500.00,6000
,CNOVAPETRO,EQ,        27.00,                    97548.60,3521
,COCHINSHIP,EQ,       434.95,                 14069731.90,32234
,COFFEEDAY,EQ,       265.55,                 26557536.80,100121
,COMPINFO,EQ,        31.80,                   355645.15,11138
,COMPUSOFT,EQ,        11.55,                   305936.60,26553
,CONSOFINVT,EQ,        55.00,                    37039.00,673
,CONTROLPR,EQ,       391.95,                   741029.20,1901
,CORALFINAC,EQ,        21.60,                   285042.80,13136
,CORDSCABLE,EQ,        59.20,                   992202.30,16840
,COROMANDEL,EQ,       423.55,                 85115069.30,202409
,CORPBANK,EQ,        25.10,                  7279596.50,288108
,COSMOFILMS,EQ,       228.20,                  1964020.35,8635
,COUNCODOS,EQ,         2.25,                    95676.05,40499
,COX&KINGS,EQ,       207.10,                 20629982.70,100608
,CPSEETF,EQ,        25.56,                  5689981.66,223102
,CREST,EQ,       175.75,                  3443069.00,19606
,CRISIL,EQ,      1763.40,                 80233933.20,44718
,CROMPTON,EQ,       226.15,                150519407.05,664922
,CTE,EQ,        52.95,                   182913.75,3485
,CUB,EQ,       187.40,                 40528623.35,218086
,CUBEXTUB,BE,        14.50,                       29.00,2
,CUPID,EQ,       236.95,                  1654379.25,6972
,CYBERTECH,EQ,        49.10,                 11710321.40,229575
,CYIENT,EQ,       749.15,                299826181.35,395970
,DAAWAT,EQ,        57.00,                 21998606.90,383782
,DALMIABHA,EQ,      2204.20,                314146817.45,142222
,DALMIASUG,EQ,        52.85,                  3019434.25,56361
,DAMODARIND,EQ,       108.95,                   807159.60,7446
,DATAMATICS,EQ,       103.00,                  4153931.25,40239
,DBCORP,EQ,       263.05,                  5788726.65,22053
,DBL,EQ,       658.65,                632356341.55,985386
,DBREALTY,EQ,        39.45,                  7061743.10,178431
,DCAL,EQ,       259.70,                 23281636.15,89341
,DCBBANK,EQ,       166.40,                151617245.10,913420
,DCM,EQ,        89.00,                   305419.40,3437
,DCMFINSERV,EQ,         2.20,                     1325.40,600
,DCMSHRIRAM,EQ,       295.60,                 37662641.30,127702
,DCW,EQ,        24.05,                  7420826.25,304153
,DECCANCE,EQ,       413.30,                   942573.75,2276
,DEEPAKFERT,EQ,       265.70,                 14007825.75,52710
