,06-Jul-2018
The Nifty witnessed an intraday movement of about 81.3 points.The closing index was 0.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28712.09
, Traded Quantity (in Lakhs), 12435.38
, Number of Trades, 10248840
, Total Market Capitalisation (Rs. Crores), 14403906.25

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AURIONPRO,EQ,       196.50,                   854060.60,4333
,AUSOMENT,EQ,        70.75,                   504518.55,7130
,AUTOAXLES,EQ,      1197.75,                  9681633.80,7994
,AUTOIND,EQ,        62.75,                   511382.55,8077
,AUTOLITIND,EQ,        56.65,                   296218.75,5222
,AVADHSUGAR,EQ,       323.35,                 10071148.10,30704
,AVANTIFEED,EQ,       475.40,                393206461.80,817862
,AVTNPL,EQ,        32.25,                  1358484.50,41774
,AXISCADES,EQ,       122.35,                 34700829.75,285839
,AXISGOLD,EQ,      2705.05,                   292376.75,108
,AXISNIFTY,EQ,      1095.26,                     1095.26,1
,AYMSYNTEX,EQ,        47.40,                   698996.15,14757
,BAFNAPHARM,EQ,        22.20,                   375981.40,17107
,BAGFILMS,EQ,         4.30,                   164076.75,38736
,BAJAJCORP,EQ,       420.00,                101178600.15,240694
,BAJAJELEC,EQ,       519.80,                100622332.70,192896
,BAJAJHIND,EQ,         6.50,                  7596320.90,1160126
,BAJAJHLDNG,EQ,      2946.15,                 30512417.20,10368
,BALAJITELE,EQ,       114.90,                  5320898.10,46403
,BALAMINES,EQ,       531.20,                  5273006.75,9934
,BALKRISHNA,EQ,        70.95,                  2494982.80,36691
,BALKRISIND,EQ,      1201.70,               1168356535.10,973640
,BALLARPUR,EQ,        10.00,                  7741933.45,772724
,BALMLAWRIE,EQ,       209.95,                  5812975.45,27792
,BALPHARMA,EQ,        76.10,                  1180347.30,15447
,BALRAMCHIN,EQ,        63.10,                304393559.35,4773293
,BANARBEADS,EQ,        58.40,                  7619010.50,134716
,BANARISUG,EQ,      1477.85,                    90922.30,62
,BANCOINDIA,EQ,       203.95,                  2363300.30,11655
,BANDHANBNK,EQ,       544.30,                170718911.25,313428
,BANG,EQ,        55.45,                  2859173.15,52254
,BANKBEES,EQ,      2697.55,                  2121480.81,787
,BANKINDIA,EQ,        86.65,                620070402.25,7174857
,BANSAL,SM,       127.40,                  7966200.00,64000
,BANSWRAS,EQ,        85.50,                    61804.00,729
,BARTRONICS,BE,         9.70,                   510839.70,52915
,BASF,EQ,      1910.85,                  4583197.65,2398
,BASML,EQ,       228.40,                   424357.30,1877
,BATAINDIA,EQ,       830.10,                619307026.30,741248
,BAYERCROP,EQ,      4573.00,                 16152304.25,3527
,BBL,EQ,      1189.60,                  4939560.45,4140
,BBTC,EQ,      1450.10,                 97085978.70,67122
,BDL,EQ,       374.80,                  6035506.25,16201
,BEARDSELL,EQ,        37.75,                    81303.20,2162
,BEDMUTHA,BE,        19.25,                    82071.40,4353
,BEML,EQ,       837.05,                980022009.55,1172500
,BEPL,EQ,       140.90,                 40752673.50,288210
,BERGEPAINT,EQ,       296.55,                624019285.15,2110713
,BFINVEST,EQ,       233.00,                 27933848.75,119324
,BFUTILITIE,EQ,       308.00,                 95511716.90,310903
,BGLOBAL,BE,         3.00,                    66225.00,23295
,BGRENERGY,EQ,        90.40,                 19478356.25,214161
,BHAGERIA,EQ,       291.65,                  2563276.35,8798
,BHAGYANGR,EQ,        45.60,                  9469666.80,208154
,BHAGYAPROP,BE,        20.50,                    21025.25,1028
,BHANDARI,EQ,         2.40,                   413483.60,175987
,BHARATFIN,EQ,      1181.00,                379459821.85,321025
,BHARATFORG,EQ,       632.35,                692645149.55,1103081
,BHARATGEAR,EQ,       154.70,                  2696353.95,17614
,BHARATIDIL,BZ,         3.60,                     8980.90,2513
,BHARATRAS,EQ,      6215.95,                  5765268.30,928
,BHARATWIRE,EQ,        96.10,                   779645.75,8057
,BHUSANSTL,EQ,        29.00,                 22388429.85,773172
,BIGBLOC,EQ,        86.10,                  5556284.70,67049
,BIL,EQ,       386.50,                   414325.25,1081
,BILENERGY,BE,          .50,                    53793.40,108761
,BINANIIND,EQ,        87.35,                  1626896.85,18484
,BINDALAGRO,EQ,        19.95,                  1914818.00,96238
,BIOCON,EQ,       631.10,                664347071.45,1053895
,BIOFILCHEM,BE,        11.40,                     4568.70,399
,BIRLACABLE,BE,        83.75,                  1841275.05,22122
,BIRLACORPN,EQ,       701.45,                 35277464.65,49929
,BIRLAMONEY,BE,        53.70,                   775107.40,14414
,BKMINDST,EQ,        21.15,                    90294.90,4313
,BLBLIMITED,BE,         7.45,                       15.15,2
,BLISSGVS,EQ,       171.25,                 33405849.45,193674
,BLKASHYAP,EQ,        36.45,                  3112986.85,85679
,BLS,EQ,       171.00,                 19275568.60,112188
,BLUEBLENDS,EQ,         8.50,                    43567.25,5219
