,04-Jul-2018
The Nifty witnessed an intraday movement of about 99.4 points.The closing index was 0.65 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 25099.64
, Traded Quantity (in Lakhs), 10985.44
, Number of Trades, 9092612
, Total Market Capitalisation (Rs. Crores), 14370714.3

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ATULAUTO,EQ,       396.45,                  2377434.65,6039
,AUBANK,EQ,       680.20,                 52241105.45,76880
,AURDIS,SM,        21.90,                   288000.00,14000
,AURIONPRO,EQ,       199.95,                  2700683.15,13539
,AUSOMENT,EQ,        67.60,                   138674.90,2052
,AUTOAXLES,EQ,      1174.05,                  7413217.80,6305
,AUTOIND,EQ,        63.55,                   708245.65,11060
,AUTOLITIND,EQ,        56.65,                   159213.40,2807
,AVADHSUGAR,EQ,       323.30,                  3306253.90,10102
,AVANTIFEED,EQ,       509.00,               1181854199.85,2371506
,AVG,SM,        90.00,                   108000.00,1200
,AVTNPL,EQ,        33.00,                  1586271.80,47701
,AXISCADES,EQ,       115.65,                 57035168.25,511781
,AXISGOLD,EQ,      2700.70,                    40593.05,15
,AXISNIFTY,EQ,      1085.00,                    18412.00,17
,AYMSYNTEX,EQ,        47.65,                  1533021.80,32238
,BAFNAPHARM,EQ,        22.35,                   287958.90,12952
,BAGFILMS,EQ,         4.30,                   212512.45,49311
,BAJAJCORP,EQ,       408.75,                 11419511.80,27839
,BAJAJELEC,EQ,       522.05,                166348841.50,314949
,BAJAJHIND,EQ,         6.50,                  7899560.55,1221065
,BAJAJHLDNG,EQ,      2959.50,                 49647517.15,16920
,BALAJITELE,EQ,       116.05,                  5088302.95,43889
,BALAMINES,EQ,       535.75,                  5762377.80,10753
,BALKRISHNA,EQ,        68.45,                   107545.85,1563
,BALKRISIND,EQ,      1138.60,                948076998.20,851693
,BALLARPUR,EQ,        10.10,                  5872393.75,574375
,BALMLAWRIE,EQ,       208.65,                 11288304.70,54016
,BALPHARMA,EQ,        78.95,                   917134.45,11628
,BALRAMCHIN,EQ,        62.60,                262792225.00,4209570
,BANARBEADS,EQ,        40.60,                   123233.65,3016
,BANARISUG,EQ,      1450.00,                  2020047.05,1393
,BANCOINDIA,EQ,       203.95,                  4273537.20,21023
,BANDHANBNK,EQ,       548.45,                202452519.70,367351
,BANG,EQ,        55.80,                  8020244.45,144240
,BANKBEES,EQ,      2691.24,                131895981.10,49212
,BANKINDIA,EQ,        85.90,                418909098.30,4868538
,BANSAL,SM,       127.15,                  7252050.00,57000
,BANSWRAS,EQ,        86.00,                   211795.00,2460
,BARTRONICS,BE,         9.75,                   266057.00,27543
,BASF,EQ,      1942.75,                 37031667.40,19085
,BASML,EQ,       209.70,                    24978.85,119
,BATAINDIA,EQ,       828.70,                886931963.10,1060828
,BAYERCROP,EQ,      4561.90,                 14412168.25,3165
,BBL,EQ,      1206.60,                 10541318.25,8747
,BBTC,EQ,      1437.10,                158837543.40,110263
,BCONCEPTS,SM,        35.50,                   106500.00,3000
,BDL,EQ,       376.35,                  4057074.80,10830
,BEARDSELL,EQ,        36.80,                    13199.70,359
,BEDMUTHA,BE,        17.80,                   122835.25,6895
,BEML,EQ,       825.90,                629303419.35,764319
,BEPL,EQ,       147.35,                 62243140.10,431125
,BERGEPAINT,EQ,       286.15,                131941432.80,460699
,BETA,SM,        93.00,                   151600.00,1600
,BFINVEST,EQ,       232.30,                 26731090.40,116651
,BFUTILITIE,EQ,       310.25,                 97463583.70,313815
,BGLOBAL,BE,         2.85,                    56068.60,19490
,BGRENERGY,EQ,        92.00,                 11468598.75,124438
,BHAGERIA,EQ,       293.90,                  2289531.25,7745
,BHAGYANGR,EQ,        40.60,                  2099449.75,51551
,BHAGYAPROP,BE,        20.25,                   266139.85,13117
,BHANDARI,EQ,         2.30,                   438441.25,186328
,BHARATFIN,EQ,      1194.25,                417562401.55,353296
,BHARATFORG,EQ,       636.75,                691368672.30,1102281
,BHARATGEAR,EQ,       150.20,                  1437393.45,9491
,BHARATIDIL,BZ,         3.70,                    36917.40,10080
,BHARATRAS,EQ,      6213.75,                  1812619.00,292
,BHARATWIRE,EQ,        97.80,                  2538109.75,26077
,BHUSANSTL,EQ,        29.30,                 26996263.05,941743
,BIGBLOC,EQ,        79.15,                  9346405.75,115543
,BIL,EQ,       385.90,                  1437352.45,3728
,BILENERGY,BE,          .50,                    85922.55,173395
,BINANIIND,EQ,        89.10,                  2047595.00,23109
,BINDALAGRO,EQ,        21.35,                   670598.00,31139
,BIOCON,EQ,       628.25,                998707761.65,1587731
,BIOFILCHEM,BE,        11.65,                     9784.95,854
,BIRLACABLE,BE,        81.20,                  2581976.95,31985
,BIRLACORPN,EQ,       707.70,                 55170840.20,77572
,BIRLAMONEY,BE,        53.25,                  1225453.65,23311
,BKMINDST,EQ,        21.45,                    79624.20,3606
,BLBLIMITED,BE,         7.75,                     1550.00,200
,BLISSGVS,EQ,       179.30,                 56481034.85,313802
,BLKASHYAP,EQ,        37.00,                  1442022.45,38476
,BLS,EQ,       174.35,                 51359610.65,301078
,BLUEBLENDS,EQ,         8.75,                    75681.85,8590
,BLUEDART,EQ,      3632.45,                  5798772.05,1594
,BLUEDART,N2,        10.25,                    29444.55,2877
,BLUESTARCO,EQ,       646.45,                 11197794.75,17338
,BODALCHEM,EQ,       134.10,                 31369170.75,232823
,BOMDYEING,BE,       211.35,                 94381660.70,455109
,BOROSIL,EQ,       948.10,                 21043551.65,22164
,BPL,EQ,        51.05,                 11861751.90,236261
,BRFL,BE,        24.10,                   907890.10,37419
,BRIGADE,EQ,       215.45,                  4624754.80,21721
,BRNL,EQ,       169.40,                   404382.30,2404
,BROOKS,EQ,        82.10,                  5985036.60,72070
,BSE,EQ,       854.90,                 95877892.50,112621
,BSELINFRA,EQ,         3.10,                    78447.60,25352
,BSHSL,SM,       139.10,                  1400400.00,10000
,BSL,EQ,        47.25,                   325764.40,6888
,BSLGOLDETF,EQ,      2839.00,                    70978.05,25
,BSLNIFTY,EQ,       108.00,                     4359.00,40
,BURNPUR,BE,         4.95,                   238845.80,47894
,BUTTERFLY,BE,       310.55,                  2518789.45,8112
,BVCL,BE,        20.00,                    16061.05,798
,BYKE,EQ,       154.05,                  5046274.05,32712
,CADSYS,SM,        68.30,                   136600.00,2000
,CALSOFT,BE,        26.80,                   843804.75,31975
,CAMLINFINE,EQ,        88.40,                 16262410.25,183422
,CANBK,EQ,       244.65,               1430798981.50,5853570
,CANDC,EQ,        36.85,                 11799046.95,313411
,CANFINHOME,EQ,       335.05,                175423393.35,519879
,CANTABIL,BE,       112.80,                   243251.85,2140
,CAPACITE,EQ,       271.95,                 14157535.95,52049
,CAPF,EQ,       519.00,                132820167.00,255435
,CAPLIPOINT,EQ,       398.50,                 20660271.20,51792
,CAPTRUST,EQ,       388.45,                   148645.00,385
,CARBORUNIV,EQ,       319.55,                  4172325.75,13039
,CAREERP,EQ,        93.15,                  1270725.95,13685
,CARERATING,EQ,      1252.55,                 56428054.65,45648
,CASTEXTECH,BE,         2.05,                   337022.50,165883
,CASTROLIND,EQ,       160.85,                437380180.45,2767782
,CCCL,EQ,         3.20,                   211443.50,64889
,CCHHL,EQ,         8.70,                   198489.10,22936
,CCL,EQ,       266.30,                  5781955.35,21641
,CDSL,EQ,       273.40,                100190863.60,368893
,CEATLTD,EQ,      1269.70,                618851461.35,492606
,CEBBCO,EQ,        13.10,                   604584.25,45464
,CELEBRITY,EQ,        12.10,                   229284.95,19015
,CELESTIAL,EQ,        14.25,                  1635911.15,112500
,CENTENKA,EQ,       249.05,                  5837326.55,23493
,CENTEXT,EQ,         6.15,                   946779.25,154339
,CENTRALBK,EQ,        67.45,                 13904437.85,206221
,CENTRUM,EQ,        54.25,                 18369549.20,338966
,CENTUM,EQ,       415.00,                   155601.05,378
,CENTURYPLY,EQ,       247.15,                 22969425.85,92803
,CENTURYTEX,EQ,       872.25,                542242970.25,620570
,CERA,EQ,      2736.05,                  4907570.05,1782
,CEREBRAINT,BE,        56.00,                 26787755.15,478434
,CES1RPG,MF,         9.04,                    62956.45,7000
,CESC,EQ,       878.95,                268194886.30,302455
,CGCL,EQ,        75.60,                  1597406.15,21002
,CGPOWER,EQ,        57.80,                647882167.50,11562871
,CHAMBLFERT,EQ,       154.55,                 48827394.80,314986
