,26-Mar-2018
The Nifty witnessed an intraday movement of about 184.95 points.The closing index was 1.33 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31018.64
, Traded Quantity (in Lakhs), 17008.57
, Number of Trades, 10558288
, Total Market Capitalisation (Rs. Crores), 13936458.65

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BHARATGEAR,EQ,       171.30,                  9782096.80,57179
,BHARATIDIL,BZ,         4.85,                   166142.15,34196
,BHARATIWIN,EQ,        34.86,                 33967889.13,982978
,BHARATRAS,EQ,      4260.05,                  2656208.85,624
,BHARATWIRE,EQ,       104.60,                  8856125.25,84966
,BHUSANSTL,EQ,        42.65,                242096931.55,5620634
,BIGBLOC,EQ,       165.15,                  7230604.70,43408
,BIL,EQ,       403.60,                  5750825.60,14545
,BILENERGY,EQ,          .70,                   220246.15,306394
,BILPOWER,EQ,         1.65,                    19800.00,12000
,BINANIIND,EQ,        84.60,                 12985794.05,152682
,BINDALAGRO,EQ,        24.85,                  1705860.65,68351
,BIOCON,EQ,       573.75,                674613828.55,1176516
,BIOFILCHEM,BE,        14.35,                    15618.75,1135
,BIRLACABLE,EQ,        58.70,                  1179605.80,19996
,BIRLACORPN,EQ,       685.35,                 80053702.60,115717
,BIRLAMONEY,EQ,        53.20,                 12030067.15,224005
,BKMINDST,EQ,        27.20,                  7342279.70,269245
,BLBLIMITED,EQ,         4.95,                    21964.20,4412
,BLISSGVS,EQ,       200.75,                 66071032.30,327789
,BLKASHYAP,EQ,        41.75,                 20589220.70,503645
,BLS,EQ,       117.20,                 86720083.20,734674
,BLUEBLENDS,EQ,        18.35,                   140346.60,7632
,BLUECHIP,BE,          .05,                      230.00,4600
,BLUECOAST,EQ,        90.80,                     4540.00,50
,BLUEDART,EQ,      3789.70,                 93300425.05,24643
,BLUEDART,N3,        10.14,                      101.40,10
,BLUEDART,N2,        10.05,                      121.70,12
,BLUESTARCO,EQ,       763.00,                175496121.50,228938
,BODALCHEM,EQ,       114.00,                 87732768.00,772426
,BOHRA,SM,        30.05,                  6633900.00,218000
,BOMDYEING,EQ,       237.35,                779907538.05,3252113
,BPL,EQ,        73.10,                 31776247.10,442987
,BRFL,EQ,        43.20,                  5128612.20,117922
,BRIGADE,EQ,       247.15,                  4086538.20,16369
,BRNL,EQ,       180.50,                 12875413.65,71413
,BROOKS,EQ,        80.65,                  5170827.75,63755
,BSE,EQ,       732.55,                145573209.70,198232
,BSELINFRA,EQ,         3.80,                   227267.50,60812
,BSL,EQ,        50.45,                  2750200.00,54442
,BSLGOLDETF,EQ,      2850.00,                   137103.05,48
,BSLIMITED,BZ,         1.00,                    81769.00,81769
,BSLNIFTY,EQ,       110.00,                    12934.10,117
,BURNPUR,EQ,         7.55,                  5119453.90,666952
,BUTTERFLY,EQ,       497.90,                 10693092.50,21962
,BVCL,BE,        28.30,                   140698.65,5069
,BYKE,EQ,       169.25,                 18184173.80,107580
,CADSYS,SM,        90.00,                  1398000.00,16000
,CALSOFT,EQ,        42.05,                   667639.00,16234
,CAMLINFINE,EQ,       102.70,                 89080795.65,879477
,CANBK,EQ,       270.50,               4337218865.70,16726722
,CANDC,EQ,        46.80,                  4851745.85,105487
,CANFINHOME,EQ,       523.95,               1034353466.75,1998779
,CANTABIL,EQ,       115.00,                  4462022.65,39164
,CAPACITE,EQ,       293.00,                 81293121.90,275588
,CAPF,EQ,       618.55,                290694204.45,472276
,CAPLIPOINT,EQ,       539.75,                 22433518.20,41464
,CAPTRUST,EQ,       347.40,                  4684599.50,13359
,CARBORUNIV,EQ,       340.10,                 70220499.85,207856
,CAREERP,EQ,       105.05,                 12643895.70,120061
,CARERATING,EQ,      1226.60,                 36731225.95,29884
,CASTEXTECH,EQ,         3.70,                  6848385.50,1844599
,CASTROLIND,EQ,       200.95,                258967411.95,1299795
,CCCL,EQ,         3.95,                   434751.60,109996
,CCHHL,EQ,        11.10,                  3650720.90,327199
,CCL,EQ,       279.50,                  8262901.20,29295
,CDSL,EQ,       279.30,                307365114.05,1106314
,CEATLTD,EQ,      1457.35,                767030641.10,532533
,CEBBCO,EQ,        14.80,                  1890075.40,127518
,CELEBRITY,EQ,        14.85,                  1297988.05,85814
,CELESTIAL,EQ,        12.65,                  1178468.65,93346
,CENTENKA,EQ,       293.85,                 12595695.70,42803
,CENTEXT,EQ,         4.90,                   525184.35,106969
,CENTRALBK,EQ,        74.50,                276269777.60,3722220
,CENTUM,EQ,       493.75,                 10957266.90,22611
,CENTURYPLY,EQ,       323.30,                 99834632.65,312634
,CENTURYTEX,EQ,      1144.10,                788370574.30,696222
,CERA,EQ,      3266.15,                 41577803.15,12821
,CEREBRAINT,EQ,        52.35,                 68093467.90,1294503
,CESC,EQ,       954.45,               1168439185.65,1266720
,CGCL,EQ,        78.55,                  5558010.50,70274
,CGPOWER,EQ,        76.35,                132087159.55,1763531
,CHAMBLFERT,EQ,       161.95,                455262469.10,2806734
,CHENNPETRO,EQ,       317.25,                192320718.45,610550
,CHOLAFIN,EQ,      1437.40,                155187983.25,110474
,CHROMATIC,BE,         1.85,                    34720.85,18768
,CIGNITITEC,BE,       242.75,                  2780730.70,11463
,CIMMCO,EQ,        76.05,                  7112346.05,93799
,CINELINE,EQ,        70.00,                  8310634.80,118079
,CINEVISTA,EQ,         8.45,                   119427.75,14422
,CKPLEISURE,SM,        28.75,                   230000.00,8000
,CLEDUCATE,EQ,       182.45,                  2721615.50,14937
