,28-Mar-2018
The Nifty witnessed an intraday movement of about 61.45 points.The closing index was 0.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43434.65
, Traded Quantity (in Lakhs), 19753.17
, Number of Trades, 12491763
, Total Market Capitalisation (Rs. Crores), 14044151.54

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BFINVEST,EQ,       280.65,                 52881026.65,184793
,BFUTILITIE,EQ,       382.35,                115448418.35,299418
,BGLOBAL,BE,         4.15,                    45530.60,11004
,BGRENERGY,EQ,       101.90,                  5107841.75,49807
,BHAGERIA,EQ,       277.30,                 50826452.05,182721
,BHAGYANGR,EQ,        42.50,                  3046883.40,71084
,BHAGYAPROP,EQ,        19.20,                      681.60,37
,BHANDARI,EQ,         2.85,                   605677.40,209208
,BHARATFIN,EQ,      1096.85,               1017249616.55,927260
,BHARATFORG,EQ,       699.65,                973769186.65,1390605
,BHARATGEAR,EQ,       168.25,                  4035648.35,23778
,BHARATIDIL,BZ,         5.05,                   105600.60,21460
,BHARATIWIN,EQ,        34.95,                 32644737.55,932649
,BHARATRAS,EQ,      4332.65,                  2008412.45,466
,BHARATWIRE,EQ,       111.15,                 24002292.55,212666
,BHUSANSTL,EQ,        40.45,                104922713.90,2596929
,BIGBLOC,EQ,       163.10,                 11596616.00,70379
,BIL,EQ,       395.30,                 11107786.60,27602
,BILENERGY,EQ,          .70,                   293770.30,411420
,BINANIIND,EQ,        83.10,                  5060545.70,60313
,BINDALAGRO,EQ,        25.85,                   745289.95,28926
,BIOCON,EQ,       593.90,               2821878574.65,4669965
,BIOFILCHEM,BE,        13.85,                    29789.45,2057
,BIRLACABLE,EQ,        60.90,                  1249987.65,20515
,BIRLACORPN,EQ,       714.70,                 53484802.15,74028
,BIRLAMONEY,EQ,        50.50,                 12496476.70,243213
,BKMINDST,EQ,        27.10,                  4539742.40,167181
,BLBLIMITED,EQ,         4.75,                    15912.75,3350
,BLISSGVS,EQ,       196.70,                 21617978.45,109375
,BLKASHYAP,EQ,        42.75,                 17013638.60,406064
,BLS,EQ,       116.05,                 35156621.00,301552
,BLUEBLENDS,EQ,        18.45,                   420678.75,23272
,BLUECHIP,BE,          .05,                        5.00,100
,BLUEDART,EQ,      3768.75,                 18091733.95,4796
,BLUEDART,N3,        10.05,                   201000.00,20000
,BLUESTARCO,EQ,       755.45,                 31884367.70,41934
,BODALCHEM,EQ,       120.60,                 59649617.55,499374
,BOHRA,SM,        31.95,                   577000.00,18000
,BOMDYEING,EQ,       239.05,               1721774733.75,7112198
,BPL,EQ,        70.30,                 23609357.30,331519
,BRFL,EQ,        43.10,                 13735068.85,336268
