,06-Mar-2018
The Nifty witnessed an intraday movement of about 225.45 points.The closing index was 1.06 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29914.1
, Traded Quantity (in Lakhs), 14268.23
, Number of Trades, 10657239
, Total Market Capitalisation (Rs. Crores), 14231240.11

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BANARBEADS,EQ,        63.25,                   160157.35,2545
,BANARISUG,EQ,      1675.00,                  1054479.50,627
,BANCOINDIA,EQ,       217.75,                  6880696.80,31297
,BANG,EQ,        29.35,                    73605.85,2477
,BANKA,SM,       115.00,                  1242000.00,10800
,BANKBEES,EQ,      2483.22,                  3020501.79,1203
,BANKINDIA,EQ,       103.50,               1390113157.60,12955555
,BANSAL,SM,       114.50,                  2503900.00,22000
,BANSWRAS,EQ,       113.05,                   919677.05,8045
,BARTRONICS,EQ,        12.75,                   469489.50,36409
,BASF,EQ,      2036.20,                 17633100.70,8479
,BASML,EQ,       275.25,                  1364163.50,4865
,BATAINDIA,EQ,       714.90,                305741933.70,425438
,BAYERCROP,EQ,      3870.90,                 27956811.05,7294
,BBL,EQ,      1650.80,                 74886710.65,43914
,BBTC,EQ,      1416.15,                136218217.60,95538
,BCONCEPTS,SM,        52.00,                   315000.00,6000
,BEARDSELL,EQ,        55.00,                    87383.60,1584
,BEDMUTHA,EQ,        22.15,                   129352.35,5688
,BEML,EQ,      1259.25,               2640513512.35,2040021
,BEPL,EQ,       168.75,                 82999776.00,477574
,BERGEPAINT,EQ,       242.60,                116172535.25,474721
,BETA,SM,       150.75,                  1200400.00,8000
,BFINVEST,EQ,       315.95,                 29984629.35,93125
,BFUTILITIE,EQ,       425.85,                300789760.20,684887
,BGLOBAL,BE,         5.25,                   190923.95,34871
,BGRENERGY,EQ,       113.80,                  4984807.10,43176
,BHAGERIA,EQ,       296.70,                  2372541.45,7928
,BHAGYANGR,EQ,        54.05,                127434836.30,2378991
,BHAGYAPROP,EQ,        21.00,                    96616.30,4599
,BHANDARI,EQ,         3.10,                   294722.95,93106
,BHARATFIN,EQ,      1038.85,                604192355.05,577249
,BHARATFORG,EQ,       762.00,                660530235.35,863068
,BHARATGEAR,EQ,       179.75,                  8095260.90,44532
,BHARATIDIL,BZ,         7.00,                   129958.10,18633
,BHARATIWIN,EQ,        35.94,                 26509568.91,737393
,BHARATRAS,EQ,      4372.80,                  4632417.95,1047
,BHARATWIRE,EQ,       118.15,                 15800894.00,128767
,BHUSANSTL,EQ,        44.60,                145381575.55,3193926
,BIGBLOC,EQ,       170.20,                 26287788.10,151033
,BIL,EQ,       400.40,                  2562884.60,6331
,BILENERGY,EQ,         1.05,                    13422.15,12783
,BILPOWER,EQ,         1.80,                     9945.00,5525
,BINANIIND,EQ,       103.80,                  3620255.25,34202
,BINDALAGRO,EQ,        28.65,                   964198.75,33232
,BIOCON,EQ,       632.40,               2127327277.05,3343002
,BIOFILCHEM,BE,        15.20,                    17222.80,1131
,BIRLACABLE,EQ,        59.10,                  1616465.10,26937
,BIRLACORPN,EQ,       855.75,                 33294576.70,37596
,BIRLAMONEY,EQ,        69.35,                  3615354.15,51147
,BKMINDST,EQ,        34.00,                   365460.35,10515
,BLBLIMITED,EQ,         5.55,                    16655.50,2963
,BLISSGVS,EQ,       186.35,                  8600717.90,45418
,BLKASHYAP,EQ,        37.70,                 15961351.10,411685
,BLS,EQ,       158.25,                 47620698.85,295506
,BLUEBLENDS,EQ,        24.50,                    90982.95,3660
,BLUEDART,EQ,      4295.95,                103138814.10,24202
,BLUEDART,N2,        10.79,                   472512.41,43682
,BLUEDART,N3,        11.00,                   220000.00,20000
,BLUESTARCO,EQ,       791.55,                102776909.15,127998
,BODALCHEM,EQ,       133.05,                 16477654.00,123214
,BOMDYEING,EQ,       268.65,               2427526513.35,8996470
,BPL,EQ,        85.80,                 31100639.55,349666
,BRFL,EQ,        57.40,                  4171146.90,71544
,BRIGADE,EQ,       274.80,                 28346027.50,103111
,BRNL,EQ,       180.75,                  2857288.85,15864
,BROOKS,EQ,        92.05,                  3449702.20,36727
,BSE,EQ,       795.05,                116228638.10,145492
,BSELINFRA,EQ,         4.50,                   377021.05,81740
,BSL,EQ,        67.75,                  1500266.80,21713
,BSLGOLDETF,EQ,      2838.65,                   107598.05,38
,BSLIMITED,BE,         1.20,                   180302.45,149627
,BSLNIFTY,EQ,       111.80,                     1006.80,9
,BURNPUR,EQ,        10.75,                  3352723.40,301216
,BUTTERFLY,EQ,       488.80,                  4110438.85,8335
,BVCL,BE,        30.20,                    54182.25,1813
,BYKE,EQ,       169.65,                  9261688.80,54040
,CADSYS,SM,        93.00,                   186000.00,2000
,CALSOFT,EQ,        55.00,                   823172.25,14839
,CAMLINFINE,EQ,       112.45,                 34821109.20,303222
,CANBK,EQ,       267.95,               1430660721.70,5189913
,CANDC,EQ,        60.55,                  3795212.20,61763
,CANFINHOME,EQ,       535.00,                510106732.15,938254
,CANTABIL,EQ,       132.20,                  7524734.70,55705
,CAPACITE,EQ,       325.00,                 59725434.75,183718
,CAPF,EQ,       647.65,                276858245.20,421205
,CAPLIPOINT,EQ,       621.25,                 27003756.35,43512
,CAPTRUST,EQ,       445.80,                  2600530.05,5706
,CARBORUNIV,EQ,       350.45,                111779307.90,321166
,CAREERP,EQ,       120.90,                  3986389.55,32348
,CARERATING,EQ,      1343.80,                 36896115.35,27477
,CASTEXTECH,EQ,         4.40,                  9756688.20,2207034
,CASTROLIND,EQ,       201.75,                512632322.50,2524304
,CCCL,EQ,         4.65,                   368331.50,79402
,CCHHL,EQ,        13.90,                  1497493.50,106589
,CCL,EQ,       294.90,                 14828646.55,49943
,CDSL,EQ,       308.95,                 79897776.90,257679
,CEATLTD,EQ,      1572.20,                663054822.40,418998
,CEBBCO,EQ,        15.55,                   374620.05,23872
,CELEBRITY,EQ,        17.35,                  1055745.25,60070
,CELESTIAL,EQ,        16.05,                   562068.50,34613
,CENTENKA,EQ,       324.55,                  9827127.65,29868
,CENTEXT,EQ,         6.20,                   372686.90,59777
,CENTRALBK,EQ,        63.85,                 14045355.00,217353
,CENTUM,EQ,       573.75,                  4208225.90,7139
,CENTURYPLY,EQ,       326.85,                 63187490.20,192189
,CENTURYTEX,EQ,      1179.50,                577222938.05,479926
,CERA,EQ,      3291.65,                 27393926.00,8209
,CEREBRAINT,EQ,        52.35,                 34202242.00,617645
,CESC,EQ,       979.55,                507122903.05,511661
,CGCL,EQ,        93.10,                  1653503.30,17558
,CGPOWER,EQ,        79.45,                270146644.65,3340337
,CHAMBLFERT,EQ,       155.55,                123633009.80,772772
,CHENNPETRO,EQ,       353.90,                204535338.35,569688
,CHOLAFIN,EQ,      1434.15,                245663499.35,168301
,CHROMATIC,EQ,         2.25,                   306243.15,135718
,CIGNITITEC,BE,       250.95,                   899111.00,3576
,CIMMCO,EQ,        93.25,                   928460.15,9950
,CINELINE,EQ,        81.25,                  2409431.90,29062
,CINEVISTA,EQ,        10.95,                    88558.70,8056
,CKPLEISURE,SM,        29.90,                 26322000.00,884000
,CLEDUCATE,EQ,       215.00,                  3111494.50,14173
,CLNINDIA,EQ,       571.10,                  5350542.20,9261
,CMICABLES,EQ,       240.85,                  4371166.45,17996
,CMMIPL,SM,        67.05,                  1647750.00,24000
,CNOVAPETRO,EQ,        38.55,                   953699.15,25650
,COCHINSHIP,EQ,       525.80,                 62572917.65,117396
,COFFEEDAY,EQ,       305.85,                 45650232.10,147838
,COMPINFO,EQ,        46.25,                  3869180.10,80695
,COMPUSOFT,EQ,        12.60,                   416945.65,32650
,CONSOFINVT,EQ,        68.45,                   369448.65,5364
,CONTROLPR,EQ,       464.45,                  3018575.25,6518
,CORALFINAC,EQ,        38.65,                  1830115.60,46403
,CORDSCABLE,EQ,        99.85,                   674371.40,6708
,COROMANDEL,EQ,       569.15,                116257318.45,207488
,CORPBANK,EQ,        31.30,                  6235332.45,196537
,COSMOFILMS,EQ,       280.85,                  9560082.55,33778
,COUNCODOS,EQ,         3.70,                    19262.60,5198
,COX&KINGS,EQ,       249.75,                 49653975.50,197956
,CPSEETF,EQ,        29.37,                 28816707.32,978968
,CREST,EQ,       208.45,                  1314898.30,6228
,CRISIL,EQ,      1961.80,                 16328313.80,8340
,CRMFGETF,EQ,      2830.00,                     2830.00,1
,CROMPTON,EQ,       235.40,                100549518.80,426515
,CTE,EQ,        77.80,                   930553.40,11918
,CUB,EQ,       182.05,                207751927.20,1145322
,CUBEXTUB,BE,        25.15,                    11152.50,445
,CUPID,EQ,       279.45,                  4952469.55,17465
,CYBERMEDIA,BE,        16.85,                     1621.85,101
,CYBERTECH,EQ,        65.55,                  2264053.40,33499
,CYIENT,EQ,       622.30,                 66076503.70,105034
,DAAWAT,EQ,        89.40,                 59701095.10,657140
,DALMIABHA,EQ,      2669.15,                166608692.55,62137
,DALMIASUG,EQ,        92.95,                 19443231.95,202669
,DAMODARIND,EQ,       142.10,                 38233214.25,254479
,DATAMATICS,EQ,       118.00,                 11688340.70,97595
,DBCORP,EQ,       334.40,                 22380577.95,66802
,DBL,EQ,       982.35,               1008240601.25,1009958
,DBREALTY,EQ,        53.95,                 22355690.00,401467
,DBSTOCKBRO,EQ,         9.65,                       19.30,2
,DCAL,EQ,       320.20,                 40165156.10,124606
,DCBBANK,EQ,       161.10,                190433221.90,1166500
,DCM,EQ,        99.40,                 13488964.10,130712
,DCMSHRIRAM,EQ,       554.35,                 43923951.35,78919
,DCW,EQ,        36.40,                 20801860.80,562019
,DECCANCE,EQ,       565.00,                   501261.15,886
,DEEPAKFERT,EQ,       316.30,                 57711988.85,180394
,DEEPAKNTR,EQ,       259.90,                 72014432.80,277077
,DEEPIND,EQ,       184.50,                  6244280.35,33508
,DELTACORP,EQ,       328.05,                768287257.80,2287287
,DELTAMAGNT,BE,        59.25,                   164516.25,2745
,DEN,EQ,        96.80,                 34139748.40,352313
,DENABANK,EQ,        20.00,                 20639192.15,1027553
,DENORA,BE,       484.85,                  7959914.90,15959
,DEVIT,SM,        71.00,                   213000.00,3000
,DFMFOODS,EQ,      1650.50,                  1210049.05,726
,DHAMPURSUG,EQ,       167.45,                103404726.30,587732
,DHANBANK,EQ,        22.25,                 12963472.45,579149
,DHANUKA,EQ,       613.60,                 12378277.90,20054
,DHARSUGAR,EQ,        20.20,                   470915.75,22642
,DHFL,EQ,       508.40,               2868589952.30,5429872
