,14-Mar-2018
The Nifty witnessed an intraday movement of about 84.05 points.The closing index was 0.15 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27629.63
, Traded Quantity (in Lakhs), 15813.61
, Number of Trades, 9205792
, Total Market Capitalisation (Rs. Crores), 14315218.98

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CKPPRODUCT,SM,       103.90,                  4984650.00,48000
,CLEDUCATE,EQ,       212.90,                  5926913.45,27525
,CLNINDIA,EQ,       565.80,                  5021588.90,8926
,CMICABLES,EQ,       237.00,                  2323657.20,9790
,CMMIPL,SM,        63.95,                  2064450.00,33000
,CNOVAPETRO,EQ,        34.85,                   175319.40,5194
,COCHINSHIP,EQ,       507.95,                 53175817.50,104645
,COFFEEDAY,EQ,       301.35,                328311362.55,1099008
,COMPINFO,EQ,        44.00,                  5696302.75,130298
,COMPUSOFT,EQ,        12.30,                   201141.15,16372
,CONSOFINVT,EQ,        67.60,                   864310.50,12752
,CONTROLPR,EQ,       442.40,                   925064.15,2110
,CORALFINAC,EQ,        38.20,                 13265168.60,352476
,CORDSCABLE,EQ,        87.70,                   875105.05,9811
,COROMANDEL,EQ,       501.10,                529264470.90,1069562
,CORPBANK,EQ,        30.30,                 23225516.20,771016
,COSMOFILMS,EQ,       274.40,                 13431596.85,48995
,COUNCODOS,EQ,         3.45,                    25319.05,7621
,COX&KINGS,EQ,       249.50,                113429957.70,461675
,CPSEETF,EQ,        28.96,                  8821500.25,303609
,CREST,EQ,       212.85,                   423929.00,2001
,CRISIL,EQ,      1956.70,                 19736215.05,10094
,CRMFGETF,EQ,      2844.00,                  3429685.05,1206
,CROMPTON,EQ,       225.70,                115813596.95,512508
,CTE,EQ,        71.45,                   609121.30,8500
,CUB,EQ,       181.55,                133166136.90,727922
,CUBEXTUB,BE,        22.80,                    87964.95,3855
,CUPID,EQ,       272.05,                  6633898.75,24425
,CYBERMEDIA,BE,        14.25,                    17745.25,1247
,CYBERTECH,EQ,        62.75,                   463538.25,7432
,CYIENT,EQ,       632.40,                 65746193.75,104226
,DAAWAT,EQ,        85.85,                 51072850.85,595788
,DALMIABHA,EQ,      2882.50,                676743747.65,234869
,DALMIASUG,EQ,        78.45,                 30611125.50,387867
,DAMODARIND,EQ,       138.70,                  4699804.20,33778
,DATAMATICS,EQ,       117.25,                 10260268.75,87256
,DBCORP,EQ,       330.95,                 18779423.55,56846
,DBL,EQ,       960.35,                182615050.55,189724
,DBREALTY,EQ,        55.70,                 31024339.15,559513
,DBSTOCKBRO,EQ,         8.90,                     2240.00,250
,DCAL,EQ,       316.20,                 22068701.60,70237
,DCBBANK,EQ,       164.00,                 96070076.25,586303
,DCM,EQ,        97.05,                  2839217.15,29202
,DCMSHRIRAM,EQ,       482.25,                 55912480.50,115081
,DCW,EQ,        34.85,                 26703890.85,767280
,DECCANCE,EQ,       551.00,                   716937.35,1314
,DEEPAKFERT,EQ,       323.25,                230426690.70,715424
,DEEPAKNTR,EQ,       243.95,                 41219809.60,168428
,DEEPIND,EQ,       168.15,                 16966124.40,101309
,DELTACORP,EQ,       312.00,                540622107.75,1727996
,DELTAMAGNT,BE,        57.60,                    28805.70,500
,DEN,EQ,        90.80,                 17323345.10,190447
,DENABANK,EQ,        19.80,                 36242959.85,1858900
,DENORA,BE,       436.45,                  2108842.45,4807
,DEVIT,SM,        76.00,                  1824000.00,24000
,DFMFOODS,EQ,      1640.05,                  2513393.35,1517
,DHAMPURSUG,EQ,       167.25,                104527962.75,627358
,DHANBANK,EQ,        21.85,                  7893228.15,364404
,DHANUKA,EQ,       579.85,                  3975501.85,6839
,DHARSUGAR,EQ,        18.30,                  1370076.85,75148
,DHFL,EQ,       521.70,               1566226682.20,3003145
,DHFL,NP,      1051.73,                   622301.93,592
,DHFL,N8,      1045.00,                   167200.00,160
,DHFL,N6,      1022.02,                   297580.80,290
,DHFL,NC,      1062.20,                   956669.50,900
,DHUNINV,EQ,       396.40,                   624226.60,1606
