,05-Mar-2018
The Nifty witnessed an intraday movement of about 104.8 points.The closing index was 0.95 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28520.51
, Traded Quantity (in Lakhs), 13612.61
, Number of Trades, 10472162
, Total Market Capitalisation (Rs. Crores), 14373679.77

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CGCL,EQ,        94.10,                  1976911.45,20842
,CGPOWER,EQ,        80.25,                228238090.25,2817040
,CHAMBLFERT,EQ,       163.60,                166836452.60,1013626
,CHENNPETRO,EQ,       356.10,                121764762.60,342395
,CHOLAFIN,EQ,      1453.70,                789186035.45,540458
,CHROMATIC,EQ,         2.35,                   130200.95,56435
,CIGNITITEC,BE,       250.75,                  3223744.70,12818
,CIMMCO,EQ,        94.65,                   764606.85,8030
,CINELINE,EQ,        81.85,                  1184514.00,14417
,CINEVISTA,EQ,        11.10,                   190709.40,17027
,CKPPRODUCT,SM,        90.00,                  2700000.00,30000
,CLEDUCATE,EQ,       223.95,                   799632.50,3571
,CLNINDIA,EQ,       576.65,                  3920235.15,6775
,CMICABLES,EQ,       240.35,                  6115345.45,25371
,CMMIPL,SM,        70.95,                  1229100.00,18000
,CNOVAPETRO,EQ,        35.05,                   169997.10,4799
,COCHINSHIP,EQ,       528.05,                 56406393.10,106667
,COFFEEDAY,EQ,       306.70,                 30275221.85,99036
,COMPINFO,EQ,        48.15,                  2215090.15,45683
,COMPUSOFT,EQ,        12.75,                   430647.40,33592
,CONSOFINVT,EQ,        68.75,                   941268.00,13466
,CONTROLPR,EQ,       456.25,                  5682894.70,12714
,CORALFINAC,EQ,        40.75,                  4173252.60,103086
,CORDSCABLE,EQ,       102.50,                  1698258.15,17018
,COROMANDEL,EQ,       552.90,                 58838856.30,107166
,CORPBANK,EQ,        31.85,                  5487968.10,171335
,COSMOFILMS,EQ,       285.75,                  5628472.00,19713
,COUNCODOS,EQ,         3.70,                    16233.30,4349
,COX&KINGS,EQ,       249.85,                115031203.65,459703
,CPSEETF,EQ,        29.49,                 24610009.85,834443
,CREST,EQ,       212.55,                  1597435.60,7538
,CRISIL,EQ,      1950.05,                  6806830.40,3505
,CRMFGETF,EQ,      2810.05,                     2810.05,1
,CROMPTON,EQ,       234.70,                375950736.55,1600374
,CROWN,SM,        74.00,                   153000.00,2000
,CTE,EQ,        76.75,                   807892.80,10558
,CUB,EQ,       181.75,                148898930.90,819435
,CUBEXTUB,BE,        25.35,                     5907.25,234
,CUPID,EQ,       281.55,                  6723975.90,23771
,CYBERMEDIA,BE,        16.85,                     9993.45,587
,CYBERTECH,EQ,        68.70,                  1513937.60,22008
,CYIENT,EQ,       630.10,                 54490606.95,86498
,DAAWAT,EQ,        91.30,                 46134821.10,504530
,DALMIABHA,EQ,      2663.70,                279564486.60,103925
,DALMIASUG,EQ,        99.60,                  9282810.70,93306
,DAMODARIND,EQ,       151.95,                148536237.05,955700
,DATAMATICS,EQ,       120.90,                  9182704.75,75665
,DBCORP,EQ,       344.10,                 14275969.20,42307
,DBL,EQ,       960.90,                397665919.80,413036
,DBREALTY,EQ,        55.65,                  8569545.60,154262
,DBSTOCKBRO,EQ,         9.80,                       98.00,10
,DCAL,EQ,       330.20,                 32242729.05,98782
,DCBBANK,EQ,       163.45,                196113597.05,1203760
,DCM,EQ,       100.80,                  7689597.95,76583
,DCMSHRIRAM,EQ,       551.20,                 32878963.80,59190
,DCW,EQ,        37.40,                 20037872.30,542818
,DECCANCE,EQ,       565.60,                   925018.60,1621
,DEEPAKFERT,EQ,       317.00,                 90696548.95,282733
,DEEPAKNTR,EQ,       257.15,                 41850074.55,163377
,DEEPIND,EQ,       186.80,                  4095982.95,21907
