,16-Oct-2018
The Nifty witnessed an intraday movement of about 79.6 points.The closing index was 0.69 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30742.66
, Traded Quantity (in Lakhs), 14891.88
, Number of Trades, 11532133
, Total Market Capitalisation (Rs. Crores), 13933904.39

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,COROMANDEL,EQ,       386.75,                 15993692.05,41719
,CORPBANK,EQ,        24.35,                  3743375.30,154200
,COSMOFILMS,EQ,       257.70,                  5948474.05,23240
,COUNCODOS,EQ,         2.50,                    32470.80,13447
,COX&KINGS,EQ,       212.60,                 26194617.20,123748
,CPSEETF,EQ,        25.57,                  7268305.03,284879
,CREDITACC,EQ,       281.20,                 10401395.65,36611
,CREST,EQ,       157.95,                  1916719.65,12032
,CRISIL,EQ,      1571.40,                108694942.20,67341
,CROMPTON,EQ,       199.25,                121120131.45,603202
,CROWN,SM,        48.00,                    48000.00,1000
,CTE,EQ,        51.15,                   485523.60,9632
,CUB,EQ,       166.10,                233346156.90,1401276
,CUBEXTUB,EQ,        14.00,                    16415.95,1184
,CUMMINSIND,EQ,       702.50,                203937444.55,291713
,CUPID,EQ,       188.60,                  5202946.85,27510
,CURATECH,BE,         2.80,                     7036.40,2513
,CYBERMEDIA,EQ,         8.20,                      820.00,100
,CYBERTECH,EQ,        45.80,                   370324.40,8105
,CYIENT,EQ,       669.25,                 89189369.40,130845
,DAAWAT,EQ,        46.75,                 44398171.45,952934
,DALMIABHA,EQ,      2089.50,                402655409.15,189253
,DALMIASUG,EQ,        91.70,                 59758612.80,642022
,DAMODARIND,EQ,       104.25,                   478841.75,4664
,DANGEE,SM,       226.00,                   720800.00,3200
,DATAMATICS,EQ,       120.20,                 11094487.90,92316
,DBCORP,EQ,       189.55,                  8392300.05,44180
,DBL,EQ,       537.05,                 96831873.95,179058
,DBREALTY,EQ,        21.10,                  7174528.10,335275
,DCAL,EQ,       239.70,                 23511386.50,99938
,DCBBANK,EQ,       167.95,                567284194.30,3409359
,DCM,EQ,        77.20,                   426371.65,5456
,DCMFINSERV,EQ,         1.75,                    14798.00,8456
,DCMSHRIRAM,EQ,       429.95,                315967592.45,714008
,DCW,EQ,        19.00,                  8110688.25,424079
,DECCANCE,EQ,       374.80,                   778198.55,2066
,DEEPAKFERT,EQ,       221.00,                 24814239.10,114401
,DEEPAKNTR,EQ,       249.85,                 90420224.70,360191
,DEEPIND,EQ,        98.15,                 21970682.20,223496
,DELTACORP,EQ,       239.25,               1482665522.45,6170879
