,30-Oct-2018
The Nifty witnessed an intraday movement of about 109.75 points.The closing index was 0.51 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32393.66
, Traded Quantity (in Lakhs), 16367.36
, Number of Trades, 13096326
, Total Market Capitalisation (Rs. Crores), 13493084.41

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CANFINHOME,EQ,       265.05,                351512226.75,1308018
,CANTABIL,EQ,       134.55,                  3318605.35,25468
,CAPACITE,EQ,       201.10,                 17510514.70,86777
,CAPF,EQ,       465.40,                477340614.50,1016814
,CAPLIPOINT,EQ,       404.65,                  7600034.55,18847
,CAPTRUST,EQ,       233.55,                   335414.90,1445
,CARBORUNIV,EQ,       363.05,                 51140191.00,142311
,CAREERP,EQ,        71.55,                   199104.90,2764
,CARERATING,EQ,      1081.45,                 23548016.05,21688
,CASTEXTECH,EQ,         1.10,                   108623.45,99970
,CASTROLIND,EQ,       146.50,                107112490.10,727667
,CCCL,EQ,         1.70,                   191080.20,114406
,CCHHL,EQ,         7.60,                   172782.35,22744
,CCL,EQ,       237.10,                 34287130.35,144936
,CDSL,EQ,       243.00,                 28750968.90,118891
,CEATLTD,EQ,      1130.20,                573205113.70,503240
,CEBBCO,EQ,        13.10,                   141704.75,10737
,CELEBRITY,EQ,         9.15,                    47820.15,5285
,CELESTIAL,EQ,         8.25,                   348268.90,43009
,CENTENKA,EQ,       256.65,                  4410209.95,17142
,CENTEXT,EQ,         6.00,                   925766.50,154153
,CENTRALBK,EQ,        31.55,                 28393921.55,897420
,CENTRUM,EQ,        40.35,                  3806532.10,92870
,CENTUM,EQ,       371.95,                   162847.05,434
,CENTURYPLY,EQ,       173.85,                 27820603.65,160755
,CENTURYTEX,EQ,       811.70,                739351138.20,908281
,CERA,EQ,      2379.40,                  7933919.95,3307
,CEREBRAINT,EQ,        32.05,                  9255793.10,291230
,CES1RPG,MF,         9.00,                    23165.00,2575
,CESC,EQ,       713.65,               2526570721.85,3662675
,CGCL,EQ,       112.00,                  3551055.20,32132
,CGPOWER,EQ,        35.45,                246222079.55,6902989
,CHAMBLFERT,EQ,       144.55,                 40182872.60,276439
,CHEMFAB,EQ,       146.55,                   449611.40,3051
,CHENNPETRO,EQ,       252.10,                384868899.25,1522036
,CHOLAFIN,EQ,      1243.75,                437612755.60,345154
,CHROMATIC,EQ,         1.05,                    38148.40,38310
,CIGNITITEC,EQ,       386.25,                  9752372.15,25445
,CIMMCO,EQ,        50.75,                   415608.90,8181
,CINELINE,EQ,        45.95,                   329100.40,7126
,CINEVISTA,EQ,         5.50,                    28813.60,5266
,CLEDUCATE,EQ,       115.65,                   141740.25,1237
,CLNINDIA,EQ,       404.65,                  7412838.05,18429
,CMICABLES,EQ,       126.30,                  2155571.30,17058
,CMMIPL,SM,        12.80,                   115200.00,9000
