,07-Jun-2018
The Nifty witnessed an intraday movement of about 95.4 points.The closing index was 0.78 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29490.98
, Traded Quantity (in Lakhs), 15294.33
, Number of Trades, 10883812
, Total Market Capitalisation (Rs. Crores), 14609208.49

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CELESTIAL,EQ,        12.35,                   328358.60,26314
,CENTENKA,EQ,       296.05,                 12544723.50,42186
,CENTEXT,EQ,         6.20,                   723517.45,115215
,CENTRALBK,EQ,        76.20,                 26506450.95,347561
,CENTRUM,EQ,        57.00,                 15357342.50,266425
,CENTUM,EQ,       466.10,                  1333958.65,2907
,CENTURYPLY,EQ,       253.25,                 67581770.50,266762
,CENTURYTEX,EQ,       920.70,                649367056.15,702907
,CERA,EQ,      2881.55,                 20871516.60,7286
,CEREBRAINT,BE,        57.60,                  7813281.35,137048
,CES1RPG,MF,         8.85,                    61710.00,7000
,CESC,EQ,      1010.20,                214214884.70,211662
,CGCL,EQ,        90.00,                  7078031.95,78975
,CGPOWER,EQ,        57.75,                468218158.95,8113084
,CHAMBLFERT,EQ,       164.65,                107938079.85,647149
,CHEMFAB,BE,       147.10,                   791764.20,5400
,CHENNPETRO,EQ,       294.20,                 94482655.45,320406
,CHOLAFIN,EQ,      1578.60,                221627063.45,139937
,CHROMATIC,BE,         1.30,                    24536.10,19074
,CIGNITITEC,BE,       251.90,                   597418.50,2413
,CIMMCO,EQ,        72.85,                  1464823.05,20129
,CINELINE,EQ,        60.80,                  1536156.85,25125
,CINEVISTA,EQ,         7.75,                   107685.30,13509
,CKPLEISURE,SM,        21.40,                    85600.00,4000
,CLEDUCATE,EQ,       178.55,                   144081.10,807
,CLNINDIA,EQ,       447.20,                  5321732.95,11802
,CMICABLES,EQ,       257.25,                 19899447.00,76491
,CMMIPL,SM,        43.00,                  1163100.00,27000
,CNOVAPETRO,EQ,        26.55,                  3374590.45,127502
,COCHINSHIP,EQ,       484.95,                 27845083.85,57428
,COFFEEDAY,EQ,       279.40,                 44802975.90,158828
,COMPINFO,EQ,        37.95,                  1105542.25,28823
,COMPUSOFT,EQ,        12.15,                   605455.30,49982
,CONSOFINVT,EQ,        59.05,                   368145.85,6230
,CONTROLPR,EQ,       395.50,                  2304046.35,5828
,CORALFINAC,EQ,        24.80,                   705893.10,28104
,CORDSCABLE,EQ,        74.15,                   736273.75,10115
,COROMANDEL,EQ,       448.10,                140937166.60,317457
,CORPBANK,EQ,        28.90,                  5803290.80,201529
,COSMOFILMS,EQ,       232.85,                  5528603.00,23639
,COUNCODOS,EQ,         2.60,                    15898.75,6061
,COX&KINGS,EQ,       210.10,                 25288322.85,121263
,CPSEETF,EQ,        27.69,                 11977690.12,433340
,CREATIVEYE,EQ,         3.15,                     7875.00,2500
,CREST,EQ,       178.70,                  1209780.75,6858
,CRISIL,EQ,      1841.15,                 78867070.95,42793
,CROMPTON,EQ,       225.15,                 51005886.20,224136
,CROWN,SM,        82.95,                    82950.00,1000
,CTE,EQ,        53.60,                    81832.30,1533
,CUB,EQ,       188.35,                 62921402.20,332969
,CUBEXTUB,BE,        17.85,                     9871.20,554
,CUPID,EQ,       241.75,                  6280993.15,26147
,CURATECH,BE,         4.35,                        4.35,1
,CYBERTECH,EQ,        54.25,                   552140.25,10298
,CYIENT,EQ,       713.95,                277086696.60,383536
,DAAWAT,EQ,        69.60,                 49932491.15,717266
,DALMIABHA,EQ,      2662.70,                227691992.00,86211
,DALMIASUG,EQ,        61.10,                  3499047.15,57257
,DAMODARIND,EQ,       112.80,                   284392.15,2517
,DATAMATICS,EQ,       106.10,                 12265557.50,116612
,DBCORP,EQ,       259.10,                  9077139.55,34966
,DBL,EQ,       867.15,                431566501.30,504599
,DBREALTY,EQ,        44.25,                 32925624.55,758883
,DBSTOCKBRO,EQ,         8.65,                      294.10,34
,DCAL,EQ,       288.90,                 15262300.50,52945
,DCBBANK,EQ,       182.10,                179962688.65,985688
,DCM,EQ,        87.70,                  3959106.55,46168
