,25-Jun-2018
The Nifty witnessed an intraday movement of about 78 points.The closing index was 0.55 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 24461.16
, Traded Quantity (in Lakhs), 10723.52
, Number of Trades, 9139298
, Total Market Capitalisation (Rs. Crores), 14464042.91

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BOMDYEING,EQ,       222.55,                527506395.15,2343508
,BOROSIL,EQ,       946.35,                 44304221.35,46736
,BPL,EQ,        56.00,                 14341085.35,251147
,BRFL,BE,        24.80,                  1033694.80,42341
,BRIGADE,EQ,       217.25,                  8381248.25,37970
,BRNL,EQ,       172.35,                  2095981.70,12224
,BROOKS,EQ,        90.85,                  7719704.25,84471
,BSE,EQ,       848.85,                 49532126.85,58274
,BSELINFRA,EQ,         3.15,                   143131.80,45810
,BSHSL,SM,       138.50,                  2443200.00,18000
,BSL,EQ,        52.95,                   232274.90,4373
,BSLGOLDETF,EQ,      2855.70,                    39921.10,14
,BSLIMITED,BZ,          .60,                    19801.20,33002
,BSLNIFTY,EQ,       110.97,                     4336.91,39
,BURNPUR,BE,         4.25,                   546486.20,129207
,BUTTERFLY,EQ,       361.15,                  2930702.35,8139
,BVCL,BE,        20.60,                     2199.05,107
,BYKE,EQ,       161.75,                  4251828.25,26072
,CALSOFT,BE,        29.25,                   602790.00,21124
,CAMLINFINE,EQ,        83.95,                 17440973.40,206014
,CANBK,EQ,       249.95,               1074971764.00,4222643
,CANDC,EQ,        43.90,                  3593697.90,81861
,CANFINHOME,EQ,       362.45,                645495750.60,1777563
,CANTABIL,BE,       115.10,                   397248.55,3479
,CAPACITE,EQ,       283.15,                 33210803.40,116482
,CAPF,EQ,       556.80,                215109802.45,383603
,CAPLIPOINT,EQ,       433.50,                 19441988.35,44265
,CAPTRUST,EQ,       384.45,                   884172.15,2301
,CARBORUNIV,EQ,       328.95,                  7566467.15,22900
,CAREERP,EQ,        94.50,                   826615.50,8733
,CARERATING,EQ,      1230.45,                121268753.30,97028
,CASTEXTECH,BE,         2.15,                   347962.25,164960
,CASTROLIND,EQ,       168.50,                 83526160.60,494975
,CCCL,EQ,         3.50,                   258598.40,75564
,CCHHL,EQ,         9.00,                   167870.95,18619
,CCL,EQ,       263.75,                 23260597.20,87259
,CDSL,EQ,       287.60,                 50206162.65,175147
,CEATLTD,EQ,      1306.65,                376056501.85,285980
,CEBBCO,EQ,        13.30,                   691994.55,52507
,CELEBRITY,EQ,        13.15,                   392579.10,29496
,CELESTIAL,EQ,        14.80,                 11153064.95,736166
,CENTENKA,EQ,       283.55,                  6879476.45,24044
,CENTEXT,EQ,         6.10,                   271109.60,44256
,CENTRALBK,EQ,        69.90,                 16239828.75,230803
,CENTRUM,EQ,        58.95,                 20282870.35,340444
,CENTUM,EQ,       433.70,                   443930.95,1019
,CENTURYPLY,EQ,       263.10,                 30470785.25,115426
,CENTURYTEX,EQ,       875.90,                718400173.50,804666
,CERA,EQ,      2859.65,                  8623137.60,3015
,CEREBRAINT,BE,        59.80,                 21246051.35,355660
,CESC,EQ,       954.60,                126751508.85,131612
,CGCL,EQ,        85.80,                   973776.45,11285
,CGPOWER,EQ,        54.45,                351524588.90,6357171
,CHAMBLFERT,EQ,       161.85,                 59551885.90,367791
,CHEMFAB,BE,       178.80,                   388866.75,2168
,CHENNPETRO,EQ,       302.00,                125536023.05,416930
,CHOLAFIN,EQ,      1616.00,                368407798.65,227253
,CHROMATIC,EQ,         1.30,                    51696.90,38725
,CIGNITITEC,EQ,       346.70,                  9383587.15,26989
,CIMMCO,EQ,        66.05,                   201165.95,3011
,CINELINE,EQ,        60.70,                   353604.25,5783
,CINEVISTA,EQ,         6.90,                    29969.70,4488
,CLEDUCATE,EQ,       153.55,                   356892.80,2288
,CLNINDIA,EQ,       424.65,                  3448565.60,8120
,CMICABLES,EQ,       244.10,                  2203121.10,8986
,CMMIPL,SM,        38.00,                   114000.00,3000
,CNOVAPETRO,EQ,        29.10,                   112297.95,3765
,COCHINSHIP,EQ,       446.40,                 89267069.55,198520
,COFFEEDAY,EQ,       284.90,                 10671151.55,37300
,COMPINFO,EQ,        35.35,                  1563673.95,43390
,COMPUSOFT,EQ,        12.10,                   180656.60,15006
,CONSOFINVT,EQ,        58.35,                   409815.85,7023
,CONTROLPR,EQ,       384.50,                  6798347.55,17468
,CORALFINAC,EQ,        23.80,                  3045986.00,127886
,CORDSCABLE,EQ,        75.85,                   573055.45,7438
,COROMANDEL,EQ,       396.60,                 31300902.25,78496
,CORPBANK,EQ,        27.05,                  3260208.20,119865
,COSMOFILMS,EQ,       229.00,                  4518101.50,19809
,COUNCODOS,EQ,         2.70,                    20324.60,7371
,COX&KINGS,EQ,       212.55,                 30541635.70,144960
,CPSEETF,EQ,        25.95,                 32541143.07,1246669
,CREST,EQ,       173.25,                   153928.30,887
,CRISIL,EQ,      1792.10,                  8673055.20,4834
,CRMFGETF,EQ,      2850.00,                     5700.00,2
,CROMPTON,EQ,       228.85,                 52579436.10,231685
,CTE,EQ,        55.10,                   125331.85,2244
,CUB,EQ,       185.35,                 57294761.20,308443
,CUBEXTUB,BE,        16.65,                    29297.25,1729
,CUPID,EQ,       238.70,                  3762511.65,15546
,CURATECH,BE,         4.00,                       20.00,5
,CYBERMEDIA,EQ,         8.50,                    18947.80,2141
,CYBERTECH,EQ,        51.10,                   317346.35,6118
,CYIENT,EQ,       711.50,                203423638.40,287137
,DAAWAT,EQ,        60.80,                 66150795.15,1074666
,DALMIABHA,EQ,      2355.60,                282697808.35,118321
,DALMIASUG,EQ,        56.30,                  1586029.00,27801
,DAMODARIND,EQ,       115.50,                   132923.90,1143
,DATAMATICS,EQ,       104.90,                  5336598.40,50458
,DBCORP,EQ,       245.65,                 63253338.75,254764
,DBL,EQ,       815.20,                106199015.40,129475
,DBREALTY,EQ,        40.20,                  5373315.00,133580
,DCAL,EQ,       277.60,                 22204242.90,79330
,DCBBANK,EQ,       175.05,                 84645351.50,482611
,DCM,EQ,        86.10,                   571069.25,6565
,DCMFINSERV,EQ,         2.40,                      424.80,177
,DCMSHRIRAM,EQ,       288.15,                 58156274.25,199904
,DCW,EQ,        25.55,                  9809651.25,383673
,DECCANCE,EQ,       405.95,                   349794.50,858
,DEEPAKFERT,EQ,       267.60,                 51570294.75,191033
,DEEPAKNTR,EQ,       249.60,                 32695777.40,129370
,DEEPIND,EQ,        84.65,                 10827863.95,124776
,DELTACORP,EQ,       240.15,                305871173.60,1262886
,DEN,EQ,        87.30,                  9064961.10,103102
,DENABANK,EQ,        16.15,                 12998708.35,799819
,DENORA,EQ,       288.00,                   770394.00,2672
,DFMFOODS,EQ,      1222.50,                   444476.90,362
,DHAMPURSUG,EQ,        85.45,                 20283938.75,236063
,DHANBANK,EQ,        18.95,                  2321607.25,121975
,DHANUKA,EQ,       570.30,                  2751338.55,4802
