,11-Jun-2018
The Nifty witnessed an intraday movement of about 73.5 points.The closing index was 0.18 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26706.03
, Traded Quantity (in Lakhs), 12553.7
, Number of Trades, 10405096
, Total Market Capitalisation (Rs. Crores), 14702297.59

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,COX&KINGS,EQ,       220.15,                 41884765.90,190305
,CPSEETF,EQ,        27.61,                 12372457.03,445454
,CREATIVEYE,EQ,         3.45,                     1035.00,300
,CREST,EQ,       179.20,                  9767204.65,54711
,CRISIL,EQ,      1768.35,                 49253902.60,27511
,CRMFGETF,EQ,      2910.00,                   136695.00,47
,CROMPTON,EQ,       234.15,                 89573924.15,385749
,CROWN,SM,        82.75,                   165500.00,2000
,CTE,EQ,        51.75,                   401515.90,7743
,CUB,EQ,       185.45,                 30210426.95,162159
,CUBEXTUB,BE,        18.00,                    10091.40,555
,CUPID,EQ,       242.75,                  5739918.15,23613
,CYBERMEDIA,EQ,         9.00,                     9855.00,1095
,CYBERTECH,EQ,        54.60,                   849705.40,15616
,CYIENT,EQ,       743.25,                372664306.10,503216
,DAAWAT,EQ,        69.90,                 53943712.55,759257
,DALMIABHA,EQ,      2591.20,                437787181.30,168698
,DALMIASUG,EQ,        64.85,                  7116743.85,110116
,DAMODARIND,EQ,       116.65,                   208284.05,1802
,DATAMATICS,EQ,       107.20,                  5094681.85,47553
,DBCORP,EQ,       259.90,                 68870858.95,263950
,DBL,EQ,       840.40,                245549259.50,289436
,DBREALTY,EQ,        42.60,                 19038502.35,443681
,DCAL,EQ,       296.85,                 20611519.45,68514
,DCBBANK,EQ,       178.65,                184940904.10,1019464
,DCM,EQ,        85.45,                  2106065.00,24392
,DCMFINSERV,BE,         2.50,                     1205.00,501
,DCMSHRIRAM,EQ,       271.50,                 50327178.80,184135
,DCW,EQ,        26.75,                 17245021.35,638360
,DECCANCE,EQ,       431.75,                   506597.10,1177
,DEEPAKFERT,EQ,       299.10,                 43411464.35,143728
,DEEPAKNTR,EQ,       242.25,                 17661801.60,72699
,DEEPIND,EQ,        99.95,                  7056344.70,69785
,DELTACORP,EQ,       225.80,                480671500.95,2097695
,DELTAMAGNT,EQ,        59.20,                     1306.35,21
