,11-Apr-2019
The Nifty witnessed an intraday movement of about 56.15 points.The closing index was 0.11 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28728.04
, Traded Quantity (in Lakhs), 14681.65
, Number of Trades, 10204274
, Total Market Capitalisation (Rs. Crores), 14944784.65

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BEML,EQ,       970.50,                787280665.60,809780
,BEPL,EQ,        73.85,                 37142013.80,501604
,BERGEPAINT,EQ,       321.10,                236353113.60,735774
,BETA,SM,       100.30,                   407520.00,4000
,BFINVEST,EQ,       262.30,                 16706177.70,63872
,BFUTILITIE,EQ,       213.20,                100905100.85,472305
,BGLOBAL,BE,         2.35,                     3288.50,1370
,BGRENERGY,EQ,        62.10,                  6348192.40,103015
,BHAGERIA,EQ,       272.80,                   288857.15,1056
,BHAGYANGR,EQ,        31.60,                    85765.75,2723
,BHAGYAPROP,EQ,        29.55,                    64397.65,2145
,BHANDARI,EQ,         1.95,                    82102.30,41384
,BHARATFIN,EQ,      1099.50,                262150375.25,238811
,BHARATFORG,EQ,       496.30,                443079265.55,889507
,BHARATGEAR,EQ,       152.00,                  1527686.95,10002
,BHARATRAS,EQ,      4491.70,                  4421918.05,978
,BHARATWIRE,EQ,        55.45,                   153478.10,2763
,BIGBLOC,EQ,        35.50,                   997599.05,27250
,BIL,EQ,       275.05,                  4001417.30,14376
,BILENERGY,BE,         4.85,                   129907.25,26785
,BINANIIND,BE,        35.95,                   289866.40,8004
,BINDALAGRO,EQ,        15.20,                   126760.60,8308
,BIOFILCHEM,BE,         7.25,                     2746.00,380
,BIRLACABLE,EQ,       143.30,                  5666521.20,39266
,BIRLACORPN,EQ,       510.05,                 31420871.70,61900
,BIRLAMONEY,EQ,        52.80,                  5977050.75,112282
,BKMINDST,BE,         4.85,                     5629.45,1151
,BLBLIMITED,EQ,         4.80,                     6067.90,1229
,BLISSGVS,EQ,       176.85,                126116523.35,711599
,BLKASHYAP,EQ,        19.10,                  1121865.40,57996
,BLS,EQ,       130.65,                  8941428.15,67395
,BLUEBLENDS,EQ,         3.60,                      180.45,50
,BLUECOAST,EQ,        36.00,                    17608.30,482
,BLUEDART,EQ,      3250.70,                  5341071.35,1632
,BLUEDART,N3,        10.08,                   106850.00,10600
,BLUESTARCO,EQ,       686.25,                 16933710.95,24592
,BODALCHEM,EQ,       118.95,                  5559342.80,46426
,BOHRA,SM,         9.90,                  1346400.00,136000
,BOMDYEING,EQ,       135.25,                115562538.65,853208
,BOROSIL,EQ,       214.30,                  3580669.70,16705
,BPL,EQ,        26.30,                  1721397.85,65258
,BRFL,EQ,         9.20,                   377400.05,41177
,BRIGADE,EQ,       243.65,                 11917176.30,48264
,BRIGHT,SM,        24.00,                   288000.00,12000
,BRNL,EQ,       117.25,                  2256717.50,19102
,BROOKS,EQ,        53.50,                  1545099.30,28602
,BSE,EQ,       625.45,                 60989968.65,97471
,BSELINFRA,EQ,         2.00,                   203605.20,100794
,BSHSL,SM,       126.90,                   126900.00,1000
,BSL,EQ,        42.50,                   131142.10,3069
,BSLGOLDETF,EQ,      2960.00,                    53138.00,18
,BSLNIFTY,EQ,       121.07,                     4230.21,35
,BSOFT,EQ,        99.25,                 73889744.35,752210
,BURNPUR,BE,         3.05,                    99265.85,32819
,BUTTERFLY,EQ,       187.90,                  4382593.80,23226
,BVCL,BE,        17.00,                    31853.50,1910
,BYKE,EQ,        28.60,                  2433412.05,85522
,CADSYS,SM,        48.40,                  1074000.00,22000
,CALSOFT,EQ,        23.90,                   427009.30,18153
,CAMLINFINE,EQ,        47.90,                  4904270.50,102128
,CANBK,EQ,       280.60,               1295131167.85,4619971
,CANDC,BZ,         9.80,                   302821.65,30472
,CANFINHOME,EQ,       349.60,                278391672.65,799829
,CANTABIL,EQ,       266.75,                  8852779.00,32885
,CAPACITE,EQ,       233.05,                 11240107.05,48061
,CAPLIPOINT,EQ,       391.30,                 17701686.90,45517
,CAPTRUST,EQ,       207.95,                   185053.75,892
,CARBORUNIV,EQ,       379.85,                  4778738.15,12622
,CAREERP,EQ,        72.15,                   122227.40,1697
,CARERATING,EQ,       989.85,                 21667994.50,21890
,CASTEXTECH,EQ,          .95,                   197768.90,210161
,CASTROLIND,EQ,       165.80,                100152623.50,604805
,CCHHL,EQ,         6.40,                    52155.10,8146
,CCL,EQ,       273.05,                 17131676.20,62313
,CDSL,EQ,       232.20,                 31630172.85,135806
,CEATLTD,EQ,      1091.20,                758443130.50,700260
,CEBBCO,EQ,        19.10,                   201937.40,10481
,CELEBRITY,EQ,         8.50,                    68847.70,8003
,CELESTIAL,EQ,         5.75,                   197637.55,34374
,CENTENKA,EQ,       239.45,                  1153730.70,4817
,CENTEXT,EQ,         5.85,                   306015.30,52613
,CENTRALBK,EQ,        34.45,                 13140910.50,381535
,CENTRUM,EQ,        33.75,                  6784053.85,199978
,CENTUM,EQ,       464.10,                   616096.80,1319
,CENTURYPLY,EQ,       188.25,                 53734052.05,283385
,CENTURYTEX,EQ,       906.90,                553501587.25,617764
,CERA,EQ,      2746.50,                 22682610.85,8145
,CEREBRAINT,EQ,        27.20,                  2319627.85,85293
,CESC,EQ,       715.65,                248514883.80,345976
,CESCVENT,EQ,       604.00,                  8219719.80,13593
,CGCL,EQ,       184.65,                127833175.50,705716
,CGPOWER,EQ,        39.85,                447068995.60,11516454
,CHALET,EQ,       323.20,                  3477854.55,10705
,CHAMBLFERT,EQ,       169.00,                 70603732.65,417462
,CHEMFAB,EQ,       146.35,                   630128.10,4309
,CHENNPETRO,EQ,       256.25,                 40720432.00,159423
,CHOLAFIN,EQ,      1493.90,                384174409.95,257961
,CHOLAHLDNG,EQ,       484.55,                  3802451.65,7874
,CHROMATIC,EQ,         1.05,                    85960.10,82367
,CIGNITITEC,EQ,       394.25,                 12897234.40,32955
,CIMMCO,EQ,        33.70,                   246552.80,7314
,CINELINE,EQ,        43.70,                  1389366.45,31957
,CINEVISTA,BE,         5.75,                    12962.50,2250
,CKFSL,BE,        66.50,                  1475463.50,22149
,CLEDUCATE,EQ,       123.10,                    57742.00,469
,CLNINDIA,EQ,       345.65,                  2002940.40,5788
,CMICABLES,EQ,       137.10,                  2603184.40,18933
,CNOVAPETRO,EQ,        17.05,                    14591.40,860
,COCHINSHIP,EQ,       393.30,                 20376012.40,51506
,COFFEEDAY,EQ,       273.85,                 18081056.65,66026
,COMPINFO,EQ,        17.65,                   287192.50,16303
,COMPUSOFT,EQ,         9.30,                    40082.65,4347
,CONSOFINVT,EQ,        45.00,                    29938.50,664
,CONTROLPR,EQ,       267.50,                   831752.30,3110
,CORALFINAC,EQ,        17.35,                    80447.55,4705
,CORDSCABLE,EQ,        64.85,                   515925.45,7964
,COROMANDEL,EQ,       435.05,                 79464562.55,182964
,CORPBANK,EQ,        28.10,                  4839001.45,172244
,COSMOFILMS,EQ,       195.90,                  1886517.15,9656
,COUNCODOS,EQ,         2.25,                    11527.95,5106
,COX&KINGS,EQ,       135.40,                 31491545.95,230258
,CPSEETF,EQ,        27.12,                334931851.90,12353748
,CREATIVEYE,EQ,         2.25,                      665.00,300
,CREDITACC,EQ,       535.55,                 50759696.80,94114
,CREST,EQ,       131.65,                    76943.65,584
,CRISIL,EQ,      1522.50,                 28567662.65,18864
,CRMFGETF,EQ,      2985.00,                     8915.00,3
,CROMPTON,EQ,       234.65,                228689533.10,984911
,CTE,EQ,        43.45,                    65969.15,1517
,CUB,EQ,       197.70,                 80569217.15,406281
