,08-Apr-2019
The Nifty witnessed an intraday movement of about 161.2 points.The closing index was 0.53 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31113.43
, Traded Quantity (in Lakhs), 16364.05
, Number of Trades, 11135117
, Total Market Capitalisation (Rs. Crores), 14932147.87

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CORDSCABLE,EQ,        65.05,                   985987.55,15056
,COROMANDEL,EQ,       457.40,                 30730053.40,66695
,CORPBANK,EQ,        28.35,                 11563821.60,404848
,COSMOFILMS,EQ,       196.85,                  1509271.65,7575
,COUNCODOS,EQ,         2.35,                    19365.20,8404
,COX&KINGS,EQ,       140.00,                 22270695.15,159703
,CPSEETF,EQ,        26.74,                403893921.58,14972562
,CREATIVEYE,EQ,         2.35,                    24528.20,10012
,CREDITACC,EQ,       536.70,                 83819204.75,154701
,CREST,EQ,       130.00,                  3536739.65,27223
,CRISIL,EQ,      1466.90,                 16728627.30,11433
,CRMFGETF,EQ,      3000.00,                    12649.00,4
,CROMPTON,EQ,       226.85,                139106836.45,612318
,CTE,EQ,        45.00,                   358402.55,7910
,CUB,EQ,       199.95,                107957954.25,539063
,CUBEXTUB,EQ,        14.80,                       59.30,4
,CUMMINSIND,EQ,       709.45,                328827476.35,458895
,CUPID,EQ,       139.20,                  1453909.20,10411
,CYBERMEDIA,EQ,         4.85,                    10306.25,2125
,CYBERTECH,EQ,        44.80,                   181440.60,4047
,CYIENT,EQ,       603.75,                182488079.10,302329
,DAAWAT,EQ,        37.35,                 13654826.90,364625
,DALBHARAT,EQ,      1089.20,                 83893649.30,75830
,DALMIASUG,EQ,       114.75,                 30826017.50,264962
,DAMODARIND,EQ,        42.45,                   253370.55,5987
,DANGEE,SM,       183.05,                   146440.00,800
,DATAMATICS,EQ,       103.00,                  4155149.80,40057
,DBCORP,EQ,       197.15,                 12691064.30,64684
,DBL,EQ,       618.75,                106290387.30,170971
