,25-Apr-2019
The Nifty witnessed an intraday movement of about 172.45 points.The closing index was 0.72 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 45084.45
, Traded Quantity (in Lakhs), 18758.32
, Number of Trades, 11724762
, Total Market Capitalisation (Rs. Crores), 15026846.11

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BAJAJCON,EQ,       330.95,                 13220338.70,39858
,BAJAJELEC,EQ,       568.90,                 67881150.10,119404
,BAJAJHIND,EQ,         8.85,                 31081847.50,3513411
,BALAJITELE,EQ,        78.00,                  2067228.45,26835
,BALAMINES,EQ,       451.75,                 18837173.75,41053
,BALAXI,BE,        86.40,                    36374.40,421
,BALKRISHNA,EQ,        36.70,                    62157.25,1672
,BALKRISIND,EQ,       935.70,                328670838.55,344961
,BALLARPUR,EQ,         2.65,                  2939574.35,1116238
,BALMLAWRIE,EQ,       175.70,                  4442474.30,25223
,BALPHARMA,EQ,        70.25,                   262011.70,3707
,BALRAMCHIN,EQ,       145.90,                449063441.65,3051308
,BANARBEADS,EQ,        44.45,                   332192.20,7334
,BANARISUG,EQ,      1423.65,                  1844053.70,1272
,BANCOINDIA,EQ,       152.05,                  2685804.25,17550
,BANG,EQ,        40.35,                   821280.65,20672
,BANKBEES,EQ,      3022.48,                  1852646.80,611
,BANKINDIA,EQ,        91.90,                610162606.50,6583138
,BANSAL,SM,         7.50,                     7500.00,1000
,BANSWRAS,EQ,        68.45,                     7120.55,102
,BARTRONICS,EQ,         6.35,                    59416.15,9411
,BASF,EQ,      1351.95,                  7586017.35,5574
,BASML,EQ,       185.00,                   148833.80,804
,BATAINDIA,EQ,      1465.85,                803060119.30,547790
,BAYERCROP,EQ,      4187.90,                 35067818.20,8408
,BBL,EQ,      1084.65,                  3666000.55,3352
,BBTC,EQ,      1287.10,                 26055205.80,20223
,BCG,BE,         6.15,                   538549.35,87569
,BCONCEPTS,SM,        63.00,                   189000.00,3000
,BDL,EQ,       284.75,                  6422351.80,22330
,BEARDSELL,EQ,        15.40,                    47955.05,3056
,BEDMUTHA,EQ,        18.35,                  1397767.65,73915
,BEL,EQ,        87.05,               1428200965.95,16272717
,BEML,EQ,       904.30,               1231140686.90,1346654
,BEPL,EQ,        72.30,                 39679742.55,540425
,BERGEPAINT,EQ,       323.10,                 96450192.65,298683
,BFINVEST,EQ,       230.70,                  9413689.45,40024
,BFUTILITIE,EQ,       192.75,                 86143671.65,440941
,BGLOBAL,BE,         2.50,                    15452.15,6317
,BGRENERGY,EQ,        58.55,                  2683234.40,45618
,BHAGERIA,EQ,       267.95,                  4164196.65,15571
,BHAGYANGR,EQ,        31.10,                    68067.80,2206
,BHAGYAPROP,EQ,        28.75,                    72775.45,2528
,BHANDARI,EQ,         1.90,                   202056.10,105435
,BHARATFIN,EQ,      1044.55,               1227408935.30,1159141
,BHARATFORG,EQ,       480.55,                604663344.10,1255289
,BHARATGEAR,EQ,       146.35,                  1427494.65,9680
,BHARATRAS,EQ,      4295.80,                  4016036.20,933
,BHARATWIRE,EQ,        51.25,                   606550.50,11764
,BIGBLOC,EQ,        32.55,                    11519.55,338
,BIL,EQ,       250.55,                   193842.50,776
,BILENERGY,BE,         4.75,                   102001.50,21474
,BINANIIND,BE,        36.10,                   136345.90,3794
,BINDALAGRO,EQ,        14.05,                   261971.15,18555
,BIOFILCHEM,BE,         7.45,                     9598.25,1290
,BIRLACABLE,EQ,       137.30,                  5099919.50,36799
,BIRLACORPN,EQ,       504.40,                111371531.15,215917
,BIRLAMONEY,EQ,        51.35,                  9855383.55,189147
,BKMINDST,BE,         4.80,                    24874.55,5446
,BLBLIMITED,EQ,         5.00,                    11559.45,2328
,BLISSGVS,EQ,       169.45,                167109535.35,976569
,BLKASHYAP,EQ,        19.50,                  2736479.30,142555
,BLS,EQ,       131.75,                  6219875.55,46735
,BLUEBLENDS,EQ,         3.20,                     2427.50,775
,BLUECOAST,EQ,        25.30,                    57323.20,2250
,BLUEDART,EQ,      3124.10,                  6015358.15,1912
,BLUEDART,N3,        10.09,                    12654.50,1250
,BLUESTARCO,EQ,       652.10,                  8196000.25,12562
,BODALCHEM,EQ,       120.10,                 11348668.35,94721
,BOHRA,SM,        14.35,                   200900.00,14000
,BOMDYEING,EQ,       126.90,                175347476.35,1381813
,BOROSIL,EQ,       208.65,                 11058411.20,52664
,BPL,EQ,        23.55,                  1822035.15,76553
,BRFL,EQ,         8.45,                   590746.70,67822
,BRIGADE,EQ,       230.60,                  6425711.25,27651
,BRIGHT,SM,        24.35,                  1606800.00,66000
,BRNL,EQ,       100.85,                  1191700.60,11722
,BROOKS,EQ,        55.05,                  1596041.20,28928
