,05-Apr-2018
The Nifty witnessed an intraday movement of about 104.35 points.The closing index was 1.94 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30418.5
, Traded Quantity (in Lakhs), 16252.93
, Number of Trades, 9755809
, Total Market Capitalisation (Rs. Crores), 14492838.07

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ASPINWALL,EQ,       394.05,                   440225.15,1104
,ASSAMCO,EQ,         4.75,                   877204.55,184508
,ASTEC,EQ,       618.05,                 17016091.00,27442
,ASTERDM,EQ,       173.95,                 50456695.10,291817
,ASTRAL,EQ,       913.85,                 52475793.75,57420
,ASTRAMICRO,EQ,        78.75,                 23733244.55,303895
,ASTRAZEN,EQ,       957.30,                  1385805.15,1449
,ASTRON,EQ,       123.85,                 51526725.90,422540
,ATFL,EQ,       649.95,                 40507482.90,62321
,ATLANTA,EQ,        81.85,                  5296742.95,64728
,ATLASCYCLE,BE,       172.10,                   607920.70,3558
,ATUL,EQ,      2796.40,                 17839784.95,6437
,ATULAUTO,EQ,       449.35,                 30236603.15,67404
,AUBANK,EQ,       652.85,                131676916.65,203016
,AURIONPRO,EQ,       232.95,                 27807129.80,119776
,AUSOMENT,EQ,        70.15,                   713039.65,10090
,AUTOAXLES,EQ,      1580.50,                 14608597.70,9173
,AUTOIND,EQ,        73.85,                  1135742.15,15454
,AUTOLITIND,EQ,        71.70,                  1189698.65,16956
,AVADHSUGAR,EQ,       441.05,                 60153986.65,139985
,AVANTIFEED,EQ,      2290.35,                132340945.05,57594
,AVTNPL,EQ,        39.40,                  4124175.95,103808
,AXISCADES,EQ,       152.25,                  7275326.75,47622
,AXISGOLD,EQ,      2726.00,                  2777311.75,1027
,AXISNIFTY,EQ,      1031.14,                    26809.64,26
,AYMSYNTEX,EQ,        61.65,                   700196.20,11306
,BAFNAPHARM,EQ,        28.60,                   482375.65,16985
,BAGFILMS,EQ,         5.10,                   458263.85,90383
,BAJAJCORP,EQ,       463.10,                  4471791.15,9647
,BAJAJELEC,EQ,       618.15,                474431724.45,764069
,BAJAJHIND,EQ,         9.50,                 48759109.55,5138095
,BAJAJHLDNG,EQ,      2624.50,                 79520915.55,30267
,BALAJITELE,EQ,       133.55,                  8736201.25,65897
,BALAMINES,EQ,       604.30,                 18194426.40,29966
,BALKRISHNA,EQ,        84.55,                  2260718.25,26913
,BALKRISIND,EQ,      1177.95,               1004389741.35,844692
,BALLARPUR,EQ,        13.95,                 20766089.15,1506933
,BALMLAWRIE,EQ,       223.85,                 12717072.55,56983
,BALPHARMA,EQ,        83.60,                  1110692.25,13351
,BALRAMCHIN,EQ,        76.05,                420558112.50,5442369
,BANARBEADS,EQ,        63.25,                    27289.10,437
,BANARISUG,EQ,      1802.45,                   664730.85,370
,BANCOINDIA,EQ,       223.60,                  8333258.00,37321
,BANDHANBNK,EQ,       509.20,               4122179045.25,8163440
,BANG,EQ,        32.50,                   292914.75,8915
,BANKBEES,EQ,      2508.04,                  9182003.18,3694
,BANKINDIA,EQ,       111.10,               1433050291.85,13193553
,BANSAL,SM,        95.10,                  2194800.00,23000
,BANSWRAS,EQ,       102.70,                   286698.50,2785
,BARTRONICS,EQ,        10.65,                   438602.95,41122
,BASF,EQ,      2022.40,                 29151019.00,14445
,BASML,EQ,       246.25,                   383573.45,1547
,BATAINDIA,EQ,       767.35,                690201247.65,904857
,BAYERCROP,EQ,      4478.45,                 31564908.20,7067
,BBL,EQ,      1584.10,                 14742876.20,9293
,BBTC,EQ,      1257.60,                190278766.05,151629
,BDL,EQ,       388.90,                 27272585.25,69668
,BEARDSELL,EQ,        52.70,                    70111.55,1374
,BEDMUTHA,EQ,        19.30,                   199704.65,10216
,BEML,EQ,      1116.85,                523302025.30,470283
,BEPL,EQ,       201.25,                376044753.60,1875565
,BERGEPAINT,EQ,       260.90,                 54572270.55,209701
,BETA,SM,       131.10,                  2106800.00,16000
,BFINVEST,EQ,       290.45,                 24072515.85,82738
,BFUTILITIE,EQ,       404.50,                121699902.10,301893
,BGLOBAL,BE,         4.75,                    14487.00,3117
,BGRENERGY,EQ,       106.45,                  4380655.65,41179
,BHAGERIA,EQ,       299.65,                  5340565.10,17988
,BHAGYANGR,EQ,        45.25,                  4252776.20,93139
,BHAGYAPROP,EQ,        20.20,                    36719.75,1862
,BHANDARI,EQ,         3.15,                   592699.45,191120
,BHARATFIN,EQ,      1127.80,                426473681.20,380392
,BHARATFORG,EQ,       726.90,                987076239.55,1357694
,BHARATGEAR,EQ,       186.80,                  4446374.75,23552
,BHARATIDIL,BZ,         5.10,                    62677.55,12247
,BHARATIWIN,EQ,        35.51,                 11279483.79,318879
,BHARATRAS,EQ,      4580.60,                  2079257.65,450
,BHARATWIRE,EQ,       121.25,                 21773841.10,180748
,BHUSANSTL,EQ,        45.05,                126087935.75,2811156
,BIGBLOC,EQ,       182.75,                 32663242.65,181012
,BIL,EQ,       406.00,                  1161492.95,2833
,BILENERGY,EQ,          .70,                   585000.15,884302
,BILPOWER,EQ,         1.50,                      150.00,100
,BINANIIND,EQ,       100.95,                  1729461.85,17132
,BINDALAGRO,EQ,        29.45,                  3977589.25,134832
,BIOCON,EQ,       607.65,                615869177.55,1016285
,BIOFILCHEM,BE,        14.80,                     2353.20,159
,BIRLACABLE,EQ,        70.40,                  5158593.45,73593
,BIRLACORPN,EQ,       790.35,                 44740698.90,56728
,BIRLAMONEY,EQ,        82.90,                242643652.00,2806285
,BKMINDST,EQ,        31.35,                   545677.40,17438
,BLBLIMITED,EQ,         5.25,                     5092.50,970
,BLISSGVS,EQ,       202.25,                 37801836.15,185911
,BLKASHYAP,EQ,        44.70,                  7947341.95,177520
,BLS,EQ,       137.90,                 29986310.30,217194
,BLUEBLENDS,EQ,        19.55,                   158317.40,8188
,BLUECHIP,BE,          .05,                       55.00,1100
,BLUEDART,EQ,      3755.85,                 53163790.10,14158
,BLUESTARCO,EQ,       798.10,                 35271797.85,44447
,BODALCHEM,EQ,       139.65,                 37958671.85,271278
,BOHRA,SM,        35.00,                   270800.00,8000
,BOMDYEING,EQ,       251.55,                452956064.50,1801239
,BPL,EQ,        81.60,                 33272684.80,407473
,BRFL,EQ,        38.15,                  9684672.15,252742
,BRIGADE,EQ,       259.25,                 19102877.60,72746
,BRNL,EQ,       182.35,                   671250.15,3662
,BROOKS,EQ,        87.80,                  1593841.85,18101
,BSE,EQ,       808.95,                 92035911.90,113736
,BSELINFRA,EQ,         4.15,                   232409.20,56483
,BSL,EQ,        63.95,                   594954.50,9358
,BSLGOLDETF,EQ,      2827.00,                    45719.75,16
