,09-Apr-2018
The Nifty witnessed an intraday movement of about 69.2 points.The closing index was 0.46 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27875.82
, Traded Quantity (in Lakhs), 13825.77
, Number of Trades, 10059195
, Total Market Capitalisation (Rs. Crores), 14591750.14

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BHAGYAPROP,EQ,        21.05,                    19551.80,949
,BHANDARI,EQ,         3.35,                  1351663.70,400907
,BHARATFIN,EQ,      1152.05,               1075404700.20,935700
,BHARATFORG,EQ,       723.80,                735322220.40,1014093
,BHARATGEAR,EQ,       186.50,                  3622675.85,19282
,BHARATIDIL,BZ,         5.15,                    13666.95,2611
,BHARATIWIN,EQ,        35.87,                 10069811.79,281217
,BHARATRAS,EQ,      4625.20,                 12550454.50,2663
,BHARATWIRE,EQ,       117.15,                  8795326.50,73958
,BHUSANSTL,EQ,        45.15,                102351577.70,2273489
,BIGBLOC,EQ,       183.20,                  6613344.30,35634
,BIL,EQ,       397.00,                  2465432.30,6146
,BILENERGY,EQ,          .70,                   197928.85,276531
,BINANIIND,EQ,       105.75,                 41406549.85,389188
,BINDALAGRO,EQ,        29.60,                  3886789.85,129790
,BIOCON,EQ,       619.55,               1916599767.85,3090582
,BIOFILCHEM,BE,        14.50,                     9278.30,666
,BIRLACABLE,EQ,        80.45,                 12256166.95,152024
,BIRLACORPN,EQ,       789.45,                 33348583.60,41968
,BIRLAMONEY,EQ,        79.75,                 26014270.30,322635
,BKMINDST,EQ,        32.15,                   614455.35,19297
,BLBLIMITED,EQ,         6.30,                     7478.10,1187
,BLISSGVS,EQ,       203.25,                 43358190.00,212125
,BLKASHYAP,EQ,        48.25,                 12890866.95,270267
,BLS,EQ,       140.45,                 27040901.75,191360
,BLUEBLENDS,EQ,        20.85,                   288493.35,13775
,BLUECHIP,BE,          .05,                      250.00,5000
,BLUEDART,EQ,      3730.30,                 22868764.20,6133
,BLUESTARCO,EQ,       791.70,                 26135283.10,32851
,BODALCHEM,EQ,       137.35,                 31425617.85,225526
,BOHRA,SM,        35.90,                   653700.00,18000
,BOMDYEING,EQ,       262.00,               1702378260.30,6552242
,BPL,EQ,        81.35,                 30200100.10,369324
,BRFL,EQ,        38.55,                  4023505.40,104311
,BRIGADE,EQ,       260.95,                  8846250.60,33662
,BRNL,EQ,       188.95,                  2416746.95,12888
,BROOKS,EQ,        85.80,                  2120638.65,24572
,BSE,EQ,       817.40,                113812312.50,139490
,BSELINFRA,EQ,         4.40,                  1196870.60,277103
,BSL,EQ,        70.50,                  2298269.80,32536
,BSLGOLDETF,EQ,      2852.25,                   131487.30,46
,BSLIMITED,BZ,         1.10,                   408758.55,392398
,BSLNIFTY,EQ,       110.00,                    23903.06,217
,BURNPUR,EQ,         9.65,                  5374779.50,548904
,BUTTERFLY,EQ,       520.20,                 10184669.55,19484
,BVCL,BE,        28.60,                   193280.80,6730
,BYKE,EQ,       190.35,                  4503526.15,23617
,CADSYS,SM,        90.00,                   180000.00,2000
,CALSOFT,EQ,        36.40,                   549446.70,15431
,CAMLINFINE,EQ,       109.30,                 37071085.20,338214
,CANBK,EQ,       285.85,               3301138005.65,11519569
,CANDC,EQ,        57.40,                  6536187.75,115736
,CANFINHOME,EQ,       452.10,                562695134.55,1235904
,CANTABIL,EQ,       147.35,                 31200098.30,211333
,CAPACITE,EQ,       340.80,                 48813452.45,143955
,CAPF,EQ,       665.10,                915774284.55,1364656
,CAPLIPOINT,EQ,       605.25,                  7796367.60,12946
,CAPTRUST,EQ,       411.85,                   619481.90,1506
,CARBORUNIV,EQ,       363.55,                 12025957.05,32872
,CAREERP,EQ,       117.45,                  3838224.40,32133
