,30-Apr-2018
The Nifty witnessed an intraday movement of about 54.4 points.The closing index was 0.44 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28571.39
, Traded Quantity (in Lakhs), 12300.88
, Number of Trades, 9921677
, Total Market Capitalisation (Rs. Crores), 15092002.34

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BAJAJHIND,EQ,         8.75,                 23914533.75,2754589
,BAJAJHLDNG,EQ,      2705.65,                 29058720.35,10759
,BALAJITELE,EQ,       131.15,                 10090913.80,76669
,BALAMINES,EQ,       713.60,                 20965822.45,29299
,BALKRISHNA,EQ,        81.20,                  1201931.55,14808
,BALKRISIND,EQ,      1275.20,                370685318.40,290110
,BALLARPUR,EQ,        13.25,                 11013632.60,821074
,BALMLAWRIE,EQ,       220.25,                 13563649.05,61355
,BALPHARMA,EQ,        86.00,                   731139.70,8517
,BALRAMCHIN,EQ,        70.00,                467210572.20,6773403
,BANARBEADS,EQ,        59.20,                    86111.50,1467
,BANARISUG,EQ,      1679.95,                   575524.75,340
,BANCOINDIA,EQ,       231.95,                  5227151.65,22472
,BANDHANBNK,EQ,       513.45,                746676194.00,1461600
,BANG,EQ,        36.10,                    43223.20,1196
,BANKA,SM,        87.00,                   104400.00,1200
,BANKBEES,EQ,      2598.27,                 59565525.81,22927
,BANKINDIA,EQ,       104.05,                634658918.25,6106253
,BANSAL,SM,       120.50,                  1926750.00,16000
,BANSWRAS,EQ,       111.10,                   348208.60,3122
,BARTRONICS,EQ,        16.50,                  5442981.45,330279
,BASF,EQ,      2137.05,                 34632014.80,16279
,BASML,EQ,       236.75,                   401484.55,1683
,BATAINDIA,EQ,       802.60,               1134976258.20,1405436
,BAYERCROP,EQ,      4706.30,                 23178193.45,4942
,BBL,EQ,      1737.30,                134757460.65,77897
,BBTC,EQ,      1626.95,                810757658.40,503599
,BCONCEPTS,SM,        52.00,                   156000.00,3000
,BDL,EQ,       402.35,                 28134619.15,69904
,BEARDSELL,EQ,        52.00,                    11699.00,222
,BEDMUTHA,EQ,        23.05,                   414286.20,17909
,BEML,EQ,      1066.25,                189977081.05,178542
,BEPL,EQ,       191.05,                188378929.55,978856
,BERGEPAINT,EQ,       286.60,                286106586.40,1004570
,BETA,SM,       125.10,                   819520.00,6400
,BFINVEST,EQ,       364.50,                356369022.75,999871
,BFUTILITIE,EQ,       437.25,                498286464.90,1151570
,BGLOBAL,BE,         4.95,                    40588.70,7727
,BGRENERGY,EQ,       108.25,                  3940880.00,36280
,BHAGERIA,EQ,       321.30,                 17979083.20,54593
,BHAGYANGR,EQ,        47.00,                  2065029.45,43587
,BHAGYAPROP,EQ,        27.10,                 16253326.65,588378
,BHANDARI,EQ,         2.75,                   686053.20,251064
,BHARATFIN,EQ,      1164.30,                873495232.05,750301
,BHARATFORG,EQ,       774.70,                362981867.95,471151
,BHARATGEAR,EQ,       182.40,                  1563388.70,8531
,BHARATIDIL,BZ,         5.10,                    84066.75,16762
,BHARATRAS,EQ,      5918.50,                 21223584.35,3646
,BHARATWIRE,EQ,       133.85,                 51781538.60,391852
,BHUSANSTL,EQ,        21.60,                147161524.10,6690346
,BIGBLOC,EQ,       171.45,                  7199940.20,42425
,BIL,EQ,       410.70,                  1768433.10,4326
,BILENERGY,BE,          .65,                    91541.15,146240
,BILPOWER,EQ,         1.45,                       29.00,20
,BINANIIND,EQ,        85.70,                  5982297.20,68648
,BINDALAGRO,EQ,        28.30,                   514470.85,18238
,BIOCON,EQ,       667.60,               1649856415.65,2467770
,BIOFILCHEM,BE,        14.90,                     3818.60,263
,BIRLACABLE,EQ,        84.65,                  3641613.00,42863
,BIRLACORPN,EQ,       764.15,                 25327961.60,33245
,BIRLAMONEY,BE,        72.40,                  7190857.35,95949
,BKMINDST,EQ,        28.95,                    56021.35,1951
,BLBLIMITED,EQ,         8.35,                    29358.80,3568
,BLISSGVS,EQ,       198.35,                 56508212.40,282772
,BLKASHYAP,EQ,        50.40,                 15192508.75,302326
,BLS,EQ,       148.10,                 11786907.45,79962
,BLUEBLENDS,EQ,        16.80,                   200482.75,11982
,BLUECHIP,BE,          .25,                      525.00,2100
,BLUECOAST,EQ,        85.50,                      855.00,10
,BLUEDART,EQ,      3688.65,                126970260.40,34292
