,17-Sep-2019
The Nifty witnessed an intraday movement of about 203.6 points.The closing index was 1.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31566.07
, Traded Quantity (in Lakhs), 17015.01
, Number of Trades, 12671923
, Total Market Capitalisation (Rs. Crores), 13848401

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BBTC,EQ,      1144.05,                747758840.85,640484
,BCG,EQ,         3.65,                  1826389.45,500802
,BCP,EQ,        10.05,                   816084.50,81114
,BDL,EQ,       280.10,                  4752821.70,16768
,BEARDSELL,EQ,        11.85,                    46118.65,3984
,BEDMUTHA,EQ,        12.25,                   259247.40,20769
,BEL,EQ,       108.05,               2055229974.55,18594868
,BEML,EQ,       814.10,                542179332.60,653461
,BEPL,EQ,        63.05,                 29825687.45,461642
,BERGEPAINT,EQ,       365.05,                327231783.75,896801
,BETA,SM,        73.00,                    58400.00,800
,BFINVEST,EQ,       275.15,                 14510650.30,51625
,BFUTILITIE,EQ,       167.65,                116341418.15,662719
,BGLOBAL,BE,         1.35,                     7560.00,5600
,BGRENERGY,EQ,        37.10,                  3987535.25,104487
,BHAGERIA,EQ,       121.20,                  4610840.40,36603
,BHAGYANGR,EQ,        20.15,                    34820.05,1708
,BHAGYAPROP,EQ,        20.85,                     7139.70,339
,BHANDARI,EQ,         1.30,                    82810.85,64976
,BHARATFORG,EQ,       396.40,                437589362.90,1088390
,BHARATGEAR,EQ,        70.10,                  1650874.25,22715
,BHARATRAS,EQ,      5388.55,                 11473811.45,2093
,BHARATWIRE,EQ,        28.10,                   431926.05,15200
,BIGBLOC,EQ,        25.25,                     8021.90,310
,BIL,EQ,       209.95,                   295642.15,1413
,BILENERGY,BE,         1.30,                    35302.80,27156
,BINANIIND,EQ,        12.75,                   236780.90,18247
,BINDALAGRO,EQ,        11.70,                   470380.65,39697
,BIOFILCHEM,BE,         4.85,                      242.50,50
,BIRLACABLE,EQ,        52.50,                  8234130.15,152037
,BIRLACORPN,EQ,       569.35,                 27188628.85,46389
,BIRLAMONEY,EQ,        38.75,                  3899317.80,97366
,BKMINDST,EQ,          .90,                   245163.80,271134
,BLBLIMITED,EQ,         3.40,                    15384.35,4761
,BLISSGVS,EQ,       108.30,                 10890599.25,100246
,BLKASHYAP,EQ,        10.95,                   419809.55,38293
,BLS,EQ,        84.35,                  1637056.10,19069
,BLUEBLENDS,BE,         1.40,                    23235.00,16600
,BLUECOAST,BE,         2.75,                       13.75,5
,BLUEDART,EQ,      2234.70,                  3710461.65,1631
,BLUEDART,N3,        10.40,                      237.20,23
,BLUESTARCO,EQ,       718.40,                 23949971.35,32495
,BODALCHEM,EQ,        76.65,                 11657370.80,148909
,BOMDYEING,EQ,        86.20,                430745383.15,4740810
,BOROSIL,EQ,       171.50,                 43021402.80,242269
,BPL,EQ,        20.00,                  1104564.05,54672
,BRFL,EQ,         6.30,                   242563.55,38590
,BRIGADE,EQ,       192.55,                 31999987.70,164173
,BRNL,EQ,        72.60,                   760230.45,10464
,BROOKS,EQ,        38.40,                  1404578.10,35761
,BSE,EQ,       545.55,                 42041548.55,77437
,BSELINFRA,BE,         1.05,                    34152.10,31388
,BSHSL,SM,       129.40,                   129400.00,1000
,BSL,EQ,        32.05,                    91646.55,2823
,BSLGOLDETF,EQ,      3461.10,                    93682.40,27
,BSLNIFTY,EQ,       118.06,                    60642.79,509
,BSOFT,EQ,        66.95,                 63773514.15,927001
,BURNPUR,BE,         1.55,                    28623.85,18467
,BUTTERFLY,EQ,       156.95,                  3158758.65,19459
,BVCL,BE,        13.90,                     6981.50,502
,BYKE,EQ,        22.90,                  1066363.85,46592
,CADSYS,SM,        49.50,                    99000.00,2000
,CALSOFT,EQ,        13.25,                   171232.35,12912
,CAMLINFINE,EQ,        61.10,                 13769218.95,220525
,CANBK,EQ,       194.05,               1446628620.90,7284359
,CANDC,BZ,         3.45,                    10538.95,3306
,CANFINHOME,EQ,       396.05,                 76743909.95,191426
