,19-Nov-2019
The Nifty witnessed an intraday movement of about 77.1 points.The closing index was 0.47 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42296.01
, Traded Quantity (in Lakhs), 27123.18
, Number of Trades, 12178719
, Total Market Capitalisation (Rs. Crores), 15165754.9

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CENTRUM,EQ,        22.65,                  8046032.25,358763
,CENTUM,EQ,       388.70,                   831988.05,2151
,CENTURYPLY,EQ,       172.25,                 28015733.70,161351
,CENTURYTEX,EQ,       443.55,                494641570.95,1118280
,CERA,EQ,      2423.85,                  8705312.35,3570
,CEREBRAINT,EQ,        25.10,                 46189706.75,1857315
,CESC,EQ,       753.40,                387149992.90,512061
,CESCVENT,EQ,       304.10,                  3646036.10,11989
,CGCL,EQ,       200.60,                 73953938.85,369816
,CGPOWER,EQ,        14.50,                 12685481.25,872586
,CHALET,EQ,       361.75,                  4088200.70,11411
,CHAMBLFERT,EQ,       158.30,                 46547711.45,295988
,CHEMFAB,EQ,       163.20,                   408170.50,2465
,CHENNPETRO,EQ,       137.85,                 18563575.65,134444
,CHOLAFIN,EQ,       325.40,                503317204.40,1530490
,CHOLAHLDNG,EQ,       492.00,                130222836.00,264929
,CHROMATIC,EQ,          .45,                     6432.50,14850
,CIGNITITEC,EQ,       335.05,                 23340904.95,70036
,CIMMCO,EQ,        21.75,                   671917.20,30766
,CINELINE,EQ,        31.85,                   175081.75,5508
,CINEVISTA,BE,         9.00,                   208450.65,22546
,CKFSL,BE,          .60,                   250546.75,433730
,CKPLEISURE,SM,         5.20,                   168200.00,32000
,CLEDUCATE,EQ,        74.20,                  1058869.35,13889
,CLNINDIA,EQ,       329.45,                 86384887.70,262032
,CMICABLES,EQ,        56.65,                   271070.25,4785
,CMMIPL,SM,         3.40,                    20400.00,6000
,CNOVAPETRO,EQ,         8.05,                     4135.30,512
,COCHINSHIP,EQ,       410.60,                 72103751.05,175130
,COFFEEDAY,EQ,        50.30,                 17352544.30,344981
,COMPINFO,EQ,         9.30,                  2007178.30,208879
,COMPUSOFT,EQ,         8.00,                   363794.20,45660
,CONFIPET,EQ,        26.85,                  5398900.35,201375
,CONSOFINVT,EQ,        38.50,                   201620.50,5182
,CONTROLPR,EQ,       223.65,                  2350456.70,10350
,CORALFINAC,EQ,        10.70,                    41239.20,3778
,CORDSCABLE,EQ,        42.65,                   222252.20,5214
,COROMANDEL,EQ,       475.30,                 20878437.60,43968
,CORPBANK,EQ,        26.45,                299586747.70,11674234
,COSMOFILMS,EQ,       224.80,                  5089661.05,22253
,COUNCODOS,EQ,         1.65,                    24208.90,14383
,COX&KINGS,EQ,         1.55,                  3608327.60,2392192
,CPSEETF,EQ,        23.76,                 40916241.75,1723015
,CREATIVE,EQ,        70.25,                  1658497.30,23202
,CREDITACC,EQ,       809.25,                292690522.80,358471
,CREST,EQ,        91.70,                   206304.75,2264
,CRISIL,EQ,      1513.95,                 20509901.25,13569
,CROMPTON,EQ,       265.00,                258124608.45,972977
,CTE,EQ,        27.40,                    95647.80,3480
,CUB,EQ,       215.25,                142399854.35,661461
,CUBEXTUB,EQ,        11.75,                     8803.50,722
,CUMMINSIND,EQ,       562.40,                100928508.30,179194
,CUPID,EQ,       194.50,                 23876105.60,120589
,CURATECH,BE,         1.75,                      175.00,100
,CYBERMEDIA,BE,         3.45,                     3283.85,981
,CYBERTECH,EQ,        49.90,                  1200478.30,24370
