,29-Nov-2018
The Nifty witnessed an intraday movement of about 100.7 points.The closing index was 1.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43142.02
, Traded Quantity (in Lakhs), 19627.27
, Number of Trades, 13317117
, Total Market Capitalisation (Rs. Crores), 14078722.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BKMINDST,EQ,         7.45,                   153923.55,20649
,BLBLIMITED,EQ,         5.45,                   248543.10,45757
,BLISSGVS,EQ,       155.70,                 56241538.35,354967
,BLKASHYAP,EQ,        21.85,                  2743001.90,125339
,BLS,EQ,       120.10,                  8815299.75,73305
,BLUEBLENDS,EQ,         3.95,                    44801.35,11598
,BLUEDART,EQ,      3165.20,                 20993015.50,6677
,BLUESTARCO,EQ,       656.95,                 34845548.30,53064
,BODALCHEM,EQ,       112.10,                  7811086.75,69755
,BOHRA,SM,        29.50,                   816200.00,28000
,BOMDYEING,EQ,       101.60,                 85204293.15,826176
,BOROSIL,EQ,       234.15,                  7523233.15,32059
,BPL,EQ,        39.00,                  2004068.05,50934
,BRFL,EQ,        10.55,                  3278384.20,307202
,BRIGADE,EQ,       192.80,                  2464881.80,12870
,BRNL,EQ,        94.15,                   808260.75,8691
,BROOKS,EQ,        56.75,                   797627.75,13859
,BSE,EQ,       599.85,                 29461931.15,49081
,BSELINFRA,EQ,         2.45,                   296421.05,121095
,BSHSL,SM,       135.00,                   265000.00,2000
,BSL,EQ,        46.10,                   214224.25,4626
,BSLGOLDETF,EQ,      2838.10,                    59833.30,21
,BSLNIFTY,EQ,       110.80,                     2896.48,25
,BURNPUR,EQ,         4.05,                   106368.00,26620
,BUTTERFLY,EQ,       223.60,                   957629.80,4237
,BVCL,BE,        17.15,                    16034.55,968
,BYKE,EQ,        74.00,                  2146046.80,28700
,CALSOFT,EQ,        31.45,                   327159.00,10311
,CAMLINFINE,EQ,        56.15,                  8768688.15,155235
,CANBK,EQ,       261.05,               1401195704.70,5327399
,CANDC,EQ,        31.15,                  8503673.80,275812
,CANFINHOME,EQ,       267.45,                244691830.75,927302
,CANTABIL,EQ,       131.35,                  3018722.35,23062
,CAPACITE,EQ,       239.20,                 13443975.20,56578
,CAPF,EQ,       523.90,                320916047.25,611971
,CAPLIPOINT,EQ,       403.45,                  7036323.65,17441
