,14-Nov-2018
The Nifty witnessed an intraday movement of about 118.9 points.The closing index was 0.06 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35973.53
, Traded Quantity (in Lakhs), 15719.49
, Number of Trades, 13249324
, Total Market Capitalisation (Rs. Crores), 13967890.08

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CAPTRUST,EQ,       225.40,                   170431.35,762
,CARBORUNIV,EQ,       358.90,                  1187007.05,3292
,CAREERP,EQ,        75.95,                  1892236.25,24820
,CARERATING,EQ,      1021.80,                 36656418.80,35817
,CASTEXTECH,EQ,         1.50,                   364557.65,243040
,CASTROLIND,EQ,       151.00,                346677804.05,2256108
,CCCL,EQ,         3.15,                  4507152.95,1385551
,CCHHL,EQ,         8.15,                   552060.75,68215
,CCL,EQ,       270.55,                 10518706.30,38796
,CDSL,EQ,       240.85,                 30634971.20,126474
,CEATLTD,EQ,      1251.70,               1238354457.55,979970
,CEBBCO,EQ,        13.90,                   144455.70,10365
,CELEBRITY,EQ,        10.20,                  1184060.15,116224
,CELESTIAL,EQ,         9.05,                   320513.00,34879
,CENTENKA,EQ,       286.00,                  3408441.85,11873
,CENTEXT,EQ,         7.15,                  1751863.05,238759
,CENTRALBK,EQ,        30.70,                 56784864.85,1839281
,CENTRUM,EQ,        39.10,                  1954632.70,49770
,CENTUM,EQ,       400.15,                   301055.15,743
,CENTURYPLY,EQ,       166.95,                 38681011.80,229562
,CENTURYTEX,EQ,       893.55,                861347134.85,964752
,CERA,EQ,      2427.25,                 10676758.85,4398
,CEREBRAINT,EQ,        32.15,                  3618621.45,111569
,CES1RPG,MF,         9.10,                    50050.00,5500
,CESC,EQ,       681.90,                693745174.15,1010843
,CGCL,EQ,       125.65,                 51438832.10,411474
,CGPOWER,EQ,        33.70,                599203989.20,17219964
,CHAMBLFERT,EQ,       141.85,                 28605309.05,199896
,CHEMFAB,EQ,       143.50,                   354486.95,2449
,CHENNPETRO,EQ,       272.10,                374878106.10,1340849
,CHOLAFIN,EQ,      1281.00,                495231688.30,383755
,CHROMATIC,EQ,         1.10,                    30890.60,28281
,CIGNITITEC,EQ,       419.10,                 12861438.40,30205
,CIMMCO,EQ,        51.00,                   747243.75,14487
,CINELINE,EQ,        49.35,                   567436.55,11398
,CINEVISTA,EQ,         6.40,                    12735.85,2049
,CLEDUCATE,EQ,       122.00,                  1859000.10,15479
,CLNINDIA,EQ,       395.15,                  3235224.85,8191
,CMICABLES,EQ,       145.20,                  2374609.25,16039
,CMMIPL,SM,        14.95,                    44850.00,3000
,CNOVAPETRO,EQ,        23.00,                    31480.45,1364
,COCHINSHIP,EQ,       381.60,                 15902984.30,41562
,COFFEEDAY,EQ,       294.45,                293716242.95,991009
,COMPINFO,EQ,        25.00,                   513841.40,20479
,COMPUSOFT,EQ,        12.00,                   591165.25,48405
,CONSOFINVT,EQ,        52.95,                    52475.00,1000
,CONTROLPR,EQ,       341.40,                   459222.25,1351
,CORALFINAC,EQ,        16.00,                   130981.30,8186
,CORDSCABLE,EQ,        64.70,                   855597.90,13075
,COROMANDEL,EQ,       425.05,                 83043703.00,195512
,CORPBANK,EQ,        27.45,                 19311160.55,686881
