,16-Dec-2019
The Nifty witnessed an intraday movement of about 88.35 points.The closing index was 0.27 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28996.56
, Traded Quantity (in Lakhs), 15234.58
, Number of Trades, 10506543
, Total Market Capitalisation (Rs. Crores), 15175142.49

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CENTURYTEX,EQ,       494.55,                295704217.40,596022
,CERA,EQ,      2521.90,                  5733359.95,2233
,CEREBRAINT,BE,        23.35,                  2528933.15,108451
,CESC,EQ,       729.40,                147612819.80,202000
,CESCVENT,EQ,       302.40,                  1995824.85,6654
,CGCL,EQ,       192.90,                 63934060.60,338529
,CGPOWER,EQ,        11.95,                  7530544.55,634157
,CHALET,EQ,       333.30,                 71534800.30,204523
,CHAMBLFERT,EQ,       145.50,                 79994395.95,551029
,CHEMBOND,EQ,       200.05,                   889043.50,4428
,CHEMFAB,EQ,       164.75,                    94532.60,574
,CHENNPETRO,EQ,       117.95,                 25348987.95,214525
,CHOLAFIN,EQ,       309.10,                402695616.50,1293481
,CHOLAHLDNG,EQ,       499.80,                 90442778.50,181704
,CHROMATIC,EQ,          .50,                      605.50,1110
,CIGNITITEC,EQ,       298.05,                 17465373.15,58077
,CIMMCO,EQ,        20.45,                   121110.90,5863
,CINELINE,EQ,        30.75,                  1661425.35,54769
,CINEVISTA,EQ,         8.30,                    41293.25,5002
,CKFSL,EQ,          .50,                    60334.90,126315
,CKPLEISURE,SM,         6.35,                   154000.00,24000
,CLEDUCATE,EQ,        71.25,                   112683.65,1575
,CLNINDIA,EQ,       321.50,                  5644317.80,17507
,CMICABLES,EQ,        48.20,                  3268339.85,67822
,CMMIPL,SM,         2.65,                    63000.00,24000
,CNOVAPETRO,EQ,         7.65,                    11490.30,1502
,COCHINSHIP,EQ,       385.35,                 32063000.85,82279
,COFFEEDAY,BE,        42.85,                 58412118.90,1368953
,COMPINFO,EQ,        11.30,                  5743962.70,497419
,COMPUSOFT,EQ,         7.80,                   136587.65,17474
,CONFIPET,EQ,        27.05,                  1648120.55,60448
,CONSOFINVT,EQ,        35.15,                    20339.40,575
,CONTI,SM,        17.45,                   415800.00,24000
,CONTROLPR,EQ,       236.95,                   238671.70,996
,CORALFINAC,EQ,        10.20,                   316372.30,30562
,CORDSCABLE,EQ,        42.45,                   601435.35,14080
,COROMANDEL,EQ,       509.75,                 64949361.20,126911
,CORPBANK,EQ,        25.35,                 44751098.75,1736533
,COSMOFILMS,EQ,       228.15,                  3706784.35,16131
,COUNCODOS,EQ,         1.90,                    15336.40,8036
,COX&KINGS,EQ,         1.65,                  2224025.80,1347532
,CPSEETF,EQ,        22.82,                 23657459.11,1035925
,CREATIVE,BE,        86.05,                  1570929.65,18235
,CREDITACC,EQ,       799.90,                 45926113.00,57293
,CREST,EQ,        91.45,                  3541937.40,36900
,CRISIL,EQ,      1723.90,                 29166654.30,16858
,CROMPTON,EQ,       242.40,                349656642.15,1434223
,CROWN,SM,        38.10,                    38100.00,1000
,CSBBANK,EQ,       240.50,                539272517.05,2294567
,CTE,EQ,        23.50,                    51769.70,2157
,CUB,EQ,       227.55,                126131455.65,550531
,CUBEXTUB,EQ,        11.40,                    19769.40,1740
,CUMMINSIND,EQ,       545.95,                208451734.50,380512
,CUPID,EQ,       194.30,                  3616797.35,18609
,CURATECH,BE,         1.80,                     2140.30,1158
,CYBERMEDIA,BE,         3.15,                     1342.50,425
,CYBERTECH,EQ,        45.45,                  2346162.40,52135
,CYIENT,EQ,       388.55,                119740501.20,311617
,DAAWAT,EQ,        22.00,                 17956371.95,806551
,DALBHARAT,EQ,       802.75,                102310661.40,126385
,DALMIASUG,EQ,        83.75,                 16870396.10,198688
,DAMODARIND,EQ,        24.90,                    20221.75,804
,DATAMATICS,EQ,        70.15,                  1365718.65,19372
,DBCORP,EQ,       134.30,                  4581064.95,33896
