,13-Feb-2019
The Nifty witnessed an intraday movement of about 119.55 points.The closing index was 0.35 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29238.16
, Traded Quantity (in Lakhs), 15346.87
, Number of Trades, 11602901
, Total Market Capitalisation (Rs. Crores), 13710053.75

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BALKRISHNA,EQ,        35.60,                   358416.35,9845
,BALKRISIND,EQ,       830.95,                944706883.15,1128452
,BALLARPUR,EQ,         3.75,                  1489341.95,397180
,BALMLAWRIE,EQ,       168.20,                  8875317.60,52247
,BALPHARMA,EQ,        70.20,                   658121.45,9290
,BALRAMCHIN,EQ,       112.40,                851741868.30,7509782
,BANARBEADS,EQ,        41.75,                    32430.65,787
,BANARISUG,EQ,      1450.00,                   801005.50,552
,BANCOINDIA,EQ,       153.00,                 19570317.90,124316
,BANG,EQ,        49.35,                  3692662.60,75662
,BANKBEES,EQ,      2737.53,                  4651221.92,1692
,BANKINDIA,EQ,        81.65,                529150436.90,6409243
,BANSWRAS,EQ,        57.90,                   286641.05,4820
,BARTRONICS,EQ,         5.25,                   326812.80,59990
,BASF,EQ,      1263.00,                  5323478.90,4183
,BASML,EQ,       176.65,                    15892.50,90
,BATAINDIA,EQ,      1272.30,               9337541569.90,7486293
,BAYERCROP,EQ,      4343.50,                 95107381.45,22249
,BBL,EQ,       993.75,                  6547544.75,6528
,BBTC,EQ,      1187.50,                 37812716.75,31793
,BBTCL,SM,        46.00,                   138000.00,3000
,BCG,EQ,         3.20,                  8635694.50,2734824
,BDL,EQ,       231.55,                  3466046.45,14813
,BEARDSELL,EQ,        16.50,                     2629.20,157
,BEDMUTHA,EQ,        17.55,                    99580.20,5626
,BEML,EQ,       758.85,                909827379.55,1196310
,BEPL,EQ,        64.25,                 14610026.15,225835
,BERGEPAINT,EQ,       302.90,                216550159.30,714841
,BETA,SM,        79.00,                   126360.00,1600
,BFINVEST,EQ,       179.85,                 11129412.60,60447
,BFUTILITIE,EQ,       155.25,                 39371743.00,247908
,BGLOBAL,BE,         2.45,                    13015.00,5300
,BGRENERGY,EQ,        47.65,                  4456844.90,93390
,BHAGERIA,EQ,       215.25,                  1145223.55,5306
,BHAGYANGR,EQ,        31.35,                    72109.75,2309
,BHAGYAPROP,EQ,        28.50,                   117808.60,4135
,BHANDARI,EQ,         1.75,                    81204.10,47060
,BHARATFIN,EQ,       933.50,                686409367.80,734935
,BHARATFORG,EQ,       477.85,               2899648591.60,5975062
,BHARATGEAR,EQ,       148.25,                   930769.05,6268
,BHARATRAS,EQ,      3706.30,                  2595972.40,695
,BHARATWIRE,EQ,        57.25,                   393853.60,6880
,BIGBLOC,EQ,        25.35,                   205669.85,8183
,BIL,EQ,       221.65,                   684103.50,3081
,BILENERGY,BE,         1.10,                   242330.95,221075
,BINANIIND,EQ,        32.65,                   269001.45,8241
,BINDALAGRO,EQ,        13.20,                   175340.75,13079
,BIOFILCHEM,BE,         6.40,                     5513.30,884
,BIRLACABLE,EQ,       153.55,                 22459585.65,143143
,BIRLACORPN,EQ,       450.60,                 10120423.65,22251
,BIRLAMONEY,BE,        40.10,                   816986.90,20377
,BKMINDST,EQ,         3.85,                    47837.55,12038
