,07-Feb-2019
The Nifty witnessed an intraday movement of about 74.5 points.The closing index was 0.06 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30954.86
, Traded Quantity (in Lakhs), 19264.8
, Number of Trades, 12212603
, Total Market Capitalisation (Rs. Crores), 14120324.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BATAINDIA,EQ,      1195.50,                665011264.80,554886
,BAYERCROP,EQ,      4300.80,                 18108470.80,4201
,BBL,EQ,      1076.55,                  1594944.20,1484
,BBTC,EQ,      1194.75,                 61316987.00,51160
,BCG,EQ,         2.90,                   911982.75,316151
,BCONCEPTS,SM,        43.00,                   129000.00,3000
,BDL,EQ,       243.15,                  4421480.15,18231
,BEARDSELL,EQ,        17.45,                     2634.80,148
,BEDMUTHA,EQ,        18.00,                   248546.35,13876
,BEML,EQ,       771.50,               1310484423.55,1699537
,BEPL,EQ,        68.70,                 31949143.20,470095
,BERGEPAINT,EQ,       313.90,                160924340.30,514411
,BETA,SM,        79.50,                   188040.00,2400
,BFINVEST,EQ,       199.60,                 10428430.70,51584
,BFUTILITIE,EQ,       182.45,                 28825701.05,157355
,BGLOBAL,BE,         2.65,                     5861.50,2390
,BGRENERGY,EQ,        47.55,                  4882329.55,103118
,BHAGERIA,EQ,       218.55,                  2370755.80,10893
,BHAGYANGR,EQ,        30.70,                   536094.35,17193
,BHAGYAPROP,EQ,        29.90,                   129123.15,4307
,BHANDARI,EQ,         1.85,                    95525.45,50697
,BHARATFIN,EQ,       945.00,                935191549.60,989774
,BHARATFORG,EQ,       492.80,                379451125.30,772841
,BHARATGEAR,EQ,       154.00,                  1191544.40,7769
,BHARATRAS,EQ,      3766.45,                  7788648.60,2047
,BHARATWIRE,EQ,        59.85,                  1118403.10,18935
,BIGBLOC,EQ,        26.20,                    37495.75,1420
,BIL,EQ,       215.50,                   159358.05,746
,BILENERGY,BE,          .95,                   215502.20,228093
,BINANIIND,EQ,        36.85,                  1362431.60,36895
,BINDALAGRO,EQ,        14.05,                   146795.40,10397
,BIRLACABLE,EQ,       171.25,                 14755524.20,87861
,BIRLACORPN,EQ,       478.95,                 22266891.85,47226
,BIRLAMONEY,BE,        43.20,                  1249675.80,28619
,BKMINDST,EQ,         4.95,                    53340.95,10670
,BLBLIMITED,EQ,         5.35,                    60665.70,11258
,BLISSGVS,EQ,       156.45,                546727755.00,3439474
,BLKASHYAP,EQ,        18.05,                 10453273.70,563517
,BLS,EQ,       110.10,                 14600168.30,131013
,BLUEBLENDS,EQ,         3.25,                     1111.50,345
,BLUEDART,EQ,      3099.95,                  7151185.20,2313
,BLUEDART,N3,        10.90,                   229095.34,21006
,BLUESTARCO,EQ,       588.05,                241070266.45,411229
,BODALCHEM,EQ,       101.35,                  7896527.75,78413
,BOHRA,SM,        19.90,                    39800.00,2000
,BOMDYEING,EQ,       111.55,                373372909.00,3351995
,BOROSIL,EQ,       214.20,                 16247411.65,76608
,BPL,EQ,        28.00,                  5583690.80,202780
,BRFL,EQ,         6.55,                   569174.80,86887
,BRIGADE,EQ,       207.60,                  6392290.20,30726
,BRIGHT,SM,        32.50,                    97500.00,3000
,BRNL,EQ,        97.00,                 10123869.85,102084
,BROOKS,EQ,        44.65,                   551295.90,12400
,BSE,EQ,       565.45,                 56600591.65,100840
,BSELINFRA,EQ,         1.95,                   237533.10,123478
,BSHSL,SM,       128.00,                   256100.00,2000
,BSL,EQ,        42.70,                   220834.75,5213
,BSLGOLDETF,EQ,      3045.00,                    24484.00,8
,BSLNIFTY,EQ,       114.04,                   157956.23,1397
,BURNPUR,EQ,         2.50,                   309232.50,123693
,BUTTERFLY,EQ,       224.90,                  3258197.55,14435
