,19-Feb-2019
The Nifty witnessed an intraday movement of about 137.2 points.The closing index was 0.34 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26096.69
, Traded Quantity (in Lakhs), 12782.76
, Number of Trades, 9921435
, Total Market Capitalisation (Rs. Crores), 13466305.89

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CORPBANK,EQ,        24.50,                  3251661.20,132568
,COSMOFILMS,EQ,       165.00,                  1516591.25,9171
,COUNCODOS,EQ,         2.00,                     8745.70,4373
,COX&KINGS,EQ,       140.95,                  3659007.05,25772
,CPSEETF,EQ,        22.68,                 11645251.35,512518
,CREATIVE,SM,       110.00,                   176000.00,1600
,CREDITACC,EQ,       391.70,                  9383575.05,23587
,CREST,EQ,       123.60,                  3954040.80,31823
,CRISIL,EQ,      1571.45,                 21131890.85,13560
,CRMFGETF,EQ,      3115.00,                   344760.00,111
,CROMPTON,EQ,       195.55,                123724534.75,634443
,CTE,EQ,        41.00,                   345853.05,8471
,CUB,EQ,       178.10,                 22456268.05,125531
,CUBEXTUB,EQ,        12.00,                    25031.75,1945
,CUMMINSIND,EQ,       665.10,                305322308.35,455725
,CUPID,EQ,       117.50,                   683284.15,5850
,CURATECH,BE,         1.05,                     1170.00,1120
,CYBERTECH,EQ,        40.00,                   878821.10,22688
,CYIENT,EQ,       610.75,                159155746.75,259079
,DAAWAT,EQ,        32.65,                 10870434.05,329107
,DALBHARAT,EQ,      1076.90,                 60786805.80,57268
,DALMIASUG,EQ,       102.05,                 52903331.40,522344
,DAMODARIND,EQ,        36.55,                   108739.80,3010
,DATAMATICS,EQ,        82.45,                  2141580.15,25904
,DBCORP,EQ,       177.25,                  2733429.15,15335
,DBL,EQ,       460.75,                378409358.55,810175
,DBREALTY,BE,        21.80,                  2807011.95,128471
,DBSTOCKBRO,EQ,         8.00,                       40.00,5
,DCAL,EQ,       187.40,                 12353980.05,65876
,DCBBANK,EQ,       173.60,                254604133.75,1463777
,DCM,EQ,        61.50,                   124995.65,2030
,DCMSHRIRAM,EQ,       348.55,                 16700656.05,47388
,DCW,EQ,        13.95,                   849638.00,60269
,DECCANCE,EQ,       351.80,                  4225474.85,12003
,DEEPAKFERT,EQ,       119.35,                 34740371.15,289282
,DEEPAKNTR,EQ,       214.20,                  8430151.35,39129
,DEEPIND,EQ,       106.60,                   957737.15,8956
,DELTACORP,EQ,       227.80,                122186761.25,530852
