,25-Feb-2019
The Nifty witnessed an intraday movement of about 99.05 points.The closing index was 0.82 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33085.71
, Traded Quantity (in Lakhs), 22069.73
, Number of Trades, 12052303
, Total Market Capitalisation (Rs. Crores), 13873617.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BANKINDIA,EQ,        82.90,                462866428.60,5586375
,BANSAL,SM,        13.15,                    26300.00,2000
,BANSWRAS,EQ,        64.55,                   432790.15,6619
,BARTRONICS,EQ,         7.55,                  1611256.10,225170
,BASF,EQ,      1305.70,                  8097450.30,6122
,BASML,EQ,       191.05,                    47482.65,253
,BATAINDIA,EQ,      1311.50,               2185756329.40,1660247
,BAYERCROP,EQ,      4235.15,                 37476638.10,8845
,BBL,EQ,      1021.90,                  2763390.40,2705
,BBTC,EQ,      1241.15,                205049379.00,166505
,BCG,EQ,         2.90,                   950298.35,325415
,BDL,EQ,       253.35,                 13509233.85,53267
,BEARDSELL,EQ,        15.05,                    76685.45,5096
,BEDMUTHA,EQ,        16.55,                   190103.25,11351
,BEML,EQ,       824.75,               2038385687.15,2465765
,BEPL,EQ,        63.70,                 60941947.40,966780
,BERGEPAINT,EQ,       295.55,                172152569.00,585369
,BETA,SM,        80.00,                   428000.00,5600
,BFINVEST,EQ,       220.35,                174711722.50,776132
,BFUTILITIE,EQ,       180.50,                277872250.45,1514496
,BGLOBAL,BE,         2.40,                     1116.00,465
,BGRENERGY,EQ,        50.40,                  5688224.60,112037
,BHAGERIA,EQ,       230.90,                   367476.95,1589
,BHAGYANGR,EQ,        30.55,                   147271.30,4860
,BHAGYAPROP,EQ,        29.60,                    97798.75,3380
,BHANDARI,EQ,         2.00,                   180756.05,89081
,BHARATFIN,EQ,       938.10,                137587575.75,147841
,BHARATFORG,EQ,       494.55,                857524850.80,1746291
,BHARATGEAR,EQ,       155.00,                  1647100.40,10552
,BHARATRAS,EQ,      3715.20,                  5608162.00,1493
,BHARATWIRE,EQ,        62.55,                   711559.40,11336
,BIGBLOC,EQ,        27.35,                    83404.20,3022
,BIL,EQ,       209.75,                  2274894.20,10899
,BILENERGY,BE,         1.50,                   272761.70,182081
,BILPOWER,BZ,          .40,                     3472.40,8681
,BINANIIND,EQ,        35.90,                   786775.55,22273
,BINDALAGRO,EQ,        14.30,                   262061.45,18629
,BIOFILCHEM,BE,         6.40,                     4856.90,770
,BIRLACABLE,EQ,       167.35,                 17948478.25,107230
,BIRLACORPN,EQ,       467.05,                 61730912.30,131386
,BIRLAMONEY,BE,        44.70,                  1757548.50,39516
,BKMINDST,EQ,         3.30,                    85591.40,25671
,BLBLIMITED,EQ,         5.15,                     7256.20,1445
,BLISSGVS,EQ,       180.30,                216892961.55,1198814
,BLKASHYAP,EQ,        19.20,                 25688398.20,1308080
,BLS,EQ,       105.55,                 11045767.65,105324
,BLUEBLENDS,EQ,         3.65,                    11746.50,3233
,BLUEDART,EQ,      3061.30,                  6000709.95,1936
,BLUEDART,N3,        10.90,                   228900.00,21000
,BLUESTARCO,EQ,       609.70,                119960827.70,197630
