,28-Feb-2019
The Nifty witnessed an intraday movement of about 80.85 points.The closing index was 0.13 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42785.02
, Traded Quantity (in Lakhs), 19875.2
, Number of Trades, 12033081
, Total Market Capitalisation (Rs. Crores), 13871449.35

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BGLOBAL,BE,         2.30,                     2406.10,1046
,BGRENERGY,EQ,        49.00,                  1611785.45,32855
,BHAGERIA,EQ,       228.80,                   819149.50,3601
,BHAGYANGR,EQ,        30.35,                    46352.10,1537
,BHAGYAPROP,EQ,        29.20,                    98555.90,3383
,BHANDARI,EQ,         2.00,                   306366.75,156905
,BHARATFIN,EQ,       923.90,                560781279.35,602920
,BHARATFORG,EQ,       512.90,                808986763.70,1574255
,BHARATGEAR,EQ,       154.50,                  1356433.20,8777
,BHARATRAS,EQ,      3698.55,                  3006576.90,809
,BHARATWIRE,EQ,        59.50,                   192258.45,3251
,BIGBLOC,EQ,        29.45,                   267704.70,8969
,BIL,EQ,       200.05,                  2194900.20,10842
,BILENERGY,BE,         1.65,                   158390.10,95994
,BINANIIND,EQ,        41.65,                   934374.35,22611
,BINDALAGRO,EQ,        14.55,                   115717.75,8001
,BIOFILCHEM,BE,         6.70,                    12860.30,1978
,BIRLACABLE,EQ,       159.10,                  5770973.85,36179
,BIRLACORPN,EQ,       464.45,                 14364021.80,30710
,BIRLAMONEY,BE,        44.80,                   510621.90,11346
,BKMINDST,EQ,         3.40,                   104012.10,30643
,BLBLIMITED,EQ,         5.10,                     2117.45,420
,BLISSGVS,EQ,       177.35,                214622261.15,1205417
,BLKASHYAP,EQ,        23.60,                 67771945.85,2996048
,BLS,EQ,        98.80,                  3281016.60,33052
,BLUEBLENDS,EQ,         3.75,                    10958.55,2944
,BLUEDART,EQ,      3127.80,                  6799240.40,2144
,BLUEDART,N3,        10.90,                    10900.00,1000
,BLUESTARCO,EQ,       620.80,                  9922962.70,16129
,BODALCHEM,EQ,       104.30,                  4250611.20,40395
,BOMDYEING,EQ,       110.30,                 64025051.15,578478
,BOROSIL,EQ,       210.95,                  5039733.40,23682
,BPL,EQ,        26.25,                  1092235.10,41733
,BRFL,BE,         8.95,                   183219.55,20631
,BRIGADE,EQ,       197.10,                  5743237.65,29058
,BRIGHT,SM,        33.85,                  1079400.00,36000
,BRNL,EQ,        95.00,                  6389182.30,67369
,BROOKS,EQ,        59.50,                  2958642.30,49720
,BSE,EQ,       568.90,                 26322164.65,46215
,BSELINFRA,EQ,         2.15,                   195860.20,92259
,BSHSL,SM,       129.40,                   129400.00,1000
,BSL,EQ,        40.65,                   164661.30,4041
,BSLGOLDETF,EQ,      3068.00,                   141139.90,46
,BSLNIFTY,EQ,       114.72,                    25820.20,225
,BSOFT,EQ,       108.70,                131577272.75,1215243
,BURNPUR,EQ,         3.05,                    71097.55,23427
,BUTTERFLY,EQ,       174.15,                 11429276.65,64181
,BVCL,BE,        16.00,                    78551.25,5000
,BYKE,EQ,        27.85,                  2588061.70,91215
,CADSYS,SM,        42.20,                   330400.00,8000
,CALSOFT,EQ,        17.80,                   232340.35,13229
,CAMLINFINE,EQ,        44.25,                  2892658.90,64828
,CANBK,EQ,       231.45,               1282866839.70,5534257
,CANDC,BZ,        12.25,                  1931261.20,167285
,CANFINHOME,EQ,       266.20,                381937400.15,1432989
,CANTABIL,EQ,       229.50,                 17181966.90,73633
,CAPACITE,EQ,       209.50,                  9501954.40,45764
,CAPLIPOINT,EQ,       390.00,                 13205951.45,33532
,CAPTRUST,BE,       193.85,                    43922.10,235
,CARBORUNIV,EQ,       371.95,                 44584234.80,121467
,CAREERP,EQ,        67.15,                   167314.45,2491
,CARERATING,EQ,       960.50,                180229423.65,187336
,CASTEXTECH,EQ,         1.15,                   132971.05,115627
,CASTROLIND,EQ,       154.65,                240701208.15,1555060
,CCCL,BZ,         1.80,                    13570.20,7539
,CCHHL,EQ,         6.30,                    64038.45,10331
,CCL,EQ,       280.25,                178776107.35,638144
,CDSL,EQ,       218.75,                 13390936.75,61136
,CEATLTD,EQ,      1090.25,                648213650.40,589076
,CEBBCO,BE,        19.95,                   198753.00,10051
,CELEBRITY,EQ,         8.25,                   303913.30,36619
,CELESTIAL,EQ,         5.55,                   143628.90,25898
,CENTENKA,EQ,       240.30,                  2883642.15,12066
,CENTEXT,EQ,         6.00,                   413166.30,68243
,CENTRALBK,EQ,        30.25,                  5545870.95,182741
,CENTRUM,EQ,        32.25,                  2885663.60,91084
,CENTUM,EQ,       389.95,                  1111252.35,2850
,CENTURYPLY,EQ,       167.35,                 13763533.70,82837
,CENTURYTEX,EQ,       802.05,                456881173.05,566682
,CERA,EQ,      2405.50,                 11968925.05,4990
,CEREBRAINT,EQ,        25.70,                 13687256.85,536158
,CES1RPG,MF,         9.13,                   109630.00,12000
,CESC,EQ,       672.95,                154463539.15,230688
,CESCVENT,EQ,       498.35,                422419600.30,846964
,CGCL,EQ,       127.75,                 64323731.30,502722
,CGPOWER,EQ,        32.20,                357831039.95,11257334
,CHALET,EQ,       276.20,                  2401927.10,8662
,CHAMBLFERT,EQ,       158.15,                 18329348.05,116310
,CHEMFAB,EQ,       134.40,                   262653.10,1953
,CHENNPETRO,EQ,       228.25,                133216491.60,587592
,CHOLAFIN,EQ,      1231.10,                229975621.20,187999
,CHROMATIC,BE,         1.05,                    46885.65,44653
,CIGNITITEC,EQ,       321.05,                  6432470.00,20070
