,09-Jan-2019
The Nifty witnessed an intraday movement of about 121 points.The closing index was 0.49 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29799.93
, Traded Quantity (in Lakhs), 12675.58
, Number of Trades, 10916246
, Total Market Capitalisation (Rs. Crores), 14159596.56

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BANKINDIA,EQ,       105.45,               1411655710.60,13267879
,BANSAL,SM,        28.70,                   545350.00,19000
,BANSWRAS,EQ,        80.20,                    98979.00,1232
,BARTRONICS,EQ,         7.30,                    93978.55,12837
,BASF,EQ,      1517.35,                  5372934.45,3529
,BASML,EQ,       203.05,                    17710.30,87
,BATAINDIA,EQ,      1148.20,               1254292084.10,1099623
,BAYERCROP,EQ,      4234.70,                 34865836.30,8234
,BBL,EQ,      1153.30,                  4759554.55,4151
,BBTC,EQ,      1300.65,                 51044289.90,39133
,BBTCL,SM,        48.50,                   145500.00,3000
,BCG,EQ,         2.75,                  1050769.30,383928
,BCONCEPTS,SM,        33.00,                   201000.00,6000
,BDL,EQ,       285.80,                 10342348.15,35849
,BEARDSELL,EQ,        23.75,                    31117.75,1297
,BEDMUTHA,EQ,        22.45,                    21779.30,972
,BEML,EQ,       908.70,               1733980385.80,1903553
,BEPL,EQ,        87.90,                 26838772.10,303844
,BERGEPAINT,EQ,       325.45,                262034799.30,806721
,BETA,SM,        81.85,                   952120.00,12000
,BFINVEST,EQ,       246.75,                 19509625.95,78378
,BFUTILITIE,EQ,       230.70,                 81743100.95,351405
,BGLOBAL,BE,         3.00,                     6030.10,2044
,BGRENERGY,EQ,        60.65,                  1959035.35,32193
,BHAGERIA,EQ,       285.65,                  2666037.95,9301
,BHAGYANGR,EQ,        33.80,                   711900.85,20911
,BHAGYAPROP,EQ,        28.55,                   139751.70,4902
,BHANDARI,EQ,         2.05,                   976433.55,461050
,BHARATFIN,EQ,      1011.55,                467543270.95,467838
,BHARATFORG,EQ,       477.00,                647775056.70,1367513
,BHARATGEAR,EQ,       162.65,                  2752517.30,16961
,BHARATIDIL,BZ,         2.95,                    62012.80,20822
,BHARATRAS,EQ,      5100.75,                  3167968.95,619
,BHARATWIRE,EQ,        67.85,                  1846236.85,27235
,BIGBLOC,EQ,        34.20,                   633651.35,17736
,BIL,EQ,       227.65,                     7837.35,34
,BILENERGY,EQ,          .55,                    78798.90,152259
,BINANIIND,EQ,        69.00,                  1218979.30,17523
,BINDALAGRO,EQ,        17.35,                   132003.80,7547
,BIOFILCHEM,BE,         6.65,                     9311.75,1398
,BIRLACABLE,EQ,       190.50,                 18724821.90,97538
,BIRLACORPN,EQ,       568.85,                 12198596.80,21318
,BIRLAMONEY,BE,        54.65,                  1672036.60,30393
,BKMINDST,EQ,         7.40,                    15462.55,2136
,BLBLIMITED,EQ,         5.55,                    14423.25,2617
,BLISSGVS,EQ,       170.85,                128299471.10,756510
,BLKASHYAP,EQ,        20.60,                   824209.00,39748
,BLS,EQ,       118.50,                  2317016.10,19529
,BLUEBLENDS,EQ,         4.30,                    35393.45,8235
,BLUEDART,EQ,      3291.20,                  4149280.70,1253
,BLUESTARCO,EQ,       611.95,                 45686951.95,74731
,BODALCHEM,EQ,       118.40,                 10348205.50,87327
,BOHRA,SM,        28.05,                  1525900.00,52000
,BOMDYEING,EQ,       110.10,                 53764146.40,485254
,BOROSIL,EQ,       226.40,                  3270843.65,14356
,BPL,EQ,        39.90,                  3791012.15,94850
,BRFL,EQ,         9.05,                  1229708.15,136370
,BRIGADE,EQ,       209.95,                 27609871.30,130662
,BRIGHT,SM,        34.00,                   205800.00,6000
,BRNL,EQ,        97.05,                   592583.25,6071
,BROOKS,EQ,        56.75,                  2109956.85,36831
,BSE,EQ,       595.00,                 16492598.75,27690
,BSELINFRA,EQ,         2.20,                    57260.70,26216
,BSHSL,SM,       138.20,                   276200.00,2000
,BSL,EQ,        44.50,                   415956.05,9373
,BSLGOLDETF,EQ,      2955.00,                   156305.00,53
,BSLNIFTY,EQ,       114.00,                    69434.40,609
,BURNPUR,EQ,         3.85,                   494337.25,127291
,BUTTERFLY,EQ,       272.55,                 40267806.45,149166
,BVCL,BE,        17.10,                     5917.20,350
,BYKE,EQ,        60.10,                  7553197.50,123533
,CADSYS,SM,        50.10,                   100200.00,2000
,CALSOFT,EQ,        19.60,                   652948.95,32944
,CAMLINFINE,EQ,        52.60,                  8073375.30,151684
,CANBK,EQ,       280.50,               1810974800.80,6418709
