,24-Aug-2018
The Nifty witnessed an intraday movement of about 72.6 points.The closing index was 0.22 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33765.97
, Traded Quantity (in Lakhs), 14853.09
, Number of Trades, 11074358
, Total Market Capitalisation (Rs. Crores), 15498405.75

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CORALFINAC,EQ,        21.55,                   367552.40,17111
,CORDSCABLE,EQ,        74.20,                   638992.60,8601
,COROMANDEL,EQ,       421.05,                 50383361.70,119667
,CORPBANK,EQ,        27.55,                  4453233.05,160737
,COSMOFILMS,EQ,       239.60,                  2125326.80,8900
,COUNCODOS,EQ,         2.60,                   286742.30,109584
,COX&KINGS,EQ,       218.15,                  7459171.65,34295
,CPSEETF,EQ,        27.45,                 26421430.97,962836
,CREATIVE,SM,       128.65,                   403360.00,3200
,CREATIVEYE,EQ,         2.90,                     3073.60,1062
,CREDITACC,EQ,       406.80,                321571562.85,785983
,CREST,EQ,       168.10,                  1677211.70,9924
,CRISIL,EQ,      1741.80,                  7620583.10,4359
,CROMPTON,EQ,       264.05,                196007128.55,742214
,CTE,EQ,        53.90,                   335177.65,6157
,CUB,EQ,       188.10,                102068669.45,548779
,CUBEXTUB,EQ,        14.90,                    19579.50,1297
,CUPID,EQ,       238.75,                 91312031.85,380182
,CURATECH,BE,         3.60,                       21.60,6
,CYBERMEDIA,EQ,         8.95,                     4976.90,536
,CYBERTECH,EQ,        44.00,                   528295.50,11913
,CYIENT,EQ,       720.60,                 80166871.10,110679
,DAAWAT,EQ,        56.10,                 37928656.30,678184
,DALMIABHA,EQ,      2728.65,                304891653.95,111894
,DALMIASUG,EQ,        62.25,                  8499160.20,135957
,DAMODARIND,EQ,       101.00,                   191816.85,1881
,DATAMATICS,EQ,       119.50,                 19093583.25,158624
,DBCORP,EQ,       250.55,                  4919233.05,19579
,DBL,EQ,       849.25,                 94705348.45,111661
,DBREALTY,EQ,        28.80,                 18831099.35,649904
,DCAL,EQ,       298.10,                209837145.80,707039
,DCBBANK,EQ,       170.20,                320238374.80,1876247
,DCM,EQ,        87.05,                   710916.60,8164
,DCMFINSERV,EQ,         1.95,                      273.00,140
,DCMSHRIRAM,EQ,       376.80,                 96361274.10,254895
,DCW,EQ,        27.45,                 76208561.75,2705090
,DECCANCE,EQ,       411.25,                   525750.35,1279
,DEEPAKFERT,EQ,       253.10,                 22063226.85,87020
,DEEPAKNTR,EQ,       266.15,                 31581162.65,117899
,DEEPIND,EQ,       121.05,                  4385556.65,35974
,DELTACORP,EQ,       254.70,                388392143.45,1519696
,DELTAMAGNT,EQ,        69.80,                   726626.50,10979
,DEN,EQ,        51.60,                  3556789.35,68500
