,21-Aug-2018
The Nifty witnessed an intraday movement of about 42.15 points.The closing index was 0.17 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33006.87
, Traded Quantity (in Lakhs), 15501.98
, Number of Trades, 11419479
, Total Market Capitalisation (Rs. Crores), 15490887.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BASML,EQ,       216.55,                   133975.70,618
,BATAINDIA,EQ,      1034.00,                771087763.75,746840
,BAYERCROP,EQ,      4063.05,                 37652753.45,9268
,BBL,EQ,      1326.10,                 14333948.60,10773
,BBTC,EQ,      1673.60,                955789332.75,583713
,BDL,EQ,       364.20,                  4968503.25,13619
,BEARDSELL,EQ,        35.85,                    75655.10,2095
,BEDMUTHA,EQ,        19.95,                    95689.70,4625
,BEML,EQ,       829.60,               1271532374.40,1525686
,BEPL,EQ,       139.95,                114848785.95,827633
,BERGEPAINT,EQ,       333.40,                455417086.40,1349602
,BETA,SM,        87.00,                  3740160.00,42400
,BFINVEST,EQ,       346.25,                113361581.40,328207
,BFUTILITIE,EQ,       338.90,                108680060.10,318494
,BGLOBAL,BE,         2.80,                    15718.70,5624
,BGRENERGY,EQ,        81.70,                 12697253.20,154454
,BHAGERIA,EQ,       304.20,                  5038263.85,16626
,BHAGYANGR,BE,        36.75,                   750388.60,20650
,BHAGYAPROP,EQ,        24.25,                   113879.20,4714
,BHANDARI,EQ,         2.35,                   346772.25,151628
,BHARATFIN,EQ,      1209.45,                488030079.15,402415
,BHARATFORG,EQ,       640.85,                387498865.60,602337
,BHARATGEAR,EQ,       170.05,                  3643445.05,21343
,BHARATIDIL,BZ,         3.35,                    48742.50,14820
,BHARATRAS,EQ,      7188.80,                 10716404.00,1478
,BHARATWIRE,EQ,        96.65,                  4782812.60,49776
,BHUSANSTL,EQ,        29.40,                 30608480.75,1043352
,BIGBLOC,EQ,        84.20,                   300234.00,3529
,BIL,EQ,       426.15,                 11383470.25,27483
,BILENERGY,BE,          .50,                    50902.25,93789
,BILPOWER,BE,          .65,                     3121.00,4640
,BINANIIND,EQ,        93.70,                  7175260.80,77612
,BINDALAGRO,EQ,        20.15,                   381578.45,18840
,BIOCON,EQ,       612.30,               1346696553.05,2213334
,BIOFILCHEM,BE,        10.60,                     6993.90,681
,BIRLACABLE,EQ,       147.30,                134086667.40,916690
,BIRLACORPN,EQ,       769.65,                 46738791.35,60469
,BIRLAMONEY,EQ,        64.70,                 24595048.40,371517
