,29-Aug-2018
The Nifty witnessed an intraday movement of about 74.35 points.The closing index was 0.4 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35363.26
, Traded Quantity (in Lakhs), 16351.38
, Number of Trades, 11701834
, Total Market Capitalisation (Rs. Crores), 15675926.95

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,DCMSHRIRAM,EQ,       384.65,                 33308683.20,86723
,DCW,EQ,        25.95,                 16774636.15,647442
,DECCANCE,EQ,       403.65,                  2007042.25,4989
,DEEPAKFERT,EQ,       256.30,                 19294712.80,75005
,DEEPAKNTR,EQ,       264.50,                 28760614.15,108320
,DEEPIND,EQ,       122.75,                 40620562.35,322527
,DELTACORP,EQ,       270.90,               1106284336.15,4090397
,DELTAMAGNT,EQ,       101.30,                  2820927.20,28234
,DEN,EQ,        50.70,                  8008128.85,158495
,DENABANK,EQ,        16.30,                 10921920.35,666434
,DENORA,EQ,       303.35,                  2654670.45,8630
